metric,value
timestamp,2026-07-05T21:52:54
workload,BT
strategy,MPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/BT_S_MPO_12TH_20260705_025404
cpu_map,"[1, 2, 3, 0, 8, 11, 10, 13, 9, 12, 4, 14]"
p_core_count,8
e_core_count,4
node0_threads,5
node1_threads,7
sim_time_ms,8.057
total_instructions,735346189
avg_ipc,3.8792
avg_ipc_p,1.8632
avg_ipc_e,7.911
total_power_W,40.6275
dynamic_W,35.812
leakage_W,4.8
dram_W,0.0155
energy_J,0.327336
node0_reads,10242
node1_reads,9280
node0_pct,52.4639
node0_writes,4
node1_writes,6
dram_local,4946
dram_remote,10828
dram_remote_pct,68.6446
l1d_miss_pct,1.0313
l2_miss_pct,20.5918
l3_miss_pct,3.9165
l1d_mpki,2.6599
l2_mpki,0.5477
l3_mpki,0.0215
l3_miss_count,15774
cpi_base_frac,0.9569
cpi_branch_frac,0.0032
cpi_l2_frac,0.0
cpi_l3_frac,0.0353
cpi_dram_local_frac,0.0012
cpi_dram_remote_frac,0.0033
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,14.809
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,23692409
L1-D.access-mru-0.c1,23463182
L1-D.access-mru-0.c10,11074798
L1-D.access-mru-0.c11,11159626
L1-D.access-mru-0.c2,23589378
L1-D.access-mru-0.c3,23666653
L1-D.access-mru-0.c4,22919767
L1-D.access-mru-0.c5,23500337
L1-D.access-mru-0.c6,23572996
L1-D.access-mru-0.c7,23477835
L1-D.access-mru-0.c8,23093880
L1-D.access-mru-0.c9,23680030
L1-D.access-mru-0.node0,105486420
L1-D.access-mru-0.node1,151404471
L1-D.access-mru-0.total,256890891
L1-D.access-mru-1.c0,1828488
L1-D.access-mru-1.c1,1817203
L1-D.access-mru-1.c10,7076
L1-D.access-mru-1.c11,7067
L1-D.access-mru-1.c2,1712661
L1-D.access-mru-1.c3,1761123
L1-D.access-mru-1.c4,1858731
L1-D.access-mru-1.c5,1768170
L1-D.access-mru-1.c6,1705145
L1-D.access-mru-1.c7,1810832
L1-D.access-mru-1.c8,1820545
L1-D.access-mru-1.c9,1706482
L1-D.access-mru-1.node0,7126551
L1-D.access-mru-1.node1,10676972
L1-D.access-mru-1.total,17803523
L1-D.access-mru-2.c0,191751
L1-D.access-mru-2.c1,167443
L1-D.access-mru-2.c10,256
L1-D.access-mru-2.c11,360
L1-D.access-mru-2.c2,151792
L1-D.access-mru-2.c3,136913
L1-D.access-mru-2.c4,178247
L1-D.access-mru-2.c5,162574
L1-D.access-mru-2.c6,136057
L1-D.access-mru-2.c7,157154
L1-D.access-mru-2.c8,169878
L1-D.access-mru-2.c9,140275
L1-D.access-mru-2.node0,648155
L1-D.access-mru-2.node1,944545
L1-D.access-mru-2.total,1592700
L1-D.access-mru-3.c0,104747
L1-D.access-mru-3.c1,102148
L1-D.access-mru-3.c10,213
L1-D.access-mru-3.c11,235
L1-D.access-mru-3.c2,99772
L1-D.access-mru-3.c3,98237
L1-D.access-mru-3.c4,100312
L1-D.access-mru-3.c5,101361
L1-D.access-mru-3.c6,101027
L1-D.access-mru-3.c7,101586
L1-D.access-mru-3.c8,100485
L1-D.access-mru-3.c9,100950
L1-D.access-mru-3.node0,405117
L1-D.access-mru-3.node1,605956
L1-D.access-mru-3.total,1011073
L1-D.access-mru-4.c0,144580
L1-D.access-mru-4.c1,120152
L1-D.access-mru-4.c10,106
L1-D.access-mru-4.c11,57
L1-D.access-mru-4.c2,120101
L1-D.access-mru-4.c3,120530
L1-D.access-mru-4.c4,119331
L1-D.access-mru-4.c5,117813
L1-D.access-mru-4.c6,118010
L1-D.access-mru-4.c7,119786
L1-D.access-mru-4.c8,119103
L1-D.access-mru-4.c9,122048
L1-D.access-mru-4.node0,505469
L1-D.access-mru-4.node1,716148
L1-D.access-mru-4.total,1221617
L1-D.access-mru-5.c0,150215
L1-D.access-mru-5.c1,160982
L1-D.access-mru-5.c10,115
L1-D.access-mru-5.c11,95
L1-D.access-mru-5.c2,160672
L1-D.access-mru-5.c3,163632
L1-D.access-mru-5.c4,160532
L1-D.access-mru-5.c5,158000
L1-D.access-mru-5.c6,164928
L1-D.access-mru-5.c7,166783
L1-D.access-mru-5.c8,160648
L1-D.access-mru-5.c9,163192
L1-D.access-mru-5.node0,635616
L1-D.access-mru-5.node1,974178
L1-D.access-mru-5.total,1609794
L1-D.access-mru-6.c0,149611
L1-D.access-mru-6.c1,138229
L1-D.access-mru-6.c10,172
L1-D.access-mru-6.c11,151
L1-D.access-mru-6.c2,139121
L1-D.access-mru-6.c3,150755
L1-D.access-mru-6.c4,136825
L1-D.access-mru-6.c5,148126
