                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   11061436 |    3126860 |    3163904 |    2868277 |    3299372 |    3074305 |    2681763 |    3120612 |    3043399 |    3027661 |    3232861 |    3206900
  Cycles                             |   11200800 |   11200800 |   11200800 |    8400600 |   11200800 |    8400600 |   11200800 |    8400600 |    8400600 |   11200800 |   11200800 |   11200800
  IPC                                |       0.99 |       0.28 |       0.28 |       0.34 |       0.29 |       0.37 |       0.24 |       0.37 |       0.36 |       0.27 |       0.29 |       0.29
  Time (ns)                          |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200 |    2800200
  Idle time (ns)                     |       1579 |    2286548 |    2286701 |    2277095 |    2286962 |    2276906 |    2287443 |    2277391 |    2277124 |    2287291 |    2287554 |    2287609
  Idle time (%)                      |       0.1% |      81.7% |      81.7% |      81.3% |      81.7% |      81.3% |      81.7% |      81.3% |      81.3% |      81.7% |      81.7% |      81.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1351197 |     990789 |    1006561 |     887489 |    1062324 |     974552 |     802089 |     992630 |     960836 |     947247 |    1034363 |    1023360
  num incorrect                      |      75681 |       4828 |       4273 |       7546 |       2597 |       4671 |      10449 |       4209 |       5331 |       6361 |       3520 |       3843
  misprediction rate                 |      5.30% |      0.48% |      0.42% |      0.84% |      0.24% |      0.48% |      1.29% |      0.42% |      0.55% |      0.67% |      0.34% |      0.37%
  mpki                               |       6.84 |       1.54 |       1.35 |       2.63 |       0.79 |       1.52 |       3.90 |       1.35 |       1.75 |       2.10 |       1.09 |       1.20
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1268418 |      30592 |      27628 |      42292 |      20459 |      30579 |      64959 |      28987 |      32405 |      39820 |      25783 |      26871
    num misses                       |        174 |         29 |         31 |         29 |         29 |         31 |         46 |         31 |         31 |         31 |         29 |         29
    miss rate                        |      0.01% |      0.09% |      0.11% |      0.07% |      0.14% |      0.10% |      0.07% |      0.11% |      0.10% |      0.08% |      0.11% |      0.11%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2680586 |     591038 |     595088 |     562372 |     608909 |     581384 |     550527 |     586496 |     579451 |     582114 |     602518 |     599895
    num misses                       |       2256 |        147 |        133 |        135 |        147 |        134 |        166 |        126 |        138 |        135 |        141 |        134
    miss rate                        |      0.08% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.20 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.06 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2430 |        176 |        164 |        164 |        176 |        165 |        212 |        157 |        169 |        166 |        170 |        163
    num misses                       |        621 |        146 |        138 |        133 |        143 |        138 |        171 |        135 |        137 |        135 |        140 |        143
    miss rate                        |     25.56% |     82.95% |     84.15% |     81.10% |     81.25% |     83.64% |     80.66% |     85.99% |     81.07% |     81.33% |     82.35% |     87.73%
    mpki                             |       0.06 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.06 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1268418 |      30592 |      27628 |      42292 |      20459 |      30579 |      64959 |      28987 |      32405 |      39820 |      25783 |      26871
    num cache misses                 |       2728 |        177 |        185 |        179 |        176 |        184 |        365 |        183 |        183 |        184 |        176 |        177
    miss rate                        |      0.22% |      0.58% |      0.67% |      0.42% |      0.86% |      0.60% |      0.56% |      0.63% |      0.56% |      0.46% |      0.68% |      0.66%
    mpki                             |       0.25 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.14 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2680586 |     591038 |     595088 |     562372 |     608909 |     581384 |     550527 |     586496 |     579451 |     582114 |     602518 |     599895
    num cache misses                 |      33970 |       9069 |       8990 |       9286 |       8826 |       9000 |       9903 |       8929 |       9026 |       9039 |       8862 |       8856
    miss rate                        |      1.27% |      1.53% |      1.51% |      1.65% |      1.45% |      1.55% |      1.80% |      1.52% |      1.56% |      1.55% |      1.47% |      1.48%
    mpki                             |       3.07 |       2.90 |       2.84 |       3.24 |       2.68 |       2.93 |       3.69 |       2.86 |       2.97 |       2.99 |       2.74 |       2.76
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38977 |       9334 |       9254 |       9594 |       9051 |       9282 |      10568 |       9368 |       9490 |       9523 |       9284 |       9286
    num cache misses                 |      25779 |       8794 |       8726 |       8876 |       8610 |       8737 |       9320 |       8702 |       8736 |       8724 |       8614 |       8620
    miss rate                        |     66.14% |     94.21% |     94.29% |     92.52% |     95.13% |     94.13% |     88.19% |     92.89% |     92.05% |     91.61% |     92.78% |     92.83%
    mpki                             |       2.33 |       2.81 |       2.76 |       3.09 |       2.61 |       2.84 |       3.48 |       2.79 |       2.87 |       2.88 |       2.66 |       2.69
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28562 |       8883 |       8805 |       9007 |       8659 |       8835 |       9678 |       8958 |       9019 |       9023 |       8861 |       8874
    num cache misses                 |      21498 |       4628 |       4592 |       4679 |       4514 |       4680 |       5539 |       5010 |       4992 |       5070 |       4898 |       4969
