metric,value
timestamp,2026-07-05T21:46:17
workload,BT
strategy,Packed
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/BT_S_Packed_16TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,8.1301
total_instructions,1010215859
avg_ipc,4.8372
avg_ipc_p,1.9525
avg_ipc_e,7.7219
total_power_W,48.8568
dynamic_W,43.2401
leakage_W,5.6
dram_W,0.0167
energy_J,0.397211
node0_reads,10647
node1_reads,10602
node0_pct,50.1059
node0_writes,10
node1_writes,5
dram_local,3653
dram_remote,3681
dram_remote_pct,50.1909
l1d_miss_pct,0.8658
l2_miss_pct,22.6727
l3_miss_pct,1.5859
l1d_mpki,2.019
l2_mpki,0.4578
l3_mpki,0.0073
l3_miss_count,7334
cpi_base_frac,0.9612
cpi_branch_frac,0.0024
cpi_l2_frac,0.0
cpi_l3_frac,0.0356
cpi_dram_local_frac,0.0003
cpi_dram_remote_frac,0.0005
futex_wake_count,880
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,14.5934
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,24103790
L1-D.access-mru-0.c1,23585290
L1-D.access-mru-0.c10,11771753
L1-D.access-mru-0.c11,11839149
L1-D.access-mru-0.c12,11140451
L1-D.access-mru-0.c13,11142408
L1-D.access-mru-0.c14,11140031
L1-D.access-mru-0.c15,11136877
L1-D.access-mru-0.c2,23705983
L1-D.access-mru-0.c3,23632541
L1-D.access-mru-0.c4,22954380
L1-D.access-mru-0.c5,23067393
L1-D.access-mru-0.c6,23360724
L1-D.access-mru-0.c7,23129272
L1-D.access-mru-0.c8,23558975
L1-D.access-mru-0.c9,23771142
L1-D.access-mru-0.node0,187539373
L1-D.access-mru-0.node1,115500786
L1-D.access-mru-0.total,303040159
L1-D.access-mru-1.c0,1676337
L1-D.access-mru-1.c1,1817941
