metric,value
timestamp,2026-07-05T22:16:45
workload,CC
strategy,HPO
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/CC_S_HPO_16TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,2.7824
total_instructions,55388136
avg_ipc,0.7074
avg_ipc_p,0.3579
avg_ipc_e,1.0569
total_power_W,14.545
dynamic_W,8.8973
leakage_W,5.6
dram_W,0.0477
energy_J,0.04047
node0_reads,10360
node1_reads,10289
node0_pct,50.1719
node0_writes,58
node1_writes,54
dram_local,5719
dram_remote,5644
dram_remote_pct,49.67
l1d_miss_pct,0.77
l2_miss_pct,83.2672
l3_miss_pct,18.2953
l1d_mpki,1.3467
l2_mpki,1.1213
l3_mpki,0.2052
l3_miss_count,11363
cpi_base_frac,0.7394
cpi_branch_frac,0.1257
cpi_l2_frac,0.0
cpi_l3_frac,0.1015
cpi_dram_local_frac,0.0161
cpi_dram_remote_frac,0.0173
futex_wake_count,34
futex_wait_count,15
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.1115
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2416999
L1-D.access-mru-0.c1,546592
L1-D.access-mru-0.c10,545784
L1-D.access-mru-0.c11,543228
L1-D.access-mru-0.c12,521622
L1-D.access-mru-0.c13,537236
L1-D.access-mru-0.c14,542033
L1-D.access-mru-0.c15,538492
L1-D.access-mru-0.c2,541209
L1-D.access-mru-0.c3,550361
L1-D.access-mru-0.c4,512176
L1-D.access-mru-0.c5,546594
L1-D.access-mru-0.c6,544069
L1-D.access-mru-0.c7,532201
L1-D.access-mru-0.c8,499222
L1-D.access-mru-0.c9,541327
L1-D.access-mru-0.node0,6184722
L1-D.access-mru-0.node1,4274423
L1-D.access-mru-0.total,10459145
L1-D.access-mru-1.c0,124300
L1-D.access-mru-1.c1,3043
L1-D.access-mru-1.c10,2895
L1-D.access-mru-1.c11,2839
L1-D.access-mru-1.c12,3233
L1-D.access-mru-1.c13,2756
L1-D.access-mru-1.c14,2785
L1-D.access-mru-1.c15,2772
L1-D.access-mru-1.c2,3002
L1-D.access-mru-1.c3,2825
L1-D.access-mru-1.c4,3214
L1-D.access-mru-1.c5,2812
L1-D.access-mru-1.c6,2823
L1-D.access-mru-1.c7,2871
L1-D.access-mru-1.c8,3818
L1-D.access-mru-1.c9,3056
L1-D.access-mru-1.node0,145778
L1-D.access-mru-1.node1,23266
L1-D.access-mru-1.total,169044
L1-D.access-mru-2.c0,46357
L1-D.access-mru-2.c1,440
L1-D.access-mru-2.c10,319
L1-D.access-mru-2.c11,308
L1-D.access-mru-2.c12,327
L1-D.access-mru-2.c13,292
L1-D.access-mru-2.c14,302
L1-D.access-mru-2.c15,313
L1-D.access-mru-2.c2,366
L1-D.access-mru-2.c3,382
L1-D.access-mru-2.c4,399
L1-D.access-mru-2.c5,347
L1-D.access-mru-2.c6,305
L1-D.access-mru-2.c7,349
L1-D.access-mru-2.c8,525
L1-D.access-mru-2.c9,378
L1-D.access-mru-2.node0,49075
L1-D.access-mru-2.node1,2634
L1-D.access-mru-2.total,51709
