metric,value
timestamp,2026-07-05T22:02:44
workload,SP
strategy,HPO
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/SP_S_HPO_16TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,5.5038
total_instructions,558497436
avg_ipc,4.3745
avg_ipc_p,1.3118
avg_ipc_e,7.4371
total_power_W,38.6156
dynamic_W,32.9887
leakage_W,5.6
dram_W,0.0269
energy_J,0.212532
node0_reads,11563
node1_reads,11536
node0_pct,50.0584
node0_writes,8
node1_writes,7
dram_local,3625
dram_remote,3613
dram_remote_pct,49.9171
l1d_miss_pct,2.9218
l2_miss_pct,23.1082
l3_miss_pct,0.8814
l1d_mpki,6.3628
l2_mpki,1.4703
l3_mpki,0.013
l3_miss_count,7238
cpi_base_frac,0.9007
cpi_branch_frac,0.008
cpi_l2_frac,0.0
cpi_l3_frac,0.09
cpi_dram_local_frac,0.0005
cpi_dram_remote_frac,0.0007
futex_wake_count,2248
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,78.5602
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,10180083
L1-D.access-mru-0.c1,9331184
L1-D.access-mru-0.c10,7602232
L1-D.access-mru-0.c11,7646258
L1-D.access-mru-0.c12,7315068
L1-D.access-mru-0.c13,7310536
L1-D.access-mru-0.c14,7304552
L1-D.access-mru-0.c15,7305354
L1-D.access-mru-0.c2,9406549
L1-D.access-mru-0.c3,9598241
L1-D.access-mru-0.c4,9020317
L1-D.access-mru-0.c5,9012966
L1-D.access-mru-0.c6,9442928
L1-D.access-mru-0.c7,9356325
L1-D.access-mru-0.c8,9718772
L1-D.access-mru-0.c9,9751194
L1-D.access-mru-0.node0,73234513
L1-D.access-mru-0.node1,66068046
L1-D.access-mru-0.total,139302559
L1-D.access-mru-1.c0,826379
L1-D.access-mru-1.c1,822680
L1-D.access-mru-1.c10,15166
L1-D.access-mru-1.c11,16554
L1-D.access-mru-1.c12,7349
L1-D.access-mru-1.c13,7350
L1-D.access-mru-1.c14,7808
L1-D.access-mru-1.c15,7448
L1-D.access-mru-1.c2,797180
L1-D.access-mru-1.c3,616937
L1-D.access-mru-1.c4,600392
L1-D.access-mru-1.c5,654131
L1-D.access-mru-1.c6,643949
L1-D.access-mru-1.c7,614766
L1-D.access-mru-1.c8,526595
L1-D.access-mru-1.c9,570744
L1-D.access-mru-1.node0,4192235
L1-D.access-mru-1.node1,2543193
L1-D.access-mru-1.total,6735428
L1-D.access-mru-2.c0,168665
L1-D.access-mru-2.c1,141594
L1-D.access-mru-2.c10,746
L1-D.access-mru-2.c11,769
L1-D.access-mru-2.c12,921
L1-D.access-mru-2.c13,921
L1-D.access-mru-2.c14,922
L1-D.access-mru-2.c15,922
L1-D.access-mru-2.c2,118125
L1-D.access-mru-2.c3,111493
L1-D.access-mru-2.c4,127055
L1-D.access-mru-2.c5,127097
L1-D.access-mru-2.c6,125104
L1-D.access-mru-2.c7,115541
L1-D.access-mru-2.c8,131969
L1-D.access-mru-2.c9,131895
L1-D.access-mru-2.node0,805256
L1-D.access-mru-2.node1,498483
L1-D.access-mru-2.total,1303739
L1-D.access-mru-3.c0,68438
L1-D.access-mru-3.c1,51209
L1-D.access-mru-3.c10,230
L1-D.access-mru-3.c11,159
L1-D.access-mru-3.c12,26
L1-D.access-mru-3.c13,26
L1-D.access-mru-3.c14,26
L1-D.access-mru-3.c15,26
L1-D.access-mru-3.c2,48002
L1-D.access-mru-3.c3,48522
L1-D.access-mru-3.c4,49216
L1-D.access-mru-3.c5,44770
L1-D.access-mru-3.c6,51819
L1-D.access-mru-3.c7,51573
L1-D.access-mru-3.c8,46639
L1-D.access-mru-3.c9,58732
L1-D.access-mru-3.node0,321931
L1-D.access-mru-3.node1,197482
L1-D.access-mru-3.total,519413
L1-D.access-mru-4.c0,47301
L1-D.access-mru-4.c1,37874
L1-D.access-mru-4.c10,128
L1-D.access-mru-4.c11,143
L1-D.access-mru-4.c12,32
L1-D.access-mru-4.c13,32
L1-D.access-mru-4.c14,32
L1-D.access-mru-4.c15,32
L1-D.access-mru-4.c2,46383
L1-D.access-mru-4.c3,45191
L1-D.access-mru-4.c4,39253
L1-D.access-mru-4.c5,44591
L1-D.access-mru-4.c6,45699
L1-D.access-mru-4.c7,41271
L1-D.access-mru-4.c8,42140
L1-D.access-mru-4.c9,42610
L1-D.access-mru-4.node0,261770
L1-D.access-mru-4.node1,170942
L1-D.access-mru-4.total,432712
L1-D.access-mru-5.c0,45449
L1-D.access-mru-5.c1,45113
L1-D.access-mru-5.c10,75
L1-D.access-mru-5.c11,125
L1-D.access-mru-5.c12,6
L1-D.access-mru-5.c13,6
L1-D.access-mru-5.c14,6
L1-D.access-mru-5.c15,6
L1-D.access-mru-5.c2,46538
L1-D.access-mru-5.c3,48000
L1-D.access-mru-5.c4,41961
L1-D.access-mru-5.c5,48248
L1-D.access-mru-5.c6,43776
L1-D.access-mru-5.c7,44137
L1-D.access-mru-5.c8,49862
L1-D.access-mru-5.c9,44273
L1-D.access-mru-5.node0,279435
L1-D.access-mru-5.node1,178146
L1-D.access-mru-5.total,457581
L1-D.access-mru-6.c0,44601
L1-D.access-mru-6.c1,37137
L1-D.access-mru-6.c10,362
L1-D.access-mru-6.c11,345
L1-D.access-mru-6.c12,1
L1-D.access-mru-6.c13,1
L1-D.access-mru-6.c14,1
L1-D.access-mru-6.c15,1
L1-D.access-mru-6.c2,47169
L1-D.access-mru-6.c3,41659
L1-D.access-mru-6.c4,41617
L1-D.access-mru-6.c5,48546
L1-D.access-mru-6.c6,44361
L1-D.access-mru-6.c7,40830
L1-D.access-mru-6.c8,50032
L1-D.access-mru-6.c9,37119
L1-D.access-mru-6.node0,258424
L1-D.access-mru-6.node1,175358
L1-D.access-mru-6.total,433782
L1-D.access-mru-7.c0,47469
L1-D.access-mru-7.c1,41171
L1-D.access-mru-7.c10,46
L1-D.access-mru-7.c11,339
L1-D.access-mru-7.c12,3
L1-D.access-mru-7.c13,3
L1-D.access-mru-7.c14,3
L1-D.access-mru-7.c15,3
L1-D.access-mru-7.c2,37908
L1-D.access-mru-7.c3,36877
L1-D.access-mru-7.c4,43887
L1-D.access-mru-7.c5,43090
L1-D.access-mru-7.c6,40781
L1-D.access-mru-7.c7,40591
L1-D.access-mru-7.c8,42995
L1-D.access-mru-7.c9,42455
L1-D.access-mru-7.node0,249260
L1-D.access-mru-7.node1,168361
L1-D.access-mru-7.total,417621
L1-D.coherency-downgrades.c0,54136
L1-D.coherency-downgrades.c1,51842
L1-D.coherency-downgrades.c10,22076
L1-D.coherency-downgrades.c11,8226
L1-D.coherency-downgrades.c12,41
L1-D.coherency-downgrades.c13,31
L1-D.coherency-downgrades.c14,38
L1-D.coherency-downgrades.c15,40
L1-D.coherency-downgrades.c2,92149
L1-D.coherency-downgrades.c3,62375
L1-D.coherency-downgrades.c4,28318
L1-D.coherency-downgrades.c5,32117
L1-D.coherency-downgrades.c6,60662
L1-D.coherency-downgrades.c7,43929
L1-D.coherency-downgrades.c8,34649
L1-D.coherency-downgrades.c9,51746
L1-D.coherency-downgrades.node0,377199
L1-D.coherency-downgrades.node1,165176
L1-D.coherency-downgrades.total,542375
L1-D.coherency-invalidates.c0,5248
L1-D.coherency-invalidates.c1,4590
L1-D.coherency-invalidates.c10,11670
L1-D.coherency-invalidates.c11,10811
L1-D.coherency-invalidates.c12,5385
L1-D.coherency-invalidates.c13,5489
L1-D.coherency-invalidates.c14,5610
L1-D.coherency-invalidates.c15,5611
L1-D.coherency-invalidates.c2,2583
L1-D.coherency-invalidates.c3,3167
L1-D.coherency-invalidates.c4,2954
L1-D.coherency-invalidates.c5,2448
L1-D.coherency-invalidates.c6,3240
L1-D.coherency-invalidates.c7,2630
L1-D.coherency-invalidates.c8,13535
L1-D.coherency-invalidates.c9,9907
L1-D.coherency-invalidates.node0,61511
L1-D.coherency-invalidates.node1,33367
L1-D.coherency-invalidates.total,94878
L1-D.coherency-upgrades.c0,733
L1-D.coherency-upgrades.c1,2874
L1-D.coherency-upgrades.c10,1445
L1-D.coherency-upgrades.c11,224
L1-D.coherency-upgrades.c12,224
L1-D.coherency-upgrades.c13,221
L1-D.coherency-upgrades.c14,224
L1-D.coherency-upgrades.c15,222
L1-D.coherency-upgrades.c2,2782
L1-D.coherency-upgrades.c3,2778
L1-D.coherency-upgrades.c4,2434
L1-D.coherency-upgrades.c5,2508
L1-D.coherency-upgrades.c6,2744
L1-D.coherency-upgrades.c7,2786
L1-D.coherency-upgrades.c8,530
L1-D.coherency-upgrades.c9,1124
L1-D.coherency-upgrades.node0,12490
L1-D.coherency-upgrades.node1,11363
L1-D.coherency-upgrades.total,23853
L1-D.coherency-writebacks.c0,9082
L1-D.coherency-writebacks.c1,10565
L1-D.coherency-writebacks.c10,3148
L1-D.coherency-writebacks.c11,3344
L1-D.coherency-writebacks.c12,3167
L1-D.coherency-writebacks.c13,3257
L1-D.coherency-writebacks.c14,3361
L1-D.coherency-writebacks.c15,3374
L1-D.coherency-writebacks.c2,9127
L1-D.coherency-writebacks.c3,9530
L1-D.coherency-writebacks.c4,11727
L1-D.coherency-writebacks.c5,10258
L1-D.coherency-writebacks.c6,7889
L1-D.coherency-writebacks.c7,9824
L1-D.coherency-writebacks.c8,4504
L1-D.coherency-writebacks.c9,3204
L1-D.coherency-writebacks.node0,52504
L1-D.coherency-writebacks.node1,52857
L1-D.coherency-writebacks.total,105361
L1-D.evict-E.c0,6718
L1-D.evict-E.c1,19
L1-D.evict-E.node0,6737
L1-D.evict-E.node1,0
L1-D.evict-E.total,6737
L1-D.evict-M.c0,504950
L1-D.evict-M.c1,340627
L1-D.evict-M.c10,29295
L1-D.evict-M.c11,29006
L1-D.evict-M.c12,2
L1-D.evict-M.c13,2
L1-D.evict-M.c14,2
L1-D.evict-M.c15,2
L1-D.evict-M.c2,326719
L1-D.evict-M.c3,336838
L1-D.evict-M.c4,336747
L1-D.evict-M.c5,330291
L1-D.evict-M.c6,308101
L1-D.evict-M.c7,280147
L1-D.evict-M.c8,302071
L1-D.evict-M.c9,311617
L1-D.evict-M.node0,2181123
L1-D.evict-M.node1,1255294
L1-D.evict-M.total,3436417
L1-D.evict-S.c0,88774
L1-D.evict-S.c1,125487
L1-D.evict-S.c10,9806
L1-D.evict-S.c11,11623
L1-D.evict-S.c12,3
L1-D.evict-S.c13,3
L1-D.evict-S.c14,3
L1-D.evict-S.c15,3
L1-D.evict-S.c2,134912
L1-D.evict-S.c3,129250
L1-D.evict-S.c4,131104
L1-D.evict-S.c5,130839
L1-D.evict-S.c6,110389
L1-D.evict-S.c7,144129
L1-D.evict-S.c8,107980
L1-D.evict-S.c9,105242
L1-D.evict-S.node0,713074
L1-D.evict-S.node1,516473
L1-D.evict-S.total,1229547
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,421654
L1-D.load-misses-I.c1,386678
L1-D.load-misses-I.c10,29881
L1-D.load-misses-I.c11,29596
L1-D.load-misses-I.c12,8666
L1-D.load-misses-I.c13,8856
L1-D.load-misses-I.c14,9051
L1-D.load-misses-I.c15,9087
L1-D.load-misses-I.c2,377458
L1-D.load-misses-I.c3,383563
L1-D.load-misses-I.c4,386575
