metric,value
timestamp,2026-07-05T22:17:10
workload,BFS
strategy,EPO
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/BFS_S_EPO_2TH_20260705_025404
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,3.4764
total_instructions,16341457
avg_ipc,2.3503
avg_ipc_p,0.0
avg_ipc_e,2.3503
total_power_W,2.2011
dynamic_W,1.7628
leakage_W,0.4
dram_W,0.0383
energy_J,0.007652
node0_reads,20545
node1_reads,0
node0_pct,100.0
node0_writes,371
node1_writes,0
dram_local,11878
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.051
l2_miss_pct,72.7569
l3_miss_pct,24.9837
l1d_mpki,3.9987
l2_mpki,2.9093
l3_mpki,0.7269
l3_miss_count,11878
cpi_base_frac,0.5123
cpi_branch_frac,0.2234
cpi_l2_frac,0.0
cpi_l3_frac,0.185
cpi_dram_local_frac,0.0792
cpi_dram_remote_frac,0.0
futex_wake_count,34
futex_wait_count,1
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.7521
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2945734
L1-D.access-mru-0.c1,1014894
L1-D.access-mru-0.node0,3960628
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,3960628
L1-D.access-mru-1.c0,135452
L1-D.access-mru-1.c1,27087
L1-D.access-mru-1.node0,162539
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,162539
L1-D.access-mru-2.c0,46458
L1-D.access-mru-2.c1,4663
L1-D.access-mru-2.node0,51121
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,51121
L1-D.access-mru-3.c0,13398
L1-D.access-mru-3.c1,2080
L1-D.access-mru-3.node0,15478
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,15478
L1-D.access-mru-4.c0,4765
L1-D.access-mru-4.c1,1421
L1-D.access-mru-4.node0,6186
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,6186
L1-D.access-mru-5.c0,2856
L1-D.access-mru-5.c1,909
L1-D.access-mru-5.node0,3765
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,3765
L1-D.access-mru-6.c0,2050
