                                     | Core 0     | Core 1    
  Instructions                       |  114998520 |  117973082
  Cycles                             |   52034000 |   52034000
  IPC                                |       2.21 |       2.27
  Time (ns)                          |   13008500 |   13008500
  Idle time (ns)                     |        426 |     249314
  Idle time (%)                      |       0.0% |       1.9%
Branch predictor stats               |            |           
  num correct                        |    3236604 |    4558957
  num incorrect                      |      33753 |      24502
  misprediction rate                 |      1.03% |      0.53%
  mpki                               |       0.29 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   10562006 |   10319563
    num misses                       |        203 |         33
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   49578217 |   49544463
    num misses                       |      14439 |       9425
    miss rate                        |      0.03% |      0.02%
    mpki                             |       0.13 |       0.08
  L2 TLB                             |            |           
    num accesses                     |      14642 |       9458
    num misses                       |        678 |        167
    miss rate                        |      4.63% |      1.77%
    mpki                             |       0.01 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   10562006 |   10319563
    num cache misses                 |      70073 |      48587
    miss rate                        |      0.66% |      0.47%
    mpki                             |       0.61 |       0.41
  Cache L1-D                         |            |           
    num cache accesses               |   49578217 |   49544463
    num cache misses                 |    2546770 |    2482438
    miss rate                        |      5.14% |      5.01%
    mpki                             |      22.15 |      21.04
  Cache L2                           |            |           
    num cache accesses               |    2702336 |    2611883
    num cache misses                 |     126595 |     121215
    miss rate                        |      4.68% |      4.64%
    mpki                             |       1.10 |       1.03
  Cache L3                           |            |           
    num cache accesses               |     238391 |     226059
    num cache misses                 |     125754 |     121215
    miss rate                        |     52.75% |     53.62%
    mpki                             |       1.09 |       1.03
DRAM summary                         |            |           
  num dram accesses                  |       8668 |       8636
  average dram access latency (ns)   |      61.51 |      61.48
  average dram queueing delay        |       0.26 |       0.23
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6798 |         12
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     104253 |     111348
