metric,value
timestamp,2026-07-05T21:56:56
workload,SP
strategy,Packed
bench_class,S
num_threads,2
output_dir,Outputs/sizeS/2TH/SP_S_Packed_2TH_20260705_025404
cpu_map,"[0, 1]"
p_core_count,2
e_core_count,0
node0_threads,2
node1_threads,0
sim_time_ms,12.9053
total_instructions,233148989
avg_ipc,2.2583
avg_ipc_p,2.2583
avg_ipc_e,0.0
total_power_W,10.0417
dynamic_W,9.0331
leakage_W,1.0
dram_W,0.0086
energy_J,0.129591
node0_reads,17303
node1_reads,0
node0_pct,100.0
node0_writes,6
node1_writes,0
dram_local,6741
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,6.0884
l2_miss_pct,4.2994
l3_miss_pct,3.8343
l1d_mpki,17.5387
l2_mpki,0.7541
l3_mpki,0.0289
l3_miss_count,6741
cpi_base_frac,0.9314
cpi_branch_frac,0.0126
cpi_l2_frac,0.0
cpi_l3_frac,0.0523
cpi_dram_local_frac,0.0036
cpi_dram_remote_frac,0.0
futex_wake_count,2248
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,19.5501
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,41917689
L1-D.access-mru-0.c1,42478914
L1-D.access-mru-0.node0,84396603
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,84396603
L1-D.access-mru-1.c0,3472092
L1-D.access-mru-1.c1,3017621
L1-D.access-mru-1.node0,6489713
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,6489713
L1-D.access-mru-2.c0,629943
L1-D.access-mru-2.c1,605429
L1-D.access-mru-2.node0,1235372
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,1235372
L1-D.access-mru-3.c0,222831
L1-D.access-mru-3.c1,212687
L1-D.access-mru-3.node0,435518
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,435518
L1-D.access-mru-4.c0,188427
L1-D.access-mru-4.c1,178132
L1-D.access-mru-4.node0,366559
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,366559
L1-D.access-mru-5.c0,193647
L1-D.access-mru-5.c1,194481
L1-D.access-mru-5.node0,388128
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,388128
L1-D.access-mru-6.c0,176905
L1-D.access-mru-6.c1,184993
L1-D.access-mru-6.node0,361898
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,361898
L1-D.access-mru-7.c0,176196
L1-D.access-mru-7.c1,170704
L1-D.access-mru-7.node0,346900
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,346900
L1-D.coherency-downgrades.c0,6938
L1-D.coherency-downgrades.c1,3976
L1-D.coherency-downgrades.node0,10914
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,10914
L1-D.coherency-writebacks.c0,442
L1-D.coherency-writebacks.c1,7851
L1-D.coherency-writebacks.node0,8293
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,8293
L1-D.evict-E.c0,6619
L1-D.evict-E.c1,8064
L1-D.evict-E.node0,14683
L1-D.evict-E.node1,0
L1-D.evict-E.total,14683
L1-D.evict-M.c0,2348045
L1-D.evict-M.c1,2376580
L1-D.evict-M.node0,4724625
L1-D.evict-M.node1,0
L1-D.evict-M.total,4724625
L1-D.evict-S.c0,186817
L1-D.evict-S.c1,89562
L1-D.evict-S.node0,276379
L1-D.evict-S.node1,0
L1-D.evict-S.total,276379
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,2062701
L1-D.load-misses-I.c1,2026429
L1-D.load-misses-I.node0,4089130
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,4089130
L1-D.load-misses-S,1
L1-D.load-misses.c0,2062705
L1-D.load-misses.c1,2026429
L1-D.load-misses.node0,4089134
L1-D.load-misses.node1,0
L1-D.load-misses.total,4089134
L1-D.loads-E.c0,67057
L1-D.loads-E.c1,579494
L1-D.loads-E.node0,646551
L1-D.loads-E.node1,0
L1-D.loads-E.total,646551
L1-D.loads-I.c0,2062701
L1-D.loads-I.c1,2026429
L1-D.loads-I.node0,4089130
L1-D.loads-I.node1,0
L1-D.loads-I.total,4089130
L1-D.loads-M.c0,29027771
L1-D.loads-M.c1,30613600
L1-D.loads-M.node0,59641371
L1-D.loads-M.node1,0
L1-D.loads-M.total,59641371
L1-D.loads-S.c0,2248614
L1-D.loads-S.c1,536660
L1-D.loads-S.node0,2785274
L1-D.loads-S.node1,0
L1-D.loads-S.total,2785274
L1-D.loads-where-L1.c0,31343438
L1-D.loads-where-L1.c1,31729754
L1-D.loads-where-L1.node0,63073192
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,63073192
L1-D.loads-where-L2.c0,1974872
L1-D.loads-where-L2.c1,1938453
L1-D.loads-where-L2.node0,3913325
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,3913325
L1-D.loads-where-L3.c0,386
L1-D.loads-where-L3.c1,44
L1-D.loads-where-L3.node0,430
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,430
L1-D.loads-where-L3_S.c0,80755
L1-D.loads-where-L3_S.c1,87883
L1-D.loads-where-L3_S.node0,168638
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,168638
L1-D.loads-where-dram-local.c0,6692
L1-D.loads-where-dram-local.c1,49
L1-D.loads-where-dram-local.node0,6741
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,6741
L1-D.loads.c0,33406143
L1-D.loads.c1,33756183
L1-D.loads.node0,67162326
L1-D.loads.node1,0
L1-D.loads.total,67162326
L1-D.store-misses-E,1807
L1-D.store-misses-I.c0,479478
L1-D.store-misses-I.c1,455877
L1-D.store-misses-I.node0,935355
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,935355
L1-D.store-misses-S.c0,54313
L1-D.store-misses-S.c1,50650
L1-D.store-misses-S.node0,104963
L1-D.store-misses-S.node1,0
L1-D.store-misses-S.total,104963
L1-D.store-misses.c0,535598
L1-D.store-misses.c1,506527
L1-D.store-misses.node0,1042125
L1-D.store-misses.node1,0
L1-D.store-misses.total,1042125
L1-D.stores-E,1807
L1-D.stores-I.c0,479478
L1-D.stores-I.c1,455877
L1-D.stores-I.node0,935355
L1-D.stores-I.node1,0
L1-D.stores-I.total,935355
L1-D.stores-M.c0,15634292
L1-D.stores-M.c1,15313207
L1-D.stores-M.node0,30947499
L1-D.stores-M.node1,0
L1-D.stores-M.total,30947499
L1-D.stores-S.c0,54313
L1-D.stores-S.c1,50650
L1-D.stores-S.node0,104963
L1-D.stores-S.node1,0
L1-D.stores-S.total,104963
L1-D.stores-where-L1.c0,15634292
L1-D.stores-where-L1.c1,15313207
L1-D.stores-where-L1.node0,30947499
L1-D.stores-where-L1.node1,0
L1-D.stores-where-L1.total,30947499
L1-D.stores-where-L2.c0,443281
L1-D.stores-where-L2.c1,425325
L1-D.stores-where-L2.node0,868606
L1-D.stores-where-L2.node1,0
L1-D.stores-where-L2.total,868606
L1-D.stores-where-L3.c0,7038
L1-D.stores-where-L3.c1,2653
L1-D.stores-where-L3.node0,9691
L1-D.stores-where-L3.node1,0
L1-D.stores-where-L3.total,9691
L1-D.stores-where-L3_S.c0,85274
L1-D.stores-where-L3_S.c1,78548
L1-D.stores-where-L3_S.node0,163822
L1-D.stores-where-L3_S.node1,0
L1-D.stores-where-L3_S.total,163822
L1-D.stores-where-dram-local.c0,5
L1-D.stores-where-dram-local.c1,1
L1-D.stores-where-dram-local.node0,6
L1-D.stores-where-dram-local.node1,0
L1-D.stores-where-dram-local.total,6
L1-D.stores.c0,16169890
L1-D.stores.c1,15819734
L1-D.stores.node0,31989624
L1-D.stores.node1,0
L1-D.stores.total,31989624
L1-D.total-latency.c0,9899317271820
L1-D.total-latency.c1,9164184460500
