metric,value
timestamp,2026-07-05T22:14:42
workload,BC
strategy,MPO
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/BC_S_MPO_8TH_20260705_025404
cpu_map,"[0, 2, 9, 1, 10, 3, 8, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,2.2567
total_instructions,33749178
avg_ipc,0.4674
avg_ipc_p,0.4674
avg_ipc_e,0.0
total_power_W,11.5386
dynamic_W,7.4781
leakage_W,4.0
dram_W,0.0605
energy_J,0.026039
node0_reads,10675
node1_reads,10609
node0_pct,50.155
node0_writes,38
node1_writes,48
dram_local,5606
dram_remote,5607
dram_remote_pct,50.0045
l1d_miss_pct,1.2282
l2_miss_pct,76.9247
l3_miss_pct,19.5274
l1d_mpki,2.2118
l2_mpki,1.7014
l3_mpki,0.3322
l3_miss_count,11213
cpi_base_frac,0.6211
cpi_branch_frac,0.1641
cpi_l2_frac,0.0
cpi_l3_frac,0.1571
cpi_dram_local_frac,0.0276
cpi_dram_remote_frac,0.0301
futex_wake_count,34
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.0465
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2499964
L1-D.access-mru-0.c1,633407
L1-D.access-mru-0.c2,614841
L1-D.access-mru-0.c3,634273
L1-D.access-mru-0.c4,581845
L1-D.access-mru-0.c5,628907
L1-D.access-mru-0.c6,614775
L1-D.access-mru-0.c7,645568
L1-D.access-mru-0.node0,4396551
L1-D.access-mru-0.node1,2457029
L1-D.access-mru-0.total,6853580
L1-D.access-mru-1.c0,118919
L1-D.access-mru-1.c1,5984
L1-D.access-mru-1.c2,6128
L1-D.access-mru-1.c3,5644
L1-D.access-mru-1.c4,6690
L1-D.access-mru-1.c5,6057
L1-D.access-mru-1.c6,6152
L1-D.access-mru-1.c7,5681
L1-D.access-mru-1.node0,136604
L1-D.access-mru-1.node1,24651
L1-D.access-mru-1.total,161255
L1-D.access-mru-2.c0,46324
L1-D.access-mru-2.c1,689
L1-D.access-mru-2.c2,740
L1-D.access-mru-2.c3,639
L1-D.access-mru-2.c4,930
L1-D.access-mru-2.c5,667
L1-D.access-mru-2.c6,753
L1-D.access-mru-2.c7,689
L1-D.access-mru-2.node0,48319
L1-D.access-mru-2.node1,3112
L1-D.access-mru-2.total,51431
L1-D.access-mru-3.c0,13126
L1-D.access-mru-3.c1,154
L1-D.access-mru-3.c2,198
L1-D.access-mru-3.c3,159
L1-D.access-mru-3.c4,378
L1-D.access-mru-3.c5,154
L1-D.access-mru-3.c6,151
L1-D.access-mru-3.c7,126
L1-D.access-mru-3.node0,13593
L1-D.access-mru-3.node1,853
L1-D.access-mru-3.total,14446
L1-D.access-mru-4.c0,4670
L1-D.access-mru-4.c1,79
L1-D.access-mru-4.c2,76
L1-D.access-mru-4.c3,95
L1-D.access-mru-4.c4,185
L1-D.access-mru-4.c5,76
L1-D.access-mru-4.c6,66
L1-D.access-mru-4.c7,81
L1-D.access-mru-4.node0,4920
L1-D.access-mru-4.node1,408
L1-D.access-mru-4.total,5328
L1-D.access-mru-5.c0,2278
L1-D.access-mru-5.c1,46
L1-D.access-mru-5.c2,35
L1-D.access-mru-5.c3,39
L1-D.access-mru-5.c4,49
L1-D.access-mru-5.c5,29
L1-D.access-mru-5.c6,31
L1-D.access-mru-5.c7,43
L1-D.access-mru-5.node0,2392
L1-D.access-mru-5.node1,158
L1-D.access-mru-5.total,2550
L1-D.access-mru-6.c0,1278
L1-D.access-mru-6.c1,21
L1-D.access-mru-6.c2,21
L1-D.access-mru-6.c3,34
L1-D.access-mru-6.c4,26
L1-D.access-mru-6.c5,16
L1-D.access-mru-6.c6,22
L1-D.access-mru-6.c7,33
L1-D.access-mru-6.node0,1349
L1-D.access-mru-6.node1,102
L1-D.access-mru-6.total,1451
L1-D.access-mru-7.c0,887
L1-D.access-mru-7.c1,104
L1-D.access-mru-7.c2,81
L1-D.access-mru-7.c3,101
L1-D.access-mru-7.c4,80
L1-D.access-mru-7.c5,87
L1-D.access-mru-7.c6,84
L1-D.access-mru-7.c7,89
L1-D.access-mru-7.node0,1179
L1-D.access-mru-7.node1,334
L1-D.access-mru-7.total,1513
L1-D.coherency-downgrades.c0,1105
L1-D.coherency-downgrades.c1,600
L1-D.coherency-downgrades.c2,513
L1-D.coherency-downgrades.c3,332
L1-D.coherency-downgrades.c4,52
L1-D.coherency-downgrades.c5,86
L1-D.coherency-downgrades.c6,74
L1-D.coherency-downgrades.c7,57
L1-D.coherency-downgrades.node0,2123
L1-D.coherency-downgrades.node1,696
L1-D.coherency-downgrades.total,2819
L1-D.coherency-invalidates.c0,82
L1-D.coherency-invalidates.c1,29
L1-D.coherency-invalidates.c2,30
L1-D.coherency-invalidates.c3,19
L1-D.coherency-invalidates.c4,159
L1-D.coherency-invalidates.c5,159
L1-D.coherency-invalidates.c6,155
L1-D.coherency-invalidates.c7,155
L1-D.coherency-invalidates.node0,289
L1-D.coherency-invalidates.node1,499
L1-D.coherency-invalidates.total,788
L1-D.coherency-upgrades.c0,25
L1-D.coherency-upgrades.c1,97
L1-D.coherency-upgrades.c2,94
L1-D.coherency-upgrades.c3,98
L1-D.coherency-upgrades.c4,6
L1-D.coherency-upgrades.c5,10
L1-D.coherency-upgrades.c6,14
L1-D.coherency-upgrades.c7,16
L1-D.coherency-upgrades.node0,230
L1-D.coherency-upgrades.node1,130
L1-D.coherency-upgrades.total,360
L1-D.coherency-writebacks.c0,10477
L1-D.coherency-writebacks.c1,10420
L1-D.coherency-writebacks.c2,10430
L1-D.coherency-writebacks.c3,10393
L1-D.coherency-writebacks.c4,10515
L1-D.coherency-writebacks.c5,10404
L1-D.coherency-writebacks.c6,10442
L1-D.coherency-writebacks.c7,10382
L1-D.coherency-writebacks.node0,41694
L1-D.coherency-writebacks.node1,41769
L1-D.coherency-writebacks.total,83463
L1-D.evict-E,13620
L1-D.evict-M.c0,12191
L1-D.evict-M.c1,1978
L1-D.evict-M.c2,2145
L1-D.evict-M.c3,1935
L1-D.evict-M.c4,2236
L1-D.evict-M.c5,1959
L1-D.evict-M.c6,2051
L1-D.evict-M.c7,1768
L1-D.evict-M.node0,18063
L1-D.evict-M.node1,8200
L1-D.evict-M.total,26263
L1-D.evict-S.c0,923
L1-D.evict-S.c1,334
L1-D.evict-S.c2,352
L1-D.evict-S.c3,338
L1-D.evict-S.c4,376
L1-D.evict-S.c5,343
L1-D.evict-S.c6,333
L1-D.evict-S.c7,306
L1-D.evict-S.node0,1938
L1-D.evict-S.node1,1367
L1-D.evict-S.total,3305
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,27606
L1-D.load-misses-I.c1,9174
L1-D.load-misses-I.c2,9341
L1-D.load-misses-I.c3,9154
L1-D.load-misses-I.c4,9499
L1-D.load-misses-I.c5,9162
L1-D.load-misses-I.c6,9264
L1-D.load-misses-I.c7,8952
L1-D.load-misses-I.node0,55096
L1-D.load-misses-I.node1,37056
L1-D.load-misses-I.total,92152
L1-D.load-misses-S.c0,6
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c3,2
L1-D.load-misses-S.c4,4
L1-D.load-misses-S.c5,2
L1-D.load-misses-S.c6,1
L1-D.load-misses-S.c7,4
L1-D.load-misses-S.node0,10
L1-D.load-misses-S.node1,10
L1-D.load-misses-S.total,20
L1-D.load-misses.c0,27614
L1-D.load-misses.c1,9174
L1-D.load-misses.c2,9342
L1-D.load-misses.c3,9156
L1-D.load-misses.c4,9503
L1-D.load-misses.c5,9164
L1-D.load-misses.c6,9265
L1-D.load-misses.c7,8956
L1-D.load-misses.node0,55108
L1-D.load-misses.node1,37066
L1-D.load-misses.total,92174
L1-D.loads-E.c0,167436
L1-D.loads-E.c1,173
L1-D.loads-E.c2,175
L1-D.loads-E.c3,182
L1-D.loads-E.c4,17
L1-D.loads-E.c5,17
L1-D.loads-E.c7,17
L1-D.loads-E.node0,167808
L1-D.loads-E.node1,209
L1-D.loads-E.total,168017
