                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11189867 |    3352450 |    3179915 |    3360064 |    2783098 |    3242154 |    3104592 |    3348363
  Cycles                             |   11675600 |   11675600 |   11675600 |   11675600 |    8756700 |    8756700 |    8756700 |    8756700
  IPC                                |       0.96 |       0.29 |       0.27 |       0.29 |       0.32 |       0.37 |       0.35 |       0.38
  Time (ns)                          |    2918900 |    2918900 |    2918900 |    2918900 |    2918900 |    2918900 |    2918900 |    2918900
  Idle time (ns)                     |       1555 |    2290110 |    2290578 |    2290834 |    2280581 |    2280838 |    2280986 |    2281150
  Idle time (%)                      |       0.1% |      78.5% |      78.5% |      78.5% |      78.1% |      78.1% |      78.1% |      78.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1372434 |    1049588 |     980133 |    1053480 |     818894 |    1012025 |     954434 |    1056822
  num incorrect                      |      78375 |       6326 |       8377 |       6161 |      13124 |       6661 |       8478 |       5029
  misprediction rate                 |      5.40% |      0.60% |      0.85% |      0.58% |      1.58% |      0.65% |      0.88% |      0.47%
  mpki                               |       7.00 |       1.89 |       2.63 |       1.83 |       4.72 |       2.05 |       2.73 |       1.50
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1296360 |      57582 |      69911 |      55548 |      99476 |      57835 |      69984 |      47798
    num misses                       |        174 |         27 |         27 |         27 |         29 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05% |      0.03% |      0.05% |      0.04% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2730588 |     656824 |     638308 |     657188 |     595575 |     639535 |     625245 |     649351
    num misses                       |       1516 |        133 |        138 |        141 |        120 |        115 |        115 |        129
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1690 |        160 |        165 |        168 |        149 |        142 |        142 |        156
    num misses                       |        585 |        132 |        132 |        133 |        130 |        126 |        124 |        139
    miss rate                        |     34.62% |     82.50% |     80.00% |     79.17% |     87.25% |     88.73% |     87.32% |     89.10%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1296360 |      57582 |      69911 |      55548 |      99476 |      57835 |      69984 |      47798
    num cache misses                 |       2783 |        171 |        171 |        172 |        179 |        171 |        172 |        170
    miss rate                        |      0.21% |      0.30% |      0.24% |      0.31% |      0.18% |      0.30% |      0.25% |      0.36%
    mpki                             |       0.25 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2730588 |     656824 |     638308 |     657188 |     595575 |     639535 |     625245 |     649351
    num cache misses                 |      37467 |      13064 |      13279 |      13017 |      13408 |      13080 |      13260 |      12978
    miss rate                        |      1.37% |      1.99% |      2.08% |      1.98% |      2.25% |      2.05% |      2.12% |      2.00%
    mpki                             |       3.35 |       3.90 |       4.18 |       3.87 |       4.82 |       4.03 |       4.27 |       3.88
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42294 |      13241 |      13450 |      13192 |      13590 |      13252 |      13433 |      13149
    num cache misses                 |      28939 |      12016 |      12196 |      12026 |      12350 |      12068 |      12227 |      12061
    miss rate                        |     68.42% |     90.75% |     90.68% |     91.16% |     90.88% |     91.07% |     91.02% |     91.73%
    mpki                             |       2.59 |       3.58 |       3.84 |       3.58 |       4.44 |       3.72 |       3.94 |       3.60
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31365 |      12029 |      12198 |      12029 |      12354 |      12070 |      12229 |      12064
    num cache misses                 |      17308 |        560 |        601 |        530 |        683 |        541 |        595 |        579
    miss rate                        |     55.18% |      4.66% |      4.93% |      4.41% |      5.53% |      4.48% |      4.87% |      4.80%
    mpki                             |       1.55 |       0.17 |       0.19 |       0.16 |       0.25 |       0.17 |       0.19 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      21307 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.87 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10489 |        249 |        249 |        232 |        315 |        241 |        274 |        300
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
