                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  112358000 |  113972491 |  116357555 |  115938065 |  114787734 |  115083721 |  115543722 |  115927219
  Cycles                             |   42379200 |   42379200 |   42379200 |   42379200 |   42379200 |   42379200 |   42379200 |   42379200
  IPC                                |       2.65 |       2.69 |       2.75 |       2.74 |       2.71 |       2.72 |       2.73 |       2.74
  Time (ns)                          |   10594800 |   10594800 |   10594800 |   10594800 |   10594800 |   10594800 |   10594800 |   10594800
  Idle time (ns)                     |        383 |     250302 |     251124 |     251714 |     252252 |     252803 |     253351 |     253900
  Idle time (%)                      |       0.0% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4% |       2.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     758021 |    1561819 |   20224998 |   20085153 |   19914877 |   20013536 |   20403630 |   20531522
  num incorrect                      |      12576 |       5279 |       3960 |       3962 |       3795 |       3795 |       3235 |       3171
  misprediction rate                 |      1.63% |      0.34% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.11 |       0.05 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10655524 |   10472896 |    5345233 |    5345233 |    5274946 |    5274948 |    5210778 |    5210779
    num misses                       |        259 |         38 |         38 |         38 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   51732942 |   51561715 |   36011792 |   35941869 |   35541381 |   35590716 |   35440391 |   35504312
    num misses                       |       8536 |       1734 |       2012 |       1342 |       1376 |        825 |       3047 |       2408
    miss rate                        |      0.02% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.03 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       8795 |       1772 |       2050 |       1380 |       1414 |        863 |       3085 |       2446
    num misses                       |        611 |        151 |        131 |        130 |        130 |        131 |        130 |        127
    miss rate                        |      6.95% |      8.52% |      6.39% |      9.42% |      9.19% |     15.18% |      4.21% |      5.19%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10655524 |   10472896 |    5345233 |    5345233 |    5274946 |    5274948 |    5210778 |    5210779
    num cache misses                 |      76355 |      56903 |      56393 |      56387 |      56296 |      56296 |      54098 |      54100
    miss rate                        |      0.72% |      0.54% |      1.06% |      1.05% |      1.07% |      1.07% |      1.04% |      1.04%
    mpki                             |       0.68 |       0.50 |       0.48 |       0.49 |       0.49 |       0.49 |       0.47 |       0.47
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   51732942 |   51561715 |   36011792 |   35941869 |   35541381 |   35590716 |   35440391 |   35504312
    num cache misses                 |     782352 |     731680 |     410481 |     402307 |     374113 |     389849 |     354024 |     351270
    miss rate                        |      1.51% |      1.42% |      1.14% |      1.12% |      1.05% |      1.10% |      1.00% |      0.99%
    mpki                             |       6.96 |       6.42 |       3.53 |       3.47 |       3.26 |       3.39 |       3.06 |       3.03
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     881074 |     809795 |     474892 |     466152 |     445378 |     455676 |     421204 |     417556
    num cache misses                 |      83221 |      62930 |      44297 |      48319 |      58957 |      60187 |      54866 |      50858
    miss rate                        |      9.45% |      7.77% |      9.33% |     10.37% |     13.24% |     13.21% |     13.03% |     12.18%
    mpki                             |       0.74 |       0.55 |       0.38 |       0.42 |       0.51 |       0.52 |       0.47 |       0.44
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     118942 |     104220 |      74002 |      73500 |      84444 |      79441 |      77678 |      66234
    num cache misses                 |      33354 |      14770 |       8192 |      20329 |      41686 |      12986 |      15846 |      18771
    miss rate                        |     28.04% |     14.17% |     11.07% |     27.66% |     49.37% |     16.35% |     20.40% |     28.34%
    mpki                             |       0.30 |       0.13 |       0.07 |       0.18 |       0.36 |       0.11 |       0.14 |       0.16
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       9477 |          0 |          0 |          0 |       9446 |          0 |          0 |          0
  average dram access latency (ns)   |      82.99 |        inf |        inf |        inf |      82.94 |        inf |        inf |        inf
  average dram queueing delay        |      21.74 |       0.00 |       0.00 |       0.00 |      21.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6693 |         50 |         45 |          8 |         48 |         49 |         57 |         15
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      16675 |      13400 |       6781 |      15602 |      40092 |      11526 |      14446 |      14797
