                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11162956 |    3299616 |    3127615 |    3311782 |    2795312 |    3271072 |    3146692 |    3391636
  Cycles                             |    9175200 |    9175200 |    9175200 |    9175200 |    9175200 |    9175200 |    9175200 |    9175200
  IPC                                |       1.22 |       0.36 |       0.34 |       0.36 |       0.30 |       0.36 |       0.34 |       0.37
  Time (ns)                          |    2293800 |    2293800 |    2293800 |    2293800 |    2293800 |    2293800 |    2293800 |    2293800
  Idle time (ns)                     |       1473 |    1824788 |    1825182 |    1825380 |    1825423 |    1825397 |    1825475 |    1825523
  Idle time (%)                      |       0.1% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1363404 |    1032692 |     962781 |    1037851 |     822703 |    1021414 |     968787 |    1071187
  num incorrect                      |      79638 |       6212 |       8508 |       6111 |      13128 |       6526 |       8344 |       5021
  misprediction rate                 |      5.52% |      0.60% |      0.88% |      0.59% |      1.57% |      0.63% |      0.85% |      0.47%
  mpki                               |       7.13 |       1.88 |       2.72 |       1.85 |       4.70 |       2.00 |       2.65 |       1.48
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1414587 |      56776 |      69179 |      55288 |     100879 |      58508 |      69853 |      48441
    num misses                       |        170 |         25 |         25 |         25 |         24 |         25 |         24 |         25
    miss rate                        |      0.01% |      0.04% |      0.04% |      0.05% |      0.02% |      0.04% |      0.03% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2725434 |     647780 |     629897 |     648697 |     597242 |     644772 |     632635 |     656778
    num misses                       |       1410 |        130 |        140 |        135 |        157 |        129 |        117 |        115
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1580 |        155 |        165 |        160 |        181 |        154 |        141 |        140
    num misses                       |        574 |        127 |        127 |        128 |        126 |        128 |        117 |        125
    miss rate                        |     36.33% |     81.94% |     76.97% |     80.00% |     69.61% |     83.12% |     82.98% |     89.29%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1414587 |      56776 |      69179 |      55288 |     100879 |      58508 |      69853 |      48441
    num cache misses                 |       2688 |        168 |        169 |        169 |        164 |        169 |        162 |        169
    miss rate                        |      0.19% |      0.30% |      0.24% |      0.31% |      0.16% |      0.29% |      0.23% |      0.35%
    mpki                             |       0.24 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2725434 |     647780 |     629897 |     648697 |     597242 |     644772 |     632635 |     656778
    num cache misses                 |      37292 |      13164 |      13358 |      13059 |      13475 |      13211 |      13258 |      12987
    miss rate                        |      1.37% |      2.03% |      2.12% |      2.01% |      2.26% |      2.05% |      2.10% |      1.98%
    mpki                             |       3.34 |       3.99 |       4.27 |       3.94 |       4.82 |       4.04 |       4.21 |       3.83
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42296 |      13448 |      13682 |      13362 |      14127 |      13764 |      13819 |      13515
    num cache misses                 |      27233 |      12114 |      12270 |      12047 |      12365 |      12166 |      12209 |      12058
    miss rate                        |     64.39% |     90.08% |     89.68% |     90.16% |     87.53% |     88.39% |     88.35% |     89.22%
    mpki                             |       2.44 |       3.67 |       3.92 |       3.64 |       4.42 |       3.72 |       3.88 |       3.56
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      29886 |      12240 |      12428 |      12181 |      12853 |      12552 |      12607 |      12421
    num cache misses                 |      21809 |       6820 |       6959 |       6702 |       7549 |       7329 |       7332 |       7248
    miss rate                        |     72.97% |     55.72% |     55.99% |     55.02% |     58.73% |     58.39% |     58.16% |     58.35%
    mpki                             |       1.95 |       2.07 |       2.23 |       2.02 |       2.70 |       2.24 |       2.33 |       2.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       9732 |          0 |          0 |          0 |       9694 |          0 |          0 |          0
  average dram access latency (ns)   |      61.48 |        inf |        inf |        inf |      61.47 |        inf |        inf |        inf
  average dram queueing delay        |       0.23 |       0.00 |       0.00 |       0.00 |       0.21 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10438 |        148 |        147 |        127 |         88 |         96 |        107 |         74
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1974 |       1943 |       1957 |       1946 |       2514 |       2509 |       2441 |       2363
