metric,value
timestamp,2026-07-05T22:06:13
workload,CG
strategy,Packed
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/CG_S_Packed_8TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,7.1431
total_instructions,354775247
avg_ipc,3.8345
avg_ipc_p,1.5826
avg_ipc_e,6.0865
total_power_W,21.5016
dynamic_W,18.6604
leakage_W,2.8
dram_W,0.0411
energy_J,0.153588
node0_reads,45822
node1_reads,0
node0_pct,100.0
node0_writes,110
node1_writes,0
dram_local,7927
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,7.6296
l2_miss_pct,6.3288
l3_miss_pct,1.35
l1d_mpki,26.1514
l2_mpki,1.6551
l3_mpki,0.0223
l3_miss_count,7927
cpi_base_frac,0.8866
cpi_branch_frac,0.0458
cpi_l2_frac,0.0
cpi_l3_frac,0.0644
cpi_dram_local_frac,0.0031
cpi_dram_remote_frac,0.0
futex_wake_count,2176
futex_wait_count,3
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,48.5818
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,11111629
L1-D.access-mru-0.c1,11105123
L1-D.access-mru-0.c2,10871527
L1-D.access-mru-0.c3,10946215
L1-D.access-mru-0.c4,10750170
L1-D.access-mru-0.c5,10684326
L1-D.access-mru-0.c6,10836732
L1-D.access-mru-0.c7,10722416
L1-D.access-mru-0.node0,87028138
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,87028138
L1-D.access-mru-1.c0,1093345
L1-D.access-mru-1.c1,1045035
L1-D.access-mru-1.c2,1046389
L1-D.access-mru-1.c3,1004608
L1-D.access-mru-1.c4,1042128
L1-D.access-mru-1.c5,1001892
L1-D.access-mru-1.c6,1030407
L1-D.access-mru-1.c7,986432
L1-D.access-mru-1.node0,8250236
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,8250236
L1-D.access-mru-2.c0,656625
L1-D.access-mru-2.c1,630542
L1-D.access-mru-2.c2,617007
L1-D.access-mru-2.c3,653798
L1-D.access-mru-2.c4,652011
L1-D.access-mru-2.c5,609780
L1-D.access-mru-2.c6,636070
L1-D.access-mru-2.c7,619781
L1-D.access-mru-2.node0,5075614
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,5075614
L1-D.access-mru-3.c0,628405
L1-D.access-mru-3.c1,614840
L1-D.access-mru-3.c2,596832
L1-D.access-mru-3.c3,590821
L1-D.access-mru-3.c4,609648
L1-D.access-mru-3.c5,623465
L1-D.access-mru-3.c6,628995
L1-D.access-mru-3.c7,606932
L1-D.access-mru-3.node0,4899938
