                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   96772630 |   98462244 |   98198599 |   98629678 |   99103066 |   99307772 |   98957907 |   99417059
  Cycles                             |   38110800 |   38110800 |   38110800 |   38110800 |   38110800 |   38110800 |   38110800 |   38110800
  IPC                                |       2.54 |       2.58 |       2.58 |       2.59 |       2.60 |       2.61 |       2.60 |       2.61
  Time (ns)                          |    9527700 |    9527700 |    9527700 |    9527700 |    9527700 |    9527700 |    9527700 |    9527700
  Idle time (ns)                     |        416 |     235319 |     235672 |     235827 |     235895 |     236031 |     236116 |     236211
  Idle time (%)                      |       0.0% |       2.5% |       2.5% |       2.5% |       2.5% |       2.5% |       2.5% |       2.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5481134 |    6199276 |    6111395 |    6254917 |    6412747 |    6481373 |    6364753 |    6517631
  num incorrect                      |      45939 |      38404 |      38411 |      38415 |      38403 |      38397 |      38398 |      38408
  misprediction rate                 |      0.83% |      0.62% |      0.62% |      0.61% |      0.60% |      0.59% |      0.60% |      0.59%
  mpki                               |       0.47 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39 |       0.39
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    8913465 |    8798205 |    8798209 |    8798322 |    8798319 |    8798016 |    8798012 |    8798126
    num misses                       |        227 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   31314327 |   31358596 |   31314651 |   31386782 |   31465648 |   31499082 |   31440771 |   31517579
    num misses                       |      28983 |      26982 |      27726 |      27032 |      27453 |      27371 |      27746 |      27639
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09%
    mpki                             |       0.30 |       0.27 |       0.28 |       0.27 |       0.28 |       0.28 |       0.28 |       0.28
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      29210 |      27007 |      27751 |      27057 |      27478 |      27396 |      27771 |      27664
    num misses                       |       5869 |       4963 |       4971 |       5004 |       5018 |       4939 |       5010 |       5009
    miss rate                        |     20.09% |     18.38% |     17.91% |     18.49% |     18.26% |     18.03% |     18.04% |     18.11%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    8913465 |    8798205 |    8798209 |    8798322 |    8798319 |    8798016 |    8798012 |    8798126
    num cache misses                 |      13326 |       2756 |       2734 |       2861 |       2800 |       2925 |       2754 |       2780
    miss rate                        |      0.15% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.14 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   31314327 |   31358596 |   31314651 |   31386782 |   31465648 |   31499082 |   31440771 |   31517579
    num cache misses                 |    3497428 |    3480339 |    3480263 |    3480450 |    3480405 |    3480281 |    3480273 |    3480285
    miss rate                        |     11.17% |     11.10% |     11.11% |     11.09% |     11.06% |     11.05% |     11.07% |     11.04%
    mpki                             |      36.14 |      35.35 |      35.44 |      35.29 |      35.12 |      35.05 |      35.17 |      35.01
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    3560864 |    3530918 |    3530547 |    3530682 |    3531655 |    3531524 |    3531278 |    3531077
    num cache misses                 |     416655 |     394297 |     394537 |     394715 |     394532 |     394710 |     394485 |     394544
    miss rate                        |     11.70% |     11.17% |     11.17% |     11.18% |     11.17% |     11.18% |     11.17% |     11.17%
    mpki                             |       4.31 |       4.00 |       4.02 |       4.00 |       3.98 |       3.97 |       3.99 |       3.97
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     529750 |     503707 |     503284 |     504249 |     506948 |     505766 |     504573 |     503993
    num cache misses                 |     237338 |     222353 |     223385 |     223804 |     224532 |     222254 |     221609 |     220667
    miss rate                        |     44.80% |     44.14% |     44.39% |     44.38% |     44.29% |     43.94% |     43.92% |     43.78%
    mpki                             |       2.45 |       2.26 |       2.27 |       2.27 |       2.27 |       2.24 |       2.24 |       2.22
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    1215788 |          0 |          0 |          0 |    1215133 |          0 |          0 |          0
  average dram access latency (ns)   |    1844.16 |        inf |        inf |        inf |    1855.92 |        inf |        inf |        inf
  average dram queueing delay        |    1782.91 |       0.00 |       0.00 |       0.00 |    1794.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |      0.00% |     15.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     113477 |     103003 |     103023 |     102958 |     101084 |      99727 |      98368 |      94676
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      42489 |      42928 |      43641 |      44192 |      49346 |      49233 |      49562 |      52023
