                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5525992 |    5393439 |    5369607 |    5302155 |    5262733 |    5257381 |    5250811 |    5152327
  Cycles                             |    6820200 |    6820200 |    6820200 |    6820200 |    6820200 |    6820200 |    6820200 |    6820200
  IPC                                |       0.81 |       0.79 |       0.79 |       0.78 |       0.77 |       0.77 |       0.77 |       0.76
  Time (ns)                          |    2273400 |    2273400 |    2273400 |    2273400 |    2273400 |    2273400 |    2273400 |    2273400
  Idle time (ns)                     |         98 |     248770 |     249257 |     249529 |     249754 |     249978 |     250230 |     250480
  Idle time (%)                      |       0.0% |      10.9% |      11.0% |      11.0% |      11.0% |      11.0% |      11.0% |      11.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     515268 |     546779 |     540012 |     529199 |     521440 |     520836 |     516977 |     498195
  num incorrect                      |       4325 |        513 |        523 |       1065 |       1237 |       1209 |       1263 |       1433
  misprediction rate                 |      0.83% |      0.09% |      0.10% |      0.20% |      0.24% |      0.23% |      0.24% |      0.29%
  mpki                               |       0.78 |       0.10 |       0.10 |       0.20 |       0.24 |       0.23 |       0.24 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     440237 |     377347 |     367062 |     356076 |     345490 |     335018 |     324735 |     305060
    num misses                       |        117 |         24 |         24 |         24 |         22 |         24 |         22 |         24
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2105266 |    1967294 |    1957383 |    1925087 |    1900019 |    1897404 |    1898982 |    1861164
    num misses                       |       7602 |       7026 |       7359 |       6517 |       6242 |       6265 |       6666 |       6288
    miss rate                        |      0.36% |      0.36% |      0.38% |      0.34% |      0.33% |      0.33% |      0.35% |      0.34%
    mpki                             |       1.38 |       1.30 |       1.37 |       1.23 |       1.19 |       1.19 |       1.27 |       1.22
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       7719 |       7050 |       7383 |       6541 |       6264 |       6289 |       6688 |       6312
    num misses                       |        536 |        286 |        225 |        285 |        219 |        293 |        247 |        295
    miss rate                        |      6.94% |      4.06% |      3.05% |      4.36% |      3.50% |      4.66% |      3.69% |      4.67%
    mpki                             |       0.10 |       0.05 |       0.04 |       0.05 |       0.04 |       0.06 |       0.05 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     440237 |     377347 |     367062 |     356076 |     345490 |     335018 |     324735 |     305060
    num cache misses                 |       2144 |        154 |        153 |        159 |        152 |        168 |        168 |        172
    miss rate                        |      0.49% |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.06%
    mpki                             |       0.39 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2105266 |    1967294 |    1957383 |    1925087 |    1900019 |    1897404 |    1898982 |    1861164
    num cache misses                 |      94653 |      84069 |      84397 |      82650 |      82153 |      82482 |      82610 |      82122
    miss rate                        |      4.50% |      4.27% |      4.31% |      4.29% |      4.32% |      4.35% |      4.35% |      4.41%
    mpki                             |      17.13 |      15.59 |      15.72 |      15.59 |      15.61 |      15.69 |      15.73 |      15.94
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     118617 |     104511 |     105183 |     102645 |     102437 |     103192 |     103455 |     102160
    num cache misses                 |      51278 |      41880 |      42475 |      43254 |      42143 |      42847 |      42546 |      42808
    miss rate                        |     43.23% |     40.07% |     40.38% |     42.14% |     41.14% |     41.52% |     41.13% |     41.90%
    mpki                             |       9.28 |       7.76 |       7.91 |       8.16 |       8.01 |       8.15 |       8.10 |       8.31
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      76465 |      64102 |      65079 |      64673 |      65054 |      65362 |      65201 |      64304
    num cache misses                 |      30135 |      19375 |      19978 |      23761 |      21532 |      19796 |      19863 |      23951
    miss rate                        |     39.41% |     30.23% |     30.70% |     36.74% |     33.10% |     30.29% |     30.46% |     37.25%
    mpki                             |       5.45 |       3.59 |       3.72 |       4.48 |       4.09 |       3.77 |       3.78 |       4.65
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       9217 |          0 |          0 |          0 |       9159 |          0 |          0 |          0
  average dram access latency (ns)   |     263.30 |        inf |        inf |        inf |     263.13 |        inf |        inf |        inf
  average dram queueing delay        |     202.05 |       0.00 |       0.00 |       0.00 |     201.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6264 |         12 |         19 |         15 |         19 |         17 |         17 |         17
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      14578 |      14828 |      15317 |      14784 |      14798 |      15246 |      15286 |      14750
