metric,value
timestamp,2026-07-05T22:15:22
workload,MG
strategy,MPO
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/MG_S_MPO_8TH_20260705_025404
cpu_map,"[3, 11, 2, 1, 8, 9, 10, 0]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,0.9952
total_instructions,46889930
avg_ipc,1.4723
avg_ipc_p,1.4723
avg_ipc_e,0.0
total_power_W,27.7358
dynamic_W,23.557
leakage_W,4.0
dram_W,0.1789
energy_J,0.027603
node0_reads,13904
node1_reads,13878
node0_pct,50.0468
node0_writes,18
node1_writes,27
dram_local,3682
dram_remote,3676
dram_remote_pct,49.9592
l1d_miss_pct,2.7402
l2_miss_pct,13.7356
l3_miss_pct,11.4122
l1d_mpki,10.0107
l2_mpki,1.375
l3_mpki,0.1569
l3_miss_count,7358
cpi_base_frac,0.8842
cpi_branch_frac,0.0238
cpi_l2_frac,0.0
cpi_l3_frac,0.0745
cpi_dram_local_frac,0.0076
cpi_dram_remote_frac,0.0098
futex_wake_count,771
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,139.4055
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2365961
L1-D.access-mru-0.c1,2173201
L1-D.access-mru-0.c2,2147928
L1-D.access-mru-0.c3,2131544
L1-D.access-mru-0.c4,2168831
L1-D.access-mru-0.c5,2159118
L1-D.access-mru-0.c6,2162602
L1-D.access-mru-0.c7,2149358
L1-D.access-mru-0.node0,8794791
L1-D.access-mru-0.node1,8663752
L1-D.access-mru-0.total,17458543
L1-D.access-mru-1.c0,268566
L1-D.access-mru-1.c1,217161
L1-D.access-mru-1.c2,216376
L1-D.access-mru-1.c3,215557
L1-D.access-mru-1.c4,215678
L1-D.access-mru-1.c5,214867
L1-D.access-mru-1.c6,214340
L1-D.access-mru-1.c7,215582
L1-D.access-mru-1.node0,916081
L1-D.access-mru-1.node1,862046
L1-D.access-mru-1.total,1778127
L1-D.access-mru-2.c0,56336
L1-D.access-mru-2.c1,47745
L1-D.access-mru-2.c2,47563
L1-D.access-mru-2.c3,47710
L1-D.access-mru-2.c4,47667
L1-D.access-mru-2.c5,47653
L1-D.access-mru-2.c6,47627
L1-D.access-mru-2.c7,47288
L1-D.access-mru-2.node0,198897
L1-D.access-mru-2.node1,190692
L1-D.access-mru-2.total,389589
L1-D.access-mru-3.c0,18731
L1-D.access-mru-3.c1,11966
L1-D.access-mru-3.c2,12204
L1-D.access-mru-3.c3,12070
L1-D.access-mru-3.c4,12067
L1-D.access-mru-3.c5,11900
L1-D.access-mru-3.c6,11888
L1-D.access-mru-3.c7,11943
L1-D.access-mru-3.node0,54948
L1-D.access-mru-3.node1,47821
L1-D.access-mru-3.total,102769
L1-D.access-mru-4.c0,6453
L1-D.access-mru-4.c1,1540
L1-D.access-mru-4.c2,1449
L1-D.access-mru-4.c3,1452
L1-D.access-mru-4.c4,1434
L1-D.access-mru-4.c5,1420
L1-D.access-mru-4.c6,1454
L1-D.access-mru-4.c7,1467
L1-D.access-mru-4.node0,10821
L1-D.access-mru-4.node1,5848
L1-D.access-mru-4.total,16669
L1-D.access-mru-5.c0,4589
L1-D.access-mru-5.c1,1043
L1-D.access-mru-5.c2,948
L1-D.access-mru-5.c3,955
L1-D.access-mru-5.c4,941
L1-D.access-mru-5.c5,852
L1-D.access-mru-5.c6,892
L1-D.access-mru-5.c7,866
L1-D.access-mru-5.node0,7358
L1-D.access-mru-5.node1,3728
L1-D.access-mru-5.total,11086
L1-D.access-mru-6.c0,2712
L1-D.access-mru-6.c1,704
L1-D.access-mru-6.c2,607
L1-D.access-mru-6.c3,576
L1-D.access-mru-6.c4,577
L1-D.access-mru-6.c5,554
L1-D.access-mru-6.c6,706
L1-D.access-mru-6.c7,658
L1-D.access-mru-6.node0,4553
L1-D.access-mru-6.node1,2541
L1-D.access-mru-6.total,7094
L1-D.access-mru-7.c0,2196
L1-D.access-mru-7.c1,631
L1-D.access-mru-7.c2,760
L1-D.access-mru-7.c3,580
L1-D.access-mru-7.c4,677
L1-D.access-mru-7.c5,653
L1-D.access-mru-7.c6,574
L1-D.access-mru-7.c7,668
L1-D.access-mru-7.node0,4204
L1-D.access-mru-7.node1,2535
L1-D.access-mru-7.total,6739
L1-D.coherency-downgrades.c0,8854
L1-D.coherency-downgrades.c1,4642
L1-D.coherency-downgrades.c2,4053
L1-D.coherency-downgrades.c3,3830
L1-D.coherency-downgrades.c4,2099
L1-D.coherency-downgrades.c5,2015
L1-D.coherency-downgrades.c6,2027
L1-D.coherency-downgrades.c7,2368
L1-D.coherency-downgrades.node0,19105
L1-D.coherency-downgrades.node1,10783
L1-D.coherency-downgrades.total,29888
L1-D.coherency-invalidates.c0,592
L1-D.coherency-invalidates.c1,406
L1-D.coherency-invalidates.c2,532
L1-D.coherency-invalidates.c3,749
L1-D.coherency-invalidates.c4,1617
L1-D.coherency-invalidates.c5,1552
L1-D.coherency-invalidates.c6,1412
L1-D.coherency-invalidates.c7,1480
L1-D.coherency-invalidates.node0,3353
L1-D.coherency-invalidates.node1,4987
L1-D.coherency-invalidates.total,8340
L1-D.coherency-upgrades.c0,153
L1-D.coherency-upgrades.c1,1005
L1-D.coherency-upgrades.c2,1042
L1-D.coherency-upgrades.c3,991
L1-D.coherency-upgrades.c4,174
L1-D.coherency-upgrades.c5,229
L1-D.coherency-upgrades.c6,160
L1-D.coherency-upgrades.c7,131
L1-D.coherency-upgrades.node0,2317
L1-D.coherency-upgrades.node1,1568
L1-D.coherency-upgrades.total,3885
L1-D.coherency-writebacks.c0,1018
L1-D.coherency-writebacks.c1,1802
L1-D.coherency-writebacks.c2,1724
L1-D.coherency-writebacks.c3,1717
L1-D.coherency-writebacks.c4,1330
L1-D.coherency-writebacks.c5,1322
L1-D.coherency-writebacks.c6,1288
L1-D.coherency-writebacks.c7,974
L1-D.coherency-writebacks.node0,5433
L1-D.coherency-writebacks.node1,5742
L1-D.coherency-writebacks.total,11175
L1-D.evict-E.c0,6481
L1-D.evict-E.c1,2
L1-D.evict-E.c2,5
L1-D.evict-E.c3,16
L1-D.evict-E.node0,6502
L1-D.evict-E.node1,2
L1-D.evict-E.total,6504
L1-D.evict-M.c0,73754
L1-D.evict-M.c1,60808
L1-D.evict-M.c2,61131
L1-D.evict-M.c3,59306
L1-D.evict-M.c4,54731
L1-D.evict-M.c5,60921
L1-D.evict-M.c6,60892
L1-D.evict-M.c7,60353
L1-D.evict-M.node0,254544
L1-D.evict-M.node1,237352
L1-D.evict-M.total,491896
L1-D.evict-S.c0,18118
L1-D.evict-S.c1,12090
L1-D.evict-S.c2,10133
L1-D.evict-S.c3,11802
L1-D.evict-S.c4,16320
L1-D.evict-S.c5,10054
L1-D.evict-S.c6,9993
L1-D.evict-S.c7,10340
L1-D.evict-S.node0,50393
L1-D.evict-S.node1,48457
L1-D.evict-S.total,98850
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,74833
L1-D.load-misses-I.c1,59941
L1-D.load-misses-I.c2,59771
L1-D.load-misses-I.c3,59816
L1-D.load-misses-I.c4,59457
