metric,value
timestamp,2026-07-05T22:15:08
workload,MG
strategy,Packed
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/MG_S_Packed_8TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,1.3413
total_instructions,49152269
avg_ipc,2.7927
avg_ipc_p,1.1919
avg_ipc_e,4.3934
total_power_W,18.4683
dynamic_W,15.5355
leakage_W,2.8
dram_W,0.1328
energy_J,0.024771
node0_reads,27781
node1_reads,0
node0_pct,100.0
node0_writes,59
node1_writes,0
dram_local,7668
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,2.7986
l2_miss_pct,17.1969
l3_miss_pct,9.0892
l1d_mpki,9.9808
l2_mpki,1.7164
l3_mpki,0.156
l3_miss_count,7668
cpi_base_frac,0.8544
cpi_branch_frac,0.0215
cpi_l2_frac,0.0001
cpi_l3_frac,0.1106
cpi_dram_local_frac,0.0135
cpi_dram_remote_frac,0.0
futex_wake_count,797
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,131.7815
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2447758
L1-D.access-mru-0.c1,2283063
L1-D.access-mru-0.c2,2257521
L1-D.access-mru-0.c3,2249633
L1-D.access-mru-0.c4,2152800
L1-D.access-mru-0.c5,2147045
L1-D.access-mru-0.c6,2156317
L1-D.access-mru-0.c7,2126092
L1-D.access-mru-0.node0,17820229
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,17820229
L1-D.access-mru-1.c0,271541
L1-D.access-mru-1.c1,219667
L1-D.access-mru-1.c2,217954
L1-D.access-mru-1.c3,216965
L1-D.access-mru-1.c4,216788
L1-D.access-mru-1.c5,217316
L1-D.access-mru-1.c6,216576
L1-D.access-mru-1.c7,218170
L1-D.access-mru-1.node0,1794977
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,1794977
L1-D.access-mru-2.c0,56934
L1-D.access-mru-2.c1,47286
L1-D.access-mru-2.c2,46916
L1-D.access-mru-2.c3,46917
L1-D.access-mru-2.c4,47034
L1-D.access-mru-2.c5,46686
L1-D.access-mru-2.c6,46696
L1-D.access-mru-2.c7,46476
L1-D.access-mru-2.node0,384945
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,384945
L1-D.access-mru-3.c0,19375
L1-D.access-mru-3.c1,13134
L1-D.access-mru-3.c2,13332
L1-D.access-mru-3.c3,13128
L1-D.access-mru-3.c4,12990
L1-D.access-mru-3.c5,12928
L1-D.access-mru-3.c6,13178
L1-D.access-mru-3.c7,13115
L1-D.access-mru-3.node0,111180
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,111180
L1-D.access-mru-4.c0,6646
L1-D.access-mru-4.c1,1342
L1-D.access-mru-4.c2,1229
L1-D.access-mru-4.c3,1347
L1-D.access-mru-4.c4,1324
L1-D.access-mru-4.c5,1266
L1-D.access-mru-4.c6,1245
L1-D.access-mru-4.c7,1267
L1-D.access-mru-4.node0,15666
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,15666
L1-D.access-mru-5.c0,4692
L1-D.access-mru-5.c1,1042
L1-D.access-mru-5.c2,993
L1-D.access-mru-5.c3,937
L1-D.access-mru-5.c4,986
L1-D.access-mru-5.c5,850
L1-D.access-mru-5.c6,918
L1-D.access-mru-5.c7,876
L1-D.access-mru-5.node0,11294
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,11294
L1-D.access-mru-6.c0,2995
L1-D.access-mru-6.c1,679
L1-D.access-mru-6.c2,609
L1-D.access-mru-6.c3,562
L1-D.access-mru-6.c4,597
L1-D.access-mru-6.c5,516
L1-D.access-mru-6.c6,692
L1-D.access-mru-6.c7,585
L1-D.access-mru-6.node0,7235
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,7235
L1-D.access-mru-7.c0,2126
L1-D.access-mru-7.c1,598
L1-D.access-mru-7.c2,652
L1-D.access-mru-7.c3,556
L1-D.access-mru-7.c4,630
L1-D.access-mru-7.c5,653
L1-D.access-mru-7.c6,556
L1-D.access-mru-7.c7,700
L1-D.access-mru-7.node0,6471
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,6471
L1-D.backinval-M.c4,7
L1-D.backinval-M.c6,2
L1-D.backinval-M.node0,9
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,9
L1-D.coherency-downgrades.c0,13983
L1-D.coherency-downgrades.c1,7704
L1-D.coherency-downgrades.c2,7253
L1-D.coherency-downgrades.c3,7051
L1-D.coherency-downgrades.c4,6283
L1-D.coherency-downgrades.c5,6064
L1-D.coherency-downgrades.c6,6113
L1-D.coherency-downgrades.c7,6434
L1-D.coherency-downgrades.node0,60885
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,60885
L1-D.coherency-invalidates.c0,233
L1-D.coherency-invalidates.c1,1077
L1-D.coherency-invalidates.c2,1169
L1-D.coherency-invalidates.c3,1132
L1-D.coherency-invalidates.c4,952
L1-D.coherency-invalidates.c5,1021
L1-D.coherency-invalidates.c6,891
L1-D.coherency-invalidates.c7,894
L1-D.coherency-invalidates.node0,7369
L1-D.coherency-invalidates.node1,0
L1-D.coherency-invalidates.total,7369
L1-D.coherency-writebacks.c0,966
L1-D.coherency-writebacks.c1,2041
L1-D.coherency-writebacks.c2,1926
L1-D.coherency-writebacks.c3,1933
L1-D.coherency-writebacks.c4,1900
L1-D.coherency-writebacks.c5,1755
L1-D.coherency-writebacks.c6,1776
L1-D.coherency-writebacks.c7,1450
L1-D.coherency-writebacks.node0,13747
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,13747
L1-D.evict-E.c0,6569
L1-D.evict-E.c1,27
L1-D.evict-E.c2,9
L1-D.evict-E.c3,32
L1-D.evict-E.c4,6
L1-D.evict-E.c5,49
L1-D.evict-E.c6,32
L1-D.evict-E.c7,45
L1-D.evict-E.node0,6769
L1-D.evict-E.node1,0
L1-D.evict-E.total,6769
L1-D.evict-M.c0,75231
L1-D.evict-M.c1,61451
L1-D.evict-M.c2,61614
L1-D.evict-M.c3,61707
L1-D.evict-M.c4,61662
L1-D.evict-M.c5,61765
L1-D.evict-M.c6,61632
L1-D.evict-M.c7,62777
L1-D.evict-M.node0,507839
L1-D.evict-M.node1,0
L1-D.evict-M.total,507839
L1-D.evict-S.c0,16952
L1-D.evict-S.c1,11489
L1-D.evict-S.c2,9712
L1-D.evict-S.c3,9592
L1-D.evict-S.c4,9564
L1-D.evict-S.c5,9295
L1-D.evict-S.c6,9366
L1-D.evict-S.c7,8045
L1-D.evict-S.node0,84015
L1-D.evict-S.node1,0
L1-D.evict-S.total,84015
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,74693
L1-D.load-misses-I.c1,59931
L1-D.load-misses-I.c2,59671
L1-D.load-misses-I.c3,59670
L1-D.load-misses-I.c4,59415
L1-D.load-misses-I.c5,59217
L1-D.load-misses-I.c6,59095
L1-D.load-misses-I.c7,58660
L1-D.load-misses-I.node0,490352
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,490352
L1-D.load-misses-S.c0,49
L1-D.load-misses-S.c1,31
L1-D.load-misses-S.c2,32
L1-D.load-misses-S.c3,27
L1-D.load-misses-S.c4,27
L1-D.load-misses-S.c5,24
L1-D.load-misses-S.c6,26
L1-D.load-misses-S.c7,7
L1-D.load-misses-S.node0,223
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,223
L1-D.load-misses.c0,74744
L1-D.load-misses.c1,59962
L1-D.load-misses.c2,59703
L1-D.load-misses.c3,59697
L1-D.load-misses.c4,59442
L1-D.load-misses.c5,59241
L1-D.load-misses.c6,59121
L1-D.load-misses.c7,58667
L1-D.load-misses.node0,490577
L1-D.load-misses.node1,0
L1-D.load-misses.total,490577
L1-D.loads-E.c0,62644
L1-D.loads-E.c1,571
L1-D.loads-E.c2,250
L1-D.loads-E.c3,541
L1-D.loads-E.c4,246
L1-D.loads-E.c5,2111
L1-D.loads-E.c6,2015
L1-D.loads-E.c7,383
L1-D.loads-E.node0,68761
L1-D.loads-E.node1,0
L1-D.loads-E.total,68761
L1-D.loads-I.c0,74693
L1-D.loads-I.c1,59931
L1-D.loads-I.c2,59671
L1-D.loads-I.c3,59670
L1-D.loads-I.c4,59415
L1-D.loads-I.c5,59217
L1-D.loads-I.c6,59095
L1-D.loads-I.c7,58660
L1-D.loads-I.node0,490352
L1-D.loads-I.node1,0
L1-D.loads-I.total,490352
L1-D.loads-M.c0,1656674
L1-D.loads-M.c1,1484499
L1-D.loads-M.c2,1484883
L1-D.loads-M.c3,1537855
L1-D.loads-M.c4,1517961
L1-D.loads-M.c5,1543984
L1-D.loads-M.c6,1475059
