                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5527330 |    5979569 |    5917296 |    5830789 |    6061749 |    6001331 |    6028393 |    5952621
  Cycles                             |    3997200 |    3997200 |    3997200 |    3997200 |    3997200 |    3997200 |    3997200 |    3997200
  IPC                                |       1.38 |       1.50 |       1.48 |       1.46 |       1.52 |       1.50 |       1.51 |       1.49
  Time (ns)                          |     999300 |     999300 |     999300 |     999300 |     999300 |     999300 |     999300 |     999300
  Idle time (ns)                     |        334 |     233638 |     234003 |     234150 |     234255 |     234332 |     234444 |     234551
  Idle time (%)                      |       0.0% |      23.4% |      23.4% |      23.4% |      23.4% |      23.4% |      23.5% |      23.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     437638 |     817090 |     805474 |     777879 |     863932 |     847020 |     856339 |     831655
  num incorrect                      |       8677 |       2182 |       2187 |       2204 |       2062 |       2018 |       2024 |       2003
  misprediction rate                 |      1.94% |      0.27% |      0.27% |      0.28% |      0.24% |      0.24% |      0.24% |      0.24%
  mpki                               |       1.57 |       0.36 |       0.37 |       0.38 |       0.34 |       0.34 |       0.34 |       0.34
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     618207 |     472297 |     466348 |     465980 |     462901 |     461840 |     461589 |     461274
    num misses                       |        185 |         28 |         28 |         29 |         28 |         28 |         28 |         29
    miss rate                        |      0.03% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2831962 |    2542413 |    2521525 |    2506630 |    2532536 |    2519122 |    2524029 |    2509824
    num misses                       |       2019 |        365 |        364 |        427 |        348 |        374 |        347 |        256
    miss rate                        |      0.07% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.37 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2204 |        393 |        392 |        456 |        376 |        402 |        375 |        285
    num misses                       |        530 |        152 |        150 |        155 |        154 |        146 |        144 |        133
    miss rate                        |     24.05% |     38.68% |     38.27% |     33.99% |     40.96% |     36.32% |     38.40% |     46.67%
    mpki                             |       0.10 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     618207 |     472297 |     466348 |     465980 |     462901 |     461840 |     461589 |     461274
    num cache misses                 |       6971 |        428 |        411 |        414 |        409 |        407 |        407 |        401
    miss rate                        |      1.13% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09%
    mpki                             |       1.26 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2831962 |    2542413 |    2521525 |    2506630 |    2532536 |    2519122 |    2524029 |    2509824
    num cache misses                 |     100323 |      76365 |      74774 |      74717 |      74403 |      74238 |      73910 |      73462
    miss rate                        |      3.54% |      3.00% |      2.97% |      2.98% |      2.94% |      2.95% |      2.93% |      2.93%
    mpki                             |      18.15 |      12.77 |      12.64 |      12.81 |      12.27 |      12.37 |      12.26 |      12.34
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     113767 |      80421 |      77946 |      77985 |      78590 |      77483 |      77162 |      75171
    num cache misses                 |      22100 |      12930 |      14129 |      15016 |      13911 |      13724 |      13383 |      13369
    miss rate                        |     19.43% |     16.08% |     18.13% |     19.25% |     17.70% |     17.71% |     17.34% |     17.78%
    mpki                             |       4.00 |       2.16 |       2.39 |       2.58 |       2.29 |       2.29 |       2.22 |       2.25
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      34699 |      20724 |      20493 |      21478 |      21347 |      20147 |      19862 |      18602
    num cache misses                 |      16051 |       3750 |       3188 |       6640 |       9634 |       4609 |       4464 |       6172
    miss rate                        |     46.26% |     18.09% |     15.56% |     30.92% |     45.13% |     22.88% |     22.48% |     33.18%
    mpki                             |       2.90 |       0.63 |       0.54 |       1.14 |       1.59 |       0.77 |       0.74 |       1.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13905 |          0 |          0 |          0 |      13875 |          0 |          0 |          0
  average dram access latency (ns)   |     451.26 |        inf |        inf |        inf |     453.38 |        inf |        inf |        inf
  average dram queueing delay        |     390.00 |       0.00 |       0.00 |       0.00 |     392.13 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6738 |        122 |        108 |         88 |         57 |         91 |         90 |         55
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1618 |        895 |        815 |       3898 |       6618 |       2104 |       1992 |       3597
