metric,value
timestamp,2026-07-05T22:14:32
workload,PR
strategy,EPO
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/PR_S_EPO_8TH_20260705_025404
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,0
e_core_count,8
node0_threads,4
node1_threads,4
sim_time_ms,2.8517
total_instructions,33215498
avg_ipc,1.456
avg_ipc_p,0.0
avg_ipc_e,1.456
total_power_W,6.0159
dynamic_W,4.368
leakage_W,1.6
dram_W,0.0479
energy_J,0.017156
node0_reads,10682
node1_reads,10611
node0_pct,50.1667
node0_writes,46
node1_writes,37
dram_local,5661
dram_remote,5625
dram_remote_pct,49.8405
l1d_miss_pct,1.2506
l2_miss_pct,78.1285
l3_miss_pct,19.286
l1d_mpki,2.255
l2_mpki,1.7618
l3_mpki,0.3398
l3_miss_count,11286
cpi_base_frac,0.6585
cpi_branch_frac,0.1558
cpi_l2_frac,0.0
cpi_l3_frac,0.1324
cpi_dram_local_frac,0.0239
cpi_dram_remote_frac,0.0294
futex_wake_count,34
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.0479
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2492391
L1-D.access-mru-0.c1,617720
L1-D.access-mru-0.c2,603795
L1-D.access-mru-0.c3,621600
L1-D.access-mru-0.c4,572706
L1-D.access-mru-0.c5,617732
L1-D.access-mru-0.c6,602845
L1-D.access-mru-0.c7,629002
L1-D.access-mru-0.node0,4335506
L1-D.access-mru-0.node1,2422285
L1-D.access-mru-0.total,6757791
L1-D.access-mru-1.c0,128132
L1-D.access-mru-1.c1,5908
L1-D.access-mru-1.c2,6163
L1-D.access-mru-1.c3,5858
L1-D.access-mru-1.c4,6594
L1-D.access-mru-1.c5,6083
L1-D.access-mru-1.c6,6197
L1-D.access-mru-1.c7,5746
L1-D.access-mru-1.node0,146061
L1-D.access-mru-1.node1,24620
L1-D.access-mru-1.total,170681
L1-D.access-mru-2.c0,44239
L1-D.access-mru-2.c1,707
L1-D.access-mru-2.c2,831
L1-D.access-mru-2.c3,699
L1-D.access-mru-2.c4,967
L1-D.access-mru-2.c5,695
L1-D.access-mru-2.c6,766
L1-D.access-mru-2.c7,671
L1-D.access-mru-2.node0,46476
L1-D.access-mru-2.node1,3099
L1-D.access-mru-2.total,49575
L1-D.access-mru-3.c0,13577
L1-D.access-mru-3.c1,140
L1-D.access-mru-3.c2,162
L1-D.access-mru-3.c3,160
L1-D.access-mru-3.c4,370
L1-D.access-mru-3.c5,150
L1-D.access-mru-3.c6,173
L1-D.access-mru-3.c7,171
L1-D.access-mru-3.node0,14039
L1-D.access-mru-3.node1,864
L1-D.access-mru-3.total,14903
L1-D.access-mru-4.c0,4728
L1-D.access-mru-4.c1,73
L1-D.access-mru-4.c2,86
L1-D.access-mru-4.c3,85
L1-D.access-mru-4.c4,168
L1-D.access-mru-4.c5,77
L1-D.access-mru-4.c6,78
L1-D.access-mru-4.c7,54
L1-D.access-mru-4.node0,4972
L1-D.access-mru-4.node1,377
L1-D.access-mru-4.total,5349
L1-D.access-mru-5.c0,2307
L1-D.access-mru-5.c1,43
L1-D.access-mru-5.c2,32
L1-D.access-mru-5.c3,40
L1-D.access-mru-5.c4,47
L1-D.access-mru-5.c5,38
L1-D.access-mru-5.c6,40
L1-D.access-mru-5.c7,36
L1-D.access-mru-5.node0,2422
L1-D.access-mru-5.node1,161
L1-D.access-mru-5.total,2583
L1-D.access-mru-6.c0,1380
L1-D.access-mru-6.c1,22
L1-D.access-mru-6.c2,31
L1-D.access-mru-6.c3,20
L1-D.access-mru-6.c4,30
L1-D.access-mru-6.c5,10
L1-D.access-mru-6.c6,23
L1-D.access-mru-6.c7,27
L1-D.access-mru-6.node0,1453
L1-D.access-mru-6.node1,90
L1-D.access-mru-6.total,1543
L1-D.access-mru-7.c0,989
L1-D.access-mru-7.c1,91
L1-D.access-mru-7.c2,71
L1-D.access-mru-7.c3,77
L1-D.access-mru-7.c4,77
L1-D.access-mru-7.c5,82
L1-D.access-mru-7.c6,81
L1-D.access-mru-7.c7,90
L1-D.access-mru-7.node0,1228
L1-D.access-mru-7.node1,330
L1-D.access-mru-7.total,1558
L1-D.backinval-E,4
L1-D.backinval-M,27
L1-D.backinval-S,1
L1-D.coherency-downgrades.c0,1057
L1-D.coherency-downgrades.c1,552
L1-D.coherency-downgrades.c2,416
L1-D.coherency-downgrades.c3,286
L1-D.coherency-downgrades.c4,62
L1-D.coherency-downgrades.c5,58
L1-D.coherency-downgrades.c6,72
L1-D.coherency-downgrades.c7,68
L1-D.coherency-downgrades.node0,2311
L1-D.coherency-downgrades.node1,260
L1-D.coherency-downgrades.total,2571
L1-D.coherency-invalidates.c0,80
L1-D.coherency-invalidates.c1,28
L1-D.coherency-invalidates.c2,26
L1-D.coherency-invalidates.c3,22
L1-D.coherency-invalidates.c4,160
L1-D.coherency-invalidates.c5,165
L1-D.coherency-invalidates.c6,169
L1-D.coherency-invalidates.c7,160
L1-D.coherency-invalidates.node0,156
L1-D.coherency-invalidates.node1,654
L1-D.coherency-invalidates.total,810
L1-D.coherency-upgrades.c0,18
L1-D.coherency-upgrades.c1,97
L1-D.coherency-upgrades.c2,98
L1-D.coherency-upgrades.c3,101
L1-D.coherency-upgrades.c4,8
L1-D.coherency-upgrades.c5,13
L1-D.coherency-upgrades.c6,11
L1-D.coherency-upgrades.c7,19
L1-D.coherency-upgrades.node0,314
L1-D.coherency-upgrades.node1,51
L1-D.coherency-upgrades.total,365
L1-D.coherency-writebacks.c0,10510
L1-D.coherency-writebacks.c1,10450
L1-D.coherency-writebacks.c2,10493
L1-D.coherency-writebacks.c3,10411
L1-D.coherency-writebacks.c4,10467
L1-D.coherency-writebacks.c5,10421
L1-D.coherency-writebacks.c6,10448
L1-D.coherency-writebacks.c7,10407
L1-D.coherency-writebacks.node0,41864
L1-D.coherency-writebacks.node1,41743
L1-D.coherency-writebacks.total,83607
L1-D.evict-E,13612
L1-D.evict-M.c0,12160
L1-D.evict-M.c1,1983
L1-D.evict-M.c2,2107
L1-D.evict-M.c3,1963
L1-D.evict-M.c4,2279
L1-D.evict-M.c5,1970
L1-D.evict-M.c6,2033
L1-D.evict-M.c7,1821
L1-D.evict-M.node0,18213
L1-D.evict-M.node1,8103
L1-D.evict-M.total,26316
L1-D.evict-S.c0,871
L1-D.evict-S.c1,375
L1-D.evict-S.c2,352
L1-D.evict-S.c3,349
L1-D.evict-S.c4,394
L1-D.evict-S.c5,385
L1-D.evict-S.c6,394
L1-D.evict-S.c7,324
L1-D.evict-S.node0,1947
L1-D.evict-S.node1,1497
L1-D.evict-S.total,3444
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,27632
L1-D.load-misses-I.c1,9227
L1-D.load-misses-I.c2,9334
L1-D.load-misses-I.c3,9176
L1-D.load-misses-I.c4,9535
L1-D.load-misses-I.c5,9230
L1-D.load-misses-I.c6,9341
