                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   46934487 |   48619397 |   56299152 |   56117337 |   49517992 |   49492795 |   52272990 |   52765513
  Cycles                             |   32939600 |   32939600 |   32939600 |   32939600 |   24704700 |   24704700 |   24704700 |   24704700
  IPC                                |       1.42 |       1.48 |       1.71 |       1.70 |       2.00 |       2.00 |       2.12 |       2.14
  Time (ns)                          |    8234900 |    8234900 |    8234900 |    8234900 |    8234900 |    8234900 |    8234900 |    8234900
  Idle time (ns)                     |        287 |     282258 |     283592 |     284696 |     285753 |     286797 |     287851 |     288891
  Idle time (%)                      |       0.0% |       3.4% |       3.4% |       3.5% |       3.5% |       3.5% |       3.5% |       3.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1439436 |    2464422 |   11347389 |   11286744 |    9407502 |    9399278 |   10715981 |   10880126
  num incorrect                      |      22062 |      12414 |       8927 |       9050 |       9114 |       9168 |       7888 |       7896
  misprediction rate                 |      1.51% |      0.50% |      0.08% |      0.08% |      0.10% |      0.10% |      0.07% |      0.07%
  mpki                               |       0.47 |       0.26 |       0.16 |       0.16 |       0.18 |       0.19 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    4373033 |    4079991 |    2223858 |    2223858 |    2108421 |    2108262 |    2001672 |    2001685
    num misses                       |        224 |         33 |         33 |         33 |         33 |         33 |         33 |         33
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   20434009 |   19901329 |   15786900 |   15756452 |   14368190 |   14363640 |   14453614 |   14535711
    num misses                       |       7574 |       3260 |       2816 |       2022 |       3322 |       3632 |        908 |       2671
    miss rate                        |      0.04% |      0.02% |      0.02% |      0.01% |      0.02% |      0.03% |      0.01% |      0.02%
    mpki                             |       0.16 |       0.07 |       0.05 |       0.04 |       0.07 |       0.07 |       0.02 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       7798 |       3293 |       2849 |       2055 |       3355 |       3665 |        941 |       2704
    num misses                       |        590 |        154 |        132 |        132 |        133 |        131 |        129 |        128
    miss rate                        |      7.57% |      4.68% |      4.63% |      6.42% |      3.96% |      3.57% |     13.71% |      4.73%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4373033 |    4079991 |    2223858 |    2223858 |    2108421 |    2108262 |    2001672 |    2001685
    num cache misses                 |      70075 |      48827 |      48539 |      48329 |      48245 |      48289 |      40122 |      40125
    miss rate                        |      1.60% |      1.20% |      2.18% |      2.17% |      2.29% |      2.29% |      2.00% |      2.00%
    mpki                             |       1.49 |       1.00 |       0.86 |       0.86 |       0.97 |       0.98 |       0.77 |       0.76
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20434009 |   19901329 |   15786900 |   15756452 |   14368190 |   14363640 |   14453614 |   14535711
    num cache misses                 |    1061593 |     961196 |     521303 |     511575 |     473821 |     481255 |     429240 |     431601
    miss rate                        |      5.20% |      4.83% |      3.30% |      3.25% |      3.30% |      3.35% |      2.97% |      2.97%
    mpki                             |      22.62 |      19.77 |       9.26 |       9.12 |       9.57 |       9.72 |       8.21 |       8.18
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1168709 |    1045794 |     584161 |     577413 |     535766 |     543958 |     489690 |     490603
    num cache misses                 |     116555 |     103210 |      74556 |      76005 |     100794 |      99449 |      85168 |      74239
    miss rate                        |      9.97% |      9.87% |     12.76% |     13.16% |     18.81% |     18.28% |     17.39% |     15.13%
    mpki                             |       2.48 |       2.12 |       1.32 |       1.35 |       2.04 |       2.01 |       1.63 |       1.41
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     184432 |     169973 |     119331 |     120175 |     132614 |     131576 |     123616 |     104133
    num cache misses                 |      14397 |       1083 |       1121 |       1139 |        589 |        633 |        599 |        583
    miss rate                        |      7.81% |      0.64% |      0.94% |      0.95% |      0.44% |      0.48% |      0.48% |      0.56%
    mpki                             |       0.31 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19795 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     112.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      51.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6840 |         48 |         55 |         59 |         54 |         53 |         57 |         48
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
