metric,value
timestamp,2026-07-05T22:12:54
workload,SSSP
strategy,HPO
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/SSSP_S_HPO_8TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,2.4387
total_instructions,47470333
avg_ipc,0.6084
avg_ipc_p,0.6084
avg_ipc_e,0.0
total_power_W,13.8016
dynamic_W,9.7337
leakage_W,4.0
dram_W,0.0679
energy_J,0.033658
node0_reads,12896
node1_reads,12825
node0_pct,50.138
node0_writes,103
node1_writes,98
dram_local,6021
dram_remote,6004
dram_remote_pct,49.9293
l1d_miss_pct,0.9577
l2_miss_pct,75.2543
l3_miss_pct,20.0678
l1d_mpki,1.6774
l2_mpki,1.2623
l3_mpki,0.2533
l3_miss_count,12025
cpi_base_frac,0.6831
cpi_branch_frac,0.1393
cpi_l2_frac,0.0001
cpi_l3_frac,0.1284
cpi_dram_local_frac,0.0236
cpi_dram_remote_frac,0.0255
futex_wake_count,37
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.9012
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2809290
L1-D.access-mru-0.c1,935413
L1-D.access-mru-0.c2,913370
L1-D.access-mru-0.c3,932749
L1-D.access-mru-0.c4,866035
L1-D.access-mru-0.c5,932080
L1-D.access-mru-0.c6,914569
L1-D.access-mru-0.c7,944785
L1-D.access-mru-0.node0,5590822
L1-D.access-mru-0.node1,3657469
L1-D.access-mru-0.total,9248291
L1-D.access-mru-1.c0,127830
L1-D.access-mru-1.c1,5897
L1-D.access-mru-1.c2,6285
L1-D.access-mru-1.c3,6012
L1-D.access-mru-1.c4,7699
L1-D.access-mru-1.c5,6194
L1-D.access-mru-1.c6,6368
L1-D.access-mru-1.c7,5680
L1-D.access-mru-1.node0,146024
L1-D.access-mru-1.node1,25941
L1-D.access-mru-1.total,171965
L1-D.access-mru-2.c0,48327
L1-D.access-mru-2.c1,742
L1-D.access-mru-2.c2,1018
L1-D.access-mru-2.c3,831
L1-D.access-mru-2.c4,1222
L1-D.access-mru-2.c5,873
L1-D.access-mru-2.c6,1024
L1-D.access-mru-2.c7,761
L1-D.access-mru-2.node0,50918
L1-D.access-mru-2.node1,3880
L1-D.access-mru-2.total,54798
L1-D.access-mru-3.c0,17698
L1-D.access-mru-3.c1,185
L1-D.access-mru-3.c2,235
L1-D.access-mru-3.c3,197
L1-D.access-mru-3.c4,417
L1-D.access-mru-3.c5,168
L1-D.access-mru-3.c6,215
L1-D.access-mru-3.c7,161
L1-D.access-mru-3.node0,18315
L1-D.access-mru-3.node1,961
L1-D.access-mru-3.total,19276
L1-D.access-mru-4.c0,6429
L1-D.access-mru-4.c1,71
L1-D.access-mru-4.c2,82
L1-D.access-mru-4.c3,69
L1-D.access-mru-4.c4,298
L1-D.access-mru-4.c5,76
L1-D.access-mru-4.c6,66
L1-D.access-mru-4.c7,78
L1-D.access-mru-4.node0,6651
L1-D.access-mru-4.node1,518
L1-D.access-mru-4.total,7169
L1-D.access-mru-5.c0,2992
L1-D.access-mru-5.c1,43
L1-D.access-mru-5.c2,46
L1-D.access-mru-5.c3,55
L1-D.access-mru-5.c4,267
L1-D.access-mru-5.c5,41
L1-D.access-mru-5.c6,35
L1-D.access-mru-5.c7,26
L1-D.access-mru-5.node0,3136
L1-D.access-mru-5.node1,369
L1-D.access-mru-5.total,3505
L1-D.access-mru-6.c0,1728
L1-D.access-mru-6.c1,16
L1-D.access-mru-6.c2,22
L1-D.access-mru-6.c3,27
L1-D.access-mru-6.c4,117
L1-D.access-mru-6.c5,20
L1-D.access-mru-6.c6,22
L1-D.access-mru-6.c7,20
L1-D.access-mru-6.node0,1793
L1-D.access-mru-6.node1,179
L1-D.access-mru-6.total,1972
L1-D.access-mru-7.c0,969
L1-D.access-mru-7.c1,22
L1-D.access-mru-7.c2,16
L1-D.access-mru-7.c3,18
L1-D.access-mru-7.c4,291
L1-D.access-mru-7.c5,19
L1-D.access-mru-7.c6,4
L1-D.access-mru-7.c7,7
L1-D.access-mru-7.node0,1025
L1-D.access-mru-7.node1,321
L1-D.access-mru-7.total,1346
L1-D.coherency-downgrades.c0,984
L1-D.coherency-downgrades.c1,511
L1-D.coherency-downgrades.c2,489
L1-D.coherency-downgrades.c3,418
L1-D.coherency-downgrades.c4,47
L1-D.coherency-downgrades.c5,58
L1-D.coherency-downgrades.c6,55
L1-D.coherency-downgrades.c7,63
L1-D.coherency-downgrades.node0,2402
L1-D.coherency-downgrades.node1,223
L1-D.coherency-downgrades.total,2625
L1-D.coherency-invalidates.c0,75
L1-D.coherency-invalidates.c1,27
L1-D.coherency-invalidates.c2,40
L1-D.coherency-invalidates.c3,23
L1-D.coherency-invalidates.c4,162
L1-D.coherency-invalidates.c5,168
L1-D.coherency-invalidates.c6,163
L1-D.coherency-invalidates.c7,165
L1-D.coherency-invalidates.node0,165
L1-D.coherency-invalidates.node1,658
L1-D.coherency-invalidates.total,823
L1-D.coherency-upgrades.c0,21
L1-D.coherency-upgrades.c1,94
L1-D.coherency-upgrades.c2,94
L1-D.coherency-upgrades.c3,94
L1-D.coherency-upgrades.c4,9
L1-D.coherency-upgrades.c5,10
L1-D.coherency-upgrades.c6,14
L1-D.coherency-upgrades.c7,16
L1-D.coherency-upgrades.node0,303
L1-D.coherency-upgrades.node1,49
L1-D.coherency-upgrades.total,352
L1-D.coherency-writebacks.c0,10076
L1-D.coherency-writebacks.c1,10203
L1-D.coherency-writebacks.c2,10214
L1-D.coherency-writebacks.c3,10184
L1-D.coherency-writebacks.c4,10267
L1-D.coherency-writebacks.c5,10253
L1-D.coherency-writebacks.c6,10271
L1-D.coherency-writebacks.c7,10261
L1-D.coherency-writebacks.node0,40677
L1-D.coherency-writebacks.node1,41052
L1-D.coherency-writebacks.total,81729
L1-D.evict-E,13639
L1-D.evict-M.c0,17895
L1-D.evict-M.c1,3396
L1-D.evict-M.c2,3639
L1-D.evict-M.c3,3342
L1-D.evict-M.c4,3373
L1-D.evict-M.c5,2581
L1-D.evict-M.c6,2733
L1-D.evict-M.c7,2335
L1-D.evict-M.node0,28272
L1-D.evict-M.node1,11022
L1-D.evict-M.total,39294
L1-D.evict-S.c0,794
L1-D.evict-S.c1,272
L1-D.evict-S.c2,301
L1-D.evict-S.c3,288
L1-D.evict-S.c4,1075
L1-D.evict-S.c5,1065
L1-D.evict-S.c6,1010
L1-D.evict-S.c7,1005
L1-D.evict-S.node0,1655
L1-D.evict-S.node1,4155
L1-D.evict-S.total,5810
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,28344
L1-D.load-misses-I.c1,9970
L1-D.load-misses-I.c2,10159
L1-D.load-misses-I.c3,9931
L1-D.load-misses-I.c4,10700
L1-D.load-misses-I.c5,10022
L1-D.load-misses-I.c6,10097
L1-D.load-misses-I.c7,9764
L1-D.load-misses-I.node0,58404
L1-D.load-misses-I.node1,40583
L1-D.load-misses-I.total,98987
L1-D.load-misses-S.c0,8
L1-D.load-misses-S.c1,1
L1-D.load-misses-S.c2,1
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.c4,4
L1-D.load-misses-S.c5,1
L1-D.load-misses-S.c7,4
L1-D.load-misses-S.node0,11
L1-D.load-misses-S.node1,9
L1-D.load-misses-S.total,20
L1-D.load-misses.c0,28354
L1-D.load-misses.c1,9971
L1-D.load-misses.c2,10160
L1-D.load-misses.c3,9932
L1-D.load-misses.c4,10704
L1-D.load-misses.c5,10023
L1-D.load-misses.c6,10097
L1-D.load-misses.c7,9768
L1-D.load-misses.node0,58417
L1-D.load-misses.node1,40592
L1-D.load-misses.total,99009
L1-D.loads-E.c0,167442
L1-D.loads-E.c1,145
L1-D.loads-E.c2,124
L1-D.loads-E.c3,158
L1-D.loads-E.c5,5
L1-D.loads-E.node0,167869
L1-D.loads-E.node1,5
L1-D.loads-E.total,167874
L1-D.loads-I.c0,28344
L1-D.loads-I.c1,9970
L1-D.loads-I.c2,10159
L1-D.loads-I.c3,9931
L1-D.loads-I.c4,10700
L1-D.loads-I.c5,10022
L1-D.loads-I.c6,10097
L1-D.loads-I.c7,9764
L1-D.loads-I.node0,58404
L1-D.loads-I.node1,40583
L1-D.loads-I.total,98987
L1-D.loads-M.c0,1681323
L1-D.loads-M.c1,92505
L1-D.loads-M.c2,118845
L1-D.loads-M.c3,91890
L1-D.loads-M.c4,178724
L1-D.loads-M.c5,87257
L1-D.loads-M.c6,110032
L1-D.loads-M.c7,67349
L1-D.loads-M.node0,1984563
L1-D.loads-M.node1,443362
L1-D.loads-M.total,2427925
L1-D.loads-S.c0,316748
L1-D.loads-S.c1,796172
L1-D.loads-S.c2,737910
L1-D.loads-S.c3,794903
L1-D.loads-S.c4,609313
L1-D.loads-S.c5,797213
L1-D.loads-S.c6,748730
L1-D.loads-S.c7,837733
L1-D.loads-S.node0,2645733
L1-D.loads-S.node1,2992989
L1-D.loads-S.total,5638722
L1-D.loads-where-L1.c0,2165503
L1-D.loads-where-L1.c1,888821
L1-D.loads-where-L1.c2,856878
L1-D.loads-where-L1.c3,886950
L1-D.loads-where-L1.c4,788033
L1-D.loads-where-L1.c5,884474
L1-D.loads-where-L1.c6,858762
L1-D.loads-where-L1.c7,905078
L1-D.loads-where-L1.node0,4798152
L1-D.loads-where-L1.node1,3436347
L1-D.loads-where-L1.total,8234499
L1-D.loads-where-L2.c0,9892
L1-D.loads-where-L2.c1,1354
L1-D.loads-where-L2.c2,1436
L1-D.loads-where-L2.c3,1332
L1-D.loads-where-L2.c4,1769
L1-D.loads-where-L2.c5,1339
L1-D.loads-where-L2.c6,1368
L1-D.loads-where-L2.c7,1214
L1-D.loads-where-L2.node0,14014
L1-D.loads-where-L2.node1,5690
L1-D.loads-where-L2.total,19704
L1-D.loads-where-L3.c0,4431
L1-D.loads-where-L3.c1,4140
L1-D.loads-where-L3.c2,4114
L1-D.loads-where-L3.c3,4038
L1-D.loads-where-L3.c4,4055
L1-D.loads-where-L3.c5,4126
L1-D.loads-where-L3.c6,4204
L1-D.loads-where-L3.c7,4178
L1-D.loads-where-L3.node0,16723
L1-D.loads-where-L3.node1,16563
L1-D.loads-where-L3.total,33286
L1-D.loads-where-L3_S.c0,1505
L1-D.loads-where-L3_S.c1,2161
L1-D.loads-where-L3_S.c2,2279
L1-D.loads-where-L3_S.c3,2242
L1-D.loads-where-L3_S.c4,1720
L1-D.loads-where-L3_S.c5,1581
L1-D.loads-where-L3_S.c6,1598
L1-D.loads-where-L3_S.c7,1525
L1-D.loads-where-L3_S.node0,8187
L1-D.loads-where-L3_S.node1,6424
L1-D.loads-where-L3_S.total,14611
L1-D.loads-where-cache-remote.c0,2002
L1-D.loads-where-cache-remote.c1,2081
L1-D.loads-where-cache-remote.c2,2120
L1-D.loads-where-cache-remote.c3,2082
L1-D.loads-where-cache-remote.c4,2943
L1-D.loads-where-cache-remote.c5,2779
L1-D.loads-where-cache-remote.c6,2742
L1-D.loads-where-cache-remote.c7,2634
L1-D.loads-where-cache-remote.node0,8285
L1-D.loads-where-cache-remote.node1,11098
L1-D.loads-where-cache-remote.total,19383
L1-D.loads-where-dram-local.c0,5270
L1-D.loads-where-dram-local.c1,115
L1-D.loads-where-dram-local.c2,121
L1-D.loads-where-dram-local.c3,119
L1-D.loads-where-dram-local.c4,95
L1-D.loads-where-dram-local.c5,104
L1-D.loads-where-dram-local.c6,93
L1-D.loads-where-dram-local.c7,104
L1-D.loads-where-dram-local.node0,5625
L1-D.loads-where-dram-local.node1,396
L1-D.loads-where-dram-local.total,6021
L1-D.loads-where-dram-remote.c0,5254
L1-D.loads-where-dram-remote.c1,120
L1-D.loads-where-dram-remote.c2,90
L1-D.loads-where-dram-remote.c3,119
L1-D.loads-where-dram-remote.c4,122
L1-D.loads-where-dram-remote.c5,94
L1-D.loads-where-dram-remote.c6,92
L1-D.loads-where-dram-remote.c7,113
L1-D.loads-where-dram-remote.node0,5583
L1-D.loads-where-dram-remote.node1,421
L1-D.loads-where-dram-remote.total,6004
L1-D.loads.c0,2193857
L1-D.loads.c1,898792
L1-D.loads.c2,867038
L1-D.loads.c3,896882
L1-D.loads.c4,798737
L1-D.loads.c5,894497
L1-D.loads.c6,868859
L1-D.loads.c7,914846
L1-D.loads.node0,4856569
L1-D.loads.node1,3476939
L1-D.loads.total,8333508
L1-D.store-misses-E,2066
L1-D.store-misses-I.c0,14412
L1-D.store-misses-I.c1,4276
L1-D.store-misses-I.c2,4383
L1-D.store-misses-I.c3,4254
L1-D.store-misses-I.c4,4440
L1-D.store-misses-I.c5,4310
L1-D.store-misses-I.c6,4347
L1-D.store-misses-I.c7,4271
L1-D.store-misses-I.node0,27325
L1-D.store-misses-I.node1,17368
L1-D.store-misses-I.total,44693
L1-D.store-misses-S.c0,311
L1-D.store-misses-S.c1,204
L1-D.store-misses-S.c2,270
L1-D.store-misses-S.c3,231
L1-D.store-misses-S.c4,712
L1-D.store-misses-S.c5,511
L1-D.store-misses-S.c6,557
L1-D.store-misses-S.c7,473
L1-D.store-misses-S.node0,1016
L1-D.store-misses-S.node1,2253
L1-D.store-misses-S.total,3269
L1-D.store-misses.c0,16789
L1-D.store-misses.c1,4480
L1-D.store-misses.c2,4653
L1-D.store-misses.c3,4485
L1-D.store-misses.c4,5152
L1-D.store-misses.c5,4821
L1-D.store-misses.c6,4904
L1-D.store-misses.c7,4744
L1-D.store-misses.node0,30407
L1-D.store-misses.node1,19621
L1-D.store-misses.total,50028
L1-D.stores-E,2066
L1-D.stores-I.c0,14412
L1-D.stores-I.c1,4276
L1-D.stores-I.c2,4383
L1-D.stores-I.c3,4254
L1-D.stores-I.c4,4440
L1-D.stores-I.c5,4310
L1-D.stores-I.c6,4347
L1-D.stores-I.c7,4271
L1-D.stores-I.node0,27325
L1-D.stores-I.node1,17368
L1-D.stores-I.total,44693
L1-D.stores-M.c0,849760
L1-D.stores-M.c1,53568
L1-D.stores-M.c2,64196
L1-D.stores-M.c3,53008
L1-D.stores-M.c4,88313
L1-D.stores-M.c5,54997
L1-D.stores-M.c6,63541
L1-D.stores-M.c7,46440
L1-D.stores-M.node0,1020532
L1-D.stores-M.node1,253291
L1-D.stores-M.total,1273823
L1-D.stores-S.c0,311
L1-D.stores-S.c1,204
L1-D.stores-S.c2,270
L1-D.stores-S.c3,231
L1-D.stores-S.c4,712
L1-D.stores-S.c5,511
L1-D.stores-S.c6,557
L1-D.stores-S.c7,473
L1-D.stores-S.node0,1016
L1-D.stores-S.node1,2253
L1-D.stores-S.total,3269
L1-D.stores-where-L1.c0,849760
L1-D.stores-where-L1.c1,53568
L1-D.stores-where-L1.c2,64196
L1-D.stores-where-L1.c3,53008
L1-D.stores-where-L1.c4,88313
L1-D.stores-where-L1.c5,54997
L1-D.stores-where-L1.c6,63541
L1-D.stores-where-L1.c7,46440
L1-D.stores-where-L1.node0,1020532
L1-D.stores-where-L1.node1,253291
L1-D.stores-where-L1.total,1273823
L1-D.stores-where-L2.c0,1790
L1-D.stores-where-L2.c1,127
L1-D.stores-where-L2.c2,130
L1-D.stores-where-L2.c3,128
L1-D.stores-where-L2.c4,149
L1-D.stores-where-L2.c5,124
L1-D.stores-where-L2.c6,126
L1-D.stores-where-L2.c7,127
L1-D.stores-where-L2.node0,2175
L1-D.stores-where-L2.node1,526
L1-D.stores-where-L2.total,2701
L1-D.stores-where-L3.c0,12319
L1-D.stores-where-L3.c1,2896
L1-D.stores-where-L3.c2,2919
L1-D.stores-where-L3.c3,2820
L1-D.stores-where-L3.c4,3627
L1-D.stores-where-L3.c5,3252
L1-D.stores-where-L3.c6,3401
L1-D.stores-where-L3.c7,3225
L1-D.stores-where-L3.node0,20954
L1-D.stores-where-L3.node1,13505
L1-D.stores-where-L3.total,34459
L1-D.stores-where-L3_S.c0,2113
L1-D.stores-where-L3_S.c1,925
L1-D.stores-where-L3_S.c2,1022
L1-D.stores-where-L3_S.c3,957
L1-D.stores-where-L3_S.c4,815
