metric,value
timestamp,2026-07-05T22:12:56
workload,SSSP
strategy,MPO
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/SSSP_S_MPO_8TH_20260705_025404
cpu_map,"[0, 9, 11, 8, 2, 1, 10, 3]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,2.4323
total_instructions,47248800
avg_ipc,0.6071
avg_ipc_p,0.6071
avg_ipc_e,0.0
total_power_W,13.7809
dynamic_W,9.713
leakage_W,4.0
dram_W,0.0679
energy_J,0.033519
node0_reads,12865
node1_reads,12816
node0_pct,50.0954
node0_writes,73
node1_writes,78
dram_local,5986
dram_remote,6002
dram_remote_pct,50.0667
l1d_miss_pct,0.9586
l2_miss_pct,75.373
l3_miss_pct,20.0445
l1d_mpki,1.6794
l2_mpki,1.2658
l3_mpki,0.2537
l3_miss_count,11988
cpi_base_frac,0.6827
cpi_branch_frac,0.1395
cpi_l2_frac,0.0
cpi_l3_frac,0.1283
cpi_dram_local_frac,0.0237
cpi_dram_remote_frac,0.0258
futex_wake_count,37
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.9078
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2811717
L1-D.access-mru-0.c1,928924
L1-D.access-mru-0.c2,909957
L1-D.access-mru-0.c3,929365
L1-D.access-mru-0.c4,860658
L1-D.access-mru-0.c5,926400
L1-D.access-mru-0.c6,912615
L1-D.access-mru-0.c7,941740
L1-D.access-mru-0.node0,5540515
L1-D.access-mru-0.node1,3680861
L1-D.access-mru-0.total,9221376
L1-D.access-mru-1.c0,125572
L1-D.access-mru-1.c1,5631
L1-D.access-mru-1.c2,6248
L1-D.access-mru-1.c3,5819
L1-D.access-mru-1.c4,7373
L1-D.access-mru-1.c5,5952
L1-D.access-mru-1.c6,6162
L1-D.access-mru-1.c7,5396
L1-D.access-mru-1.node0,144293
L1-D.access-mru-1.node1,23860
L1-D.access-mru-1.total,168153
L1-D.access-mru-2.c0,46325
L1-D.access-mru-2.c1,699
L1-D.access-mru-2.c2,1048
L1-D.access-mru-2.c3,798
L1-D.access-mru-2.c4,1268
L1-D.access-mru-2.c5,834
L1-D.access-mru-2.c6,1019
L1-D.access-mru-2.c7,710
L1-D.access-mru-2.node0,49137
L1-D.access-mru-2.node1,3564
L1-D.access-mru-2.total,52701
L1-D.access-mru-3.c0,15340
L1-D.access-mru-3.c1,187
L1-D.access-mru-3.c2,253
L1-D.access-mru-3.c3,183
L1-D.access-mru-3.c4,386
L1-D.access-mru-3.c5,181
L1-D.access-mru-3.c6,203
L1-D.access-mru-3.c7,149
L1-D.access-mru-3.node0,16056
L1-D.access-mru-3.node1,826
L1-D.access-mru-3.total,16882
L1-D.access-mru-4.c0,5731
L1-D.access-mru-4.c1,83
L1-D.access-mru-4.c2,95
L1-D.access-mru-4.c3,84
L1-D.access-mru-4.c4,232
L1-D.access-mru-4.c5,73
L1-D.access-mru-4.c6,75
L1-D.access-mru-4.c7,79
L1-D.access-mru-4.node0,6115
L1-D.access-mru-4.node1,337
L1-D.access-mru-4.total,6452
L1-D.access-mru-5.c0,2877
L1-D.access-mru-5.c1,37
L1-D.access-mru-5.c2,42
L1-D.access-mru-5.c3,60
L1-D.access-mru-5.c4,141
L1-D.access-mru-5.c5,40
L1-D.access-mru-5.c6,44
L1-D.access-mru-5.c7,35
L1-D.access-mru-5.node0,3093
L1-D.access-mru-5.node1,183
L1-D.access-mru-5.total,3276
L1-D.access-mru-6.c0,1575
L1-D.access-mru-6.c1,27
L1-D.access-mru-6.c2,21
L1-D.access-mru-6.c3,24
L1-D.access-mru-6.c4,122
L1-D.access-mru-6.c5,22
L1-D.access-mru-6.c6,19
L1-D.access-mru-6.c7,17
L1-D.access-mru-6.node0,1736
L1-D.access-mru-6.node1,91
L1-D.access-mru-6.total,1827
L1-D.access-mru-7.c0,894
L1-D.access-mru-7.c1,24
L1-D.access-mru-7.c2,12
L1-D.access-mru-7.c3,21
L1-D.access-mru-7.c4,257
L1-D.access-mru-7.c5,12
L1-D.access-mru-7.c6,7
L1-D.access-mru-7.c7,10
L1-D.access-mru-7.node0,1173
L1-D.access-mru-7.node1,64
L1-D.access-mru-7.total,1237
L1-D.backinval-M,1
L1-D.coherency-downgrades.c0,1067
L1-D.coherency-downgrades.c1,556
L1-D.coherency-downgrades.c2,437
L1-D.coherency-downgrades.c3,367
L1-D.coherency-downgrades.c4,63
L1-D.coherency-downgrades.c5,58
L1-D.coherency-downgrades.c6,59
L1-D.coherency-downgrades.c7,59
L1-D.coherency-downgrades.node0,1247
L1-D.coherency-downgrades.node1,1419
L1-D.coherency-downgrades.total,2666
L1-D.coherency-invalidates.c0,78
L1-D.coherency-invalidates.c1,26
L1-D.coherency-invalidates.c2,33
L1-D.coherency-invalidates.c3,31
L1-D.coherency-invalidates.c4,167
L1-D.coherency-invalidates.c5,166
L1-D.coherency-invalidates.c6,161
L1-D.coherency-invalidates.c7,164
L1-D.coherency-invalidates.node0,575
L1-D.coherency-invalidates.node1,251
L1-D.coherency-invalidates.total,826
L1-D.coherency-upgrades.c0,23
L1-D.coherency-upgrades.c1,95
L1-D.coherency-upgrades.c2,94
L1-D.coherency-upgrades.c3,97
L1-D.coherency-upgrades.c4,6
L1-D.coherency-upgrades.c5,14
L1-D.coherency-upgrades.c6,17
L1-D.coherency-upgrades.c7,14
L1-D.coherency-upgrades.node0,57
L1-D.coherency-upgrades.node1,303
L1-D.coherency-upgrades.total,360
L1-D.coherency-writebacks.c0,10200
L1-D.coherency-writebacks.c1,10343
L1-D.coherency-writebacks.c2,10289
L1-D.coherency-writebacks.c3,10084
L1-D.coherency-writebacks.c4,10237
L1-D.coherency-writebacks.c5,10247
L1-D.coherency-writebacks.c6,10285
L1-D.coherency-writebacks.c7,10216
L1-D.coherency-writebacks.node0,40900
L1-D.coherency-writebacks.node1,41001
L1-D.coherency-writebacks.total,81901
L1-D.evict-E,13617
L1-D.evict-M.c0,17692
L1-D.evict-M.c1,3288
L1-D.evict-M.c2,3575
L1-D.evict-M.c3,3447
L1-D.evict-M.c4,3373
L1-D.evict-M.c5,2619
L1-D.evict-M.c6,2710
L1-D.evict-M.c7,2390
L1-D.evict-M.node0,26074
L1-D.evict-M.node1,13020
L1-D.evict-M.total,39094
L1-D.evict-S.c0,830
L1-D.evict-S.c1,278
L1-D.evict-S.c2,272
L1-D.evict-S.c3,287
L1-D.evict-S.c4,1076
L1-D.evict-S.c5,1069
L1-D.evict-S.c6,1011
L1-D.evict-S.c7,1005
L1-D.evict-S.node0,3980
L1-D.evict-S.node1,1848
L1-D.evict-S.total,5828
L1-D.load-misses-E,2
