                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11254086 |    3384968 |    3226634 |    3402061 |    2809073 |    3280779 |    3152733 |    3385069
  Cycles                             |   11645200 |   11645200 |   11645200 |   11645200 |    8733900 |    8733900 |    8733900 |    8733900
  IPC                                |       0.97 |       0.29 |       0.28 |       0.29 |       0.32 |       0.38 |       0.36 |       0.39
  Time (ns)                          |    2911300 |    2911300 |    2911300 |    2911300 |    2911300 |    2911300 |    2911300 |    2911300
  Idle time (ns)                     |       1532 |    2277834 |    2278209 |    2278148 |    2268488 |    2268597 |    2268549 |    2268645
  Idle time (%)                      |       0.1% |      78.2% |      78.3% |      78.3% |      77.9% |      77.9% |      77.9% |      77.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1392450 |    1057579 |     991772 |    1064143 |     818219 |    1021657 |     966824 |    1066017
  num incorrect                      |      77753 |       6338 |       8415 |       6190 |      13129 |       6652 |       8569 |       5177
  misprediction rate                 |      5.29% |      0.60% |      0.84% |      0.58% |      1.58% |      0.65% |      0.88% |      0.48%
  mpki                               |       6.91 |       1.87 |       2.61 |       1.82 |       4.67 |       2.03 |       2.72 |       1.53
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1283593 |      41781 |      51528 |      42286 |      81630 |      43273 |      51411 |      36033
    num misses                       |        176 |         29 |         28 |         28 |         44 |         27 |         28 |         28
    miss rate                        |      0.01% |      0.07% |      0.05% |      0.07% |      0.05% |      0.06% |      0.05% |      0.08%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2742778 |     664724 |     648970 |     666253 |     607375 |     648071 |     636193 |     658059
    num misses                       |       1436 |        150 |        154 |        181 |        151 |        128 |        138 |        161
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04 |       0.05
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1612 |        179 |        182 |        209 |        195 |        155 |        166 |        189
    num misses                       |        601 |        141 |        137 |        138 |        155 |        130 |        131 |        134
    miss rate                        |     37.28% |     78.77% |     75.27% |     66.03% |     79.49% |     83.87% |     78.92% |     70.90%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1283593 |      41781 |      51528 |      42286 |      81630 |      43273 |      51411 |      36033
    num cache misses                 |       2814 |        178 |        176 |        176 |        367 |        172 |        176 |        175
    miss rate                        |      0.22% |      0.43% |      0.34% |      0.42% |      0.45% |      0.40% |      0.34% |      0.49%
    mpki                             |       0.25 |       0.05 |       0.05 |       0.05 |       0.13 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2742778 |     664724 |     648970 |     666253 |     607375 |     648071 |     636193 |     658059
    num cache misses                 |      37284 |      13175 |      13305 |      13074 |      13910 |      13111 |      13230 |      13002
    miss rate                        |      1.36% |      1.98% |      2.05% |      1.96% |      2.29% |      2.02% |      2.08% |      1.98%
    mpki                             |       3.31 |       3.89 |       4.12 |       3.84 |       4.95 |       4.00 |       4.20 |       3.84
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42257 |      13358 |      13484 |      13256 |      14280 |      13285 |      13406 |      13177
    num cache misses                 |      28819 |      12129 |      12220 |      12061 |      12677 |      12108 |      12206 |      12065
    miss rate                        |     68.20% |     90.80% |     90.63% |     90.99% |     88.77% |     91.14% |     91.05% |     91.56%
    mpki                             |       2.56 |       3.58 |       3.79 |       3.55 |       4.51 |       3.69 |       3.87 |       3.56
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31373 |      12143 |      12224 |      12067 |      12680 |      12111 |      12209 |      12067
    num cache misses                 |      17213 |        574 |        635 |        523 |        890 |        556 |        574 |        581
    miss rate                        |     54.87% |      4.73% |      5.19% |      4.33% |      7.02% |      4.59% |      4.70% |      4.81%
    mpki                             |       1.53 |       0.17 |       0.20 |       0.15 |       0.32 |       0.17 |       0.18 |       0.17
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      21428 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10618 |        276 |        308 |        225 |        399 |        253 |        245 |        304
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
