                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11236673 |    3382924 |    3232887 |    3392621 |    2846981 |    3355463 |    3228222 |    3498329
  Cycles                             |    9103600 |    9103600 |    9103600 |    9103600 |    9103600 |    9103600 |    9103600 |    9103600
  IPC                                |       1.23 |       0.37 |       0.36 |       0.37 |       0.31 |       0.37 |       0.35 |       0.38
  Time (ns)                          |    2275900 |    2275900 |    2275900 |    2275900 |    2275900 |    2275900 |    2275900 |    2275900
  Idle time (ns)                     |       1628 |    1799276 |    1799556 |    1799706 |    1799712 |    1799762 |    1799704 |    1799934
  Idle time (%)                      |       0.1% |      79.1% |      79.1% |      79.1% |      79.1% |      79.1% |      79.1% |      79.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1386451 |    1057085 |     993962 |    1061293 |     831842 |    1046207 |     991432 |    1103883
  num incorrect                      |      78045 |       6169 |       8275 |       6294 |      13097 |       6721 |       8372 |       5059
  misprediction rate                 |      5.33% |      0.58% |      0.83% |      0.59% |      1.55% |      0.64% |      0.84% |      0.46%
  mpki                               |       6.95 |       1.82 |       2.56 |       1.86 |       4.60 |       2.00 |       2.59 |       1.45
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1283379 |      41778 |      51373 |      40241 |      79107 |      43149 |      53124 |      36993
    num misses                       |        174 |         29 |         29 |         28 |         45 |         28 |         28 |         28
    miss rate                        |      0.01% |      0.07% |      0.06% |      0.07% |      0.06% |      0.06% |      0.05% |      0.08%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2739727 |     664285 |     650217 |     665213 |     614176 |     661031 |     648858 |     676570
    num misses                       |       2416 |        148 |        157 |        167 |        209 |        136 |        140 |        136
    miss rate                        |      0.09% |      0.02% |      0.02% |      0.03% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.22 |       0.04 |       0.05 |       0.05 |       0.07 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2590 |        177 |        186 |        195 |        254 |        164 |        168 |        164
    num misses                       |        609 |        137 |        141 |        142 |        162 |        133 |        131 |        134
    miss rate                        |     23.51% |     77.40% |     75.81% |     72.82% |     63.78% |     81.10% |     77.98% |     81.71%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1283379 |      41778 |      51373 |      40241 |      79107 |      43149 |      53124 |      36993
    num cache misses                 |       2730 |        178 |        178 |        175 |        364 |        175 |        175 |        174
    miss rate                        |      0.21% |      0.43% |      0.35% |      0.43% |      0.46% |      0.41% |      0.33% |      0.47%
    mpki                             |       0.24 |       0.05 |       0.06 |       0.05 |       0.13 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2739727 |     664285 |     650217 |     665213 |     614176 |     661031 |     648858 |     676570
    num cache misses                 |      37309 |      13242 |      13329 |      13086 |      14018 |      13218 |      13312 |      12939
    miss rate                        |      1.36% |      1.99% |      2.05% |      1.97% |      2.28% |      2.00% |      2.05% |      1.91%
    mpki                             |       3.32 |       3.91 |       4.12 |       3.86 |       4.92 |       3.94 |       4.12 |       3.70
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42358 |      13538 |      13642 |      13391 |      14812 |      13784 |      13898 |      13471
    num cache misses                 |      29053 |      12199 |      12256 |      12068 |      12742 |      12223 |      12283 |      12007
    miss rate                        |     68.59% |     90.11% |     89.84% |     90.12% |     86.02% |     88.68% |     88.38% |     89.13%
    mpki                             |       2.59 |       3.61 |       3.79 |       3.56 |       4.48 |       3.64 |       3.80 |       3.43
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31689 |      12326 |      12393 |      12198 |      13237 |      12616 |      12697 |      12366
    num cache misses                 |      23638 |       6769 |       6779 |       6715 |       7957 |       7332 |       7407 |       7116
    miss rate                        |     74.59% |     54.92% |     54.70% |     55.05% |     60.11% |     58.12% |     58.34% |     57.54%
    mpki                             |       2.10 |       2.00 |       2.10 |       1.98 |       2.79 |       2.19 |       2.29 |       2.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      10737 |          0 |          0 |          0 |      10690 |          0 |          0 |          0
  average dram access latency (ns)   |      61.50 |        inf |        inf |        inf |      61.47 |        inf |        inf |        inf
  average dram queueing delay        |       0.24 |       0.00 |       0.00 |       0.00 |       0.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10430 |        136 |        146 |        106 |        133 |         98 |        103 |        121
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2039 |       1899 |       1993 |       1982 |       2640 |       2362 |       2443 |       2343
