                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  1709203928 |  1693234587 |  1689414699 |  1695067011 |  1822103048 |  1825793705 |  1843251635 |  1850248877 |  1745035014 |  1725566798 |  1762110647 |  1764290567
  Cycles                             |   644574900 |   644574900 |   644574900 |   644574900 |   859433200 |   859433200 |   859433200 |   859433200 |   644574900 |   644574900 |   644574900 |   644574900
  IPC                                |        2.65 |        2.63 |        2.62 |        2.63 |        2.12 |        2.12 |        2.14 |        2.15 |        2.71 |        2.68 |        2.73 |        2.74
  Time (ns)                          |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300 |   214858300
  Idle time (ns)                     |         250 |      332545 |      334117 |      335459 |      336738 |      338087 |      339390 |      340844 |      342322 |      343937 |      345426 |      346914
  Idle time (%)                      |        0.0% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2% |        0.2%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    16804614 |    12077807 |    10804908 |    12689258 |    55035044 |    56265060 |    65738348 |    68070960 |    32999236 |    26510328 |   309292302 |   310018932
  num incorrect                      |       41195 |       32650 |       32616 |       32115 |       32838 |       33040 |       28797 |       28598 |       28404 |       28625 |       18890 |       18893
  misprediction rate                 |       0.24% |       0.27% |       0.30% |       0.25% |       0.06% |       0.06% |       0.04% |       0.04% |       0.09% |       0.11% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   158348057 |   157995406 |   157995215 |   157995215 |   157995215 |   157995215 |   157003193 |   157003193 |   157003193 |   157003046 |    79675971 |    79675972
    num misses                       |         280 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   778619167 |   774865694 |   774228403 |   775170901 |   796341650 |   796956763 |   796429186 |   797595395 |   780060742 |   776814859 |   541915523 |   542278853
    num misses                       |      929819 |      956066 |      954559 |      950121 |      925902 |      955549 |      932214 |      918753 |      949311 |      946617 |      450049 |      467442
    miss rate                        |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.08% |       0.09%
    mpki                             |        0.54 |        0.56 |        0.57 |        0.56 |        0.51 |        0.52 |        0.51 |        0.50 |        0.54 |        0.55 |        0.26 |        0.26
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      930099 |      956104 |      954597 |      950159 |      925940 |      955587 |      932252 |      918791 |      949349 |      946655 |      450087 |      467480
    num misses                       |       22308 |       22526 |       32464 |       25720 |       21901 |       17292 |       20690 |       19376 |       24599 |       21935 |       15347 |       18957
    miss rate                        |       2.40% |       2.36% |       3.40% |       2.71% |       2.37% |       1.81% |       2.22% |       2.11% |       2.59% |       2.32% |       3.41% |       4.06%
    mpki                             |        0.01 |        0.01 |        0.02 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   158348057 |   157995406 |   157995215 |   157995215 |   157995215 |   157995215 |   157003193 |   157003193 |   157003193 |   157003046 |    79675971 |    79675972
    num cache misses                 |      294669 |      224927 |      220746 |      222188 |      197476 |      197786 |      191564 |      189581 |      216675 |      229162 |      199383 |      199785
    miss rate                        |       0.19% |       0.14% |       0.14% |       0.14% |       0.12% |       0.13% |       0.12% |       0.12% |       0.14% |       0.15% |       0.25% |       0.25%
    mpki                             |        0.17 |        0.13 |        0.13 |        0.13 |        0.11 |        0.11 |        0.10 |        0.10 |        0.12 |        0.13 |        0.11 |        0.11
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   778619167 |   774865694 |   774228403 |   775170901 |   796341650 |   796956763 |   796429186 |   797595395 |   780060742 |   776814859 |   541915523 |   542278853
    num cache misses                 |    26208709 |    26087321 |    26102288 |    26116194 |    26120747 |    26100565 |    25709271 |    25733214 |    25719958 |    25713292 |    13382292 |    13366399
    miss rate                        |       3.37% |       3.37% |       3.37% |       3.37% |       3.28% |       3.28% |       3.23% |       3.23% |       3.30% |       3.31% |       2.47% |       2.46%
    mpki                             |       15.33 |       15.41 |       15.45 |       15.41 |       14.34 |       14.30 |       13.95 |       13.91 |       14.74 |       14.90 |        7.59 |        7.58
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    26699160 |    26504651 |    26515770 |    26551637 |    26646895 |    26634157 |    26232982 |    26257106 |    26229540 |    26246785 |    13768290 |    13750384
    num cache misses                 |     2441431 |     2281124 |     2289787 |     2236790 |     1333888 |     1320880 |     1137591 |      956426 |     1948229 |     2135330 |     1439597 |     1467965
    miss rate                        |       9.14% |       8.61% |       8.64% |       8.42% |       5.01% |       4.96% |       4.34% |       3.64% |       7.43% |       8.14% |      10.46% |      10.68%
    mpki                             |        1.43 |        1.35 |        1.36 |        1.32 |        0.73 |        0.72 |        0.62 |        0.52 |        1.12 |        1.24 |        0.82 |        0.83
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     2693142 |     2529820 |     2541105 |     2512535 |     1881184 |     1872586 |     1680916 |     1507655 |     2323255 |     2516368 |     1733769 |     1770104
    num cache misses                 |      205342 |      132652 |      132156 |      131657 |      130775 |      132446 |      132023 |      516439 |      530039 |      342692 |      225474 |      276181
    miss rate                        |       7.62% |       5.24% |       5.20% |       5.24% |       6.95% |       7.07% |       7.85% |      34.25% |      22.81% |      13.62% |      13.00% |      15.60%
    mpki                             |        0.12 |        0.08 |        0.08 |        0.08 |        0.07 |        0.07 |        0.07 |        0.28 |        0.30 |        0.20 |        0.13 |        0.16
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       27773 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       27742 |           0 |           0 |           0
  average dram access latency (ns)   |      914.43 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |      914.01 |         inf |         inf |         inf
  average dram queueing delay        |      853.18 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |      852.75 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        6871 |         227 |         214 |         216 |         219 |         217 |         216 |         224 |           3 |         211 |         224 |          21
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      176638 |      128212 |      127866 |      127382 |      126686 |      128286 |      128018 |      512161 |      510740 |      337129 |      220314 |      260426
