metric,value
timestamp,2026-07-05T19:38:48
workload,BT
strategy,HPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/BT_W_HPO_12TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,215.1111
total_instructions,21583738873
avg_ipc,4.2512
avg_ipc_p,2.0551
avg_ipc_e,8.6434
total_power_W,43.6836
dynamic_W,38.8819
leakage_W,4.8
dram_W,0.0017
energy_J,9.396824
node0_reads,27772
node1_reads,27742
node0_pct,50.027
node0_writes,12
node1_writes,2
dram_local,4360
dram_remote,4359
dram_remote_pct,49.9943
l1d_miss_pct,2.8478
l2_miss_pct,6.9842
l3_miss_pct,0.0753
l1d_mpki,7.6782
l2_mpki,0.5363
l3_mpki,0.0004
l3_miss_count,8719
cpi_base_frac,0.9604
cpi_branch_frac,0.0009
cpi_l2_frac,0.0004
cpi_l3_frac,0.0383
cpi_dram_local_frac,0.0
cpi_dram_remote_frac,0.0
futex_wake_count,2840
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.5637
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,707884175
L1-D.access-mru-0.c1,712516526
L1-D.access-mru-0.c10,516833855
L1-D.access-mru-0.c11,517909146
L1-D.access-mru-0.c2,712398188
L1-D.access-mru-0.c3,713542645
L1-D.access-mru-0.c4,691296045
L1-D.access-mru-0.c5,691303513
L1-D.access-mru-0.c6,693600438
L1-D.access-mru-0.c7,694682067
L1-D.access-mru-0.c8,712747411
L1-D.access-mru-0.c9,714524298
L1-D.access-mru-0.node0,5308356244
L1-D.access-mru-0.node1,2770882063
L1-D.access-mru-0.total,8079238307
L1-D.access-mru-1.c0,52805632
L1-D.access-mru-1.c1,49236142
L1-D.access-mru-1.c10,24874314
L1-D.access-mru-1.c11,24823197
L1-D.access-mru-1.c2,49147307
L1-D.access-mru-1.c3,49250253
L1-D.access-mru-1.c4,49281317
L1-D.access-mru-1.c5,49243305
L1-D.access-mru-1.c6,49069720
L1-D.access-mru-1.c7,49011029
L1-D.access-mru-1.c8,48989008
L1-D.access-mru-1.c9,49073376
L1-D.access-mru-1.node0,348199229
L1-D.access-mru-1.node1,196605371
L1-D.access-mru-1.total,544804600
L1-D.access-mru-2.c0,4428024
L1-D.access-mru-2.c1,3678245
L1-D.access-mru-2.c10,1884356
L1-D.access-mru-2.c11,1895124
L1-D.access-mru-2.c2,3746775
L1-D.access-mru-2.c3,3735804
L1-D.access-mru-2.c4,3693600
L1-D.access-mru-2.c5,3723488
L1-D.access-mru-2.c6,3668112
L1-D.access-mru-2.c7,3734740
L1-D.access-mru-2.c8,3668762
L1-D.access-mru-2.c9,3693198
L1-D.access-mru-2.node0,26730288
L1-D.access-mru-2.node1,14819940
L1-D.access-mru-2.total,41550228
L1-D.access-mru-3.c0,946673
L1-D.access-mru-3.c1,914966
L1-D.access-mru-3.c10,455098
L1-D.access-mru-3.c11,449571
L1-D.access-mru-3.c2,907756
L1-D.access-mru-3.c3,911897
L1-D.access-mru-3.c4,919507
L1-D.access-mru-3.c5,911648
L1-D.access-mru-3.c6,909263
L1-D.access-mru-3.c7,896460
L1-D.access-mru-3.c8,910869
L1-D.access-mru-3.c9,907776
L1-D.access-mru-3.node0,6404606
L1-D.access-mru-3.node1,3636878
L1-D.access-mru-3.total,10041484
L1-D.access-mru-4.c0,628747
L1-D.access-mru-4.c1,628026
L1-D.access-mru-4.c10,296395
L1-D.access-mru-4.c11,315177
L1-D.access-mru-4.c2,628839
L1-D.access-mru-4.c3,624120
L1-D.access-mru-4.c4,632159
L1-D.access-mru-4.c5,622115
L1-D.access-mru-4.c6,625073
L1-D.access-mru-4.c7,625201
L1-D.access-mru-4.c8,624396
L1-D.access-mru-4.c9,627313
L1-D.access-mru-4.node0,4373013
L1-D.access-mru-4.node1,2504548
L1-D.access-mru-4.total,6877561
L1-D.access-mru-5.c0,742127
L1-D.access-mru-5.c1,703858
L1-D.access-mru-5.c10,357062
L1-D.access-mru-5.c11,355056
L1-D.access-mru-5.c2,706975
L1-D.access-mru-5.c3,705291
L1-D.access-mru-5.c4,699016
L1-D.access-mru-5.c5,704662
L1-D.access-mru-5.c6,698411
L1-D.access-mru-5.c7,706587
L1-D.access-mru-5.c8,702044
L1-D.access-mru-5.c9,706976
L1-D.access-mru-5.node0,4979389
L1-D.access-mru-5.node1,2808676
L1-D.access-mru-5.total,7788065
L1-D.access-mru-6.c0,978448
L1-D.access-mru-6.c1,1007356
L1-D.access-mru-6.c10,494860
L1-D.access-mru-6.c11,516987
L1-D.access-mru-6.c2,1007759
L1-D.access-mru-6.c3,1013465
L1-D.access-mru-6.c4,999624
L1-D.access-mru-6.c5,1013387
L1-D.access-mru-6.c6,1011588
L1-D.access-mru-6.c7,1004735
L1-D.access-mru-6.c8,1014598
L1-D.access-mru-6.c9,1003651
L1-D.access-mru-6.node0,7037124
L1-D.access-mru-6.node1,4029334
L1-D.access-mru-6.total,11066458
L1-D.access-mru-7.c0,1479088
L1-D.access-mru-7.c1,1533098
L1-D.access-mru-7.c10,764273
L1-D.access-mru-7.c11,751322
L1-D.access-mru-7.c2,1514996
L1-D.access-mru-7.c3,1506986
L1-D.access-mru-7.c4,1510986
L1-D.access-mru-7.c5,1512781
L1-D.access-mru-7.c6,1514661
L1-D.access-mru-7.c7,1504449
L1-D.access-mru-7.c8,1511774
L1-D.access-mru-7.c9,1518424
L1-D.access-mru-7.node0,10579961
L1-D.access-mru-7.node1,6042877
L1-D.access-mru-7.total,16622838
L1-D.backinval-M.c3,202
L1-D.backinval-M.c4,1111
L1-D.backinval-M.c5,1010
L1-D.backinval-M.c6,1211
L1-D.backinval-M.c7,1211
L1-D.backinval-M.c8,202
L1-D.backinval-M.node0,404
L1-D.backinval-M.node1,4543
L1-D.backinval-M.total,4947
L1-D.backinval-S.c5,201
L1-D.backinval-S.c7,201
L1-D.backinval-S.node0,0
L1-D.backinval-S.node1,402
L1-D.backinval-S.total,402
L1-D.coherency-downgrades.c0,67461
L1-D.coherency-downgrades.c1,283420
L1-D.coherency-downgrades.c10,155617
L1-D.coherency-downgrades.c11,288731
L1-D.coherency-downgrades.c2,276433
L1-D.coherency-downgrades.c3,393787
L1-D.coherency-downgrades.c4,123638
L1-D.coherency-downgrades.c5,160723
L1-D.coherency-downgrades.c6,247886
L1-D.coherency-downgrades.c7,132371
L1-D.coherency-downgrades.c8,143645
L1-D.coherency-downgrades.c9,136205
L1-D.coherency-downgrades.node0,1745299
L1-D.coherency-downgrades.node1,664618
L1-D.coherency-downgrades.total,2409917
L1-D.coherency-invalidates.c0,14872
L1-D.coherency-invalidates.c1,11558
L1-D.coherency-invalidates.c10,6564
L1-D.coherency-invalidates.c11,6579
L1-D.coherency-invalidates.c2,8584
L1-D.coherency-invalidates.c3,5985
L1-D.coherency-invalidates.c4,11591
L1-D.coherency-invalidates.c5,9493
L1-D.coherency-invalidates.c6,7024
L1-D.coherency-invalidates.c7,5728
L1-D.coherency-invalidates.c8,6087
L1-D.coherency-invalidates.c9,6484
L1-D.coherency-invalidates.node0,66713
L1-D.coherency-invalidates.node1,33836
L1-D.coherency-invalidates.total,100549
L1-D.coherency-upgrades.c0,1914
L1-D.coherency-upgrades.c1,4611
L1-D.coherency-upgrades.c10,8
L1-D.coherency-upgrades.c11,6
L1-D.coherency-upgrades.c2,4609
L1-D.coherency-upgrades.c3,4605
L1-D.coherency-upgrades.c4,3527
L1-D.coherency-upgrades.c5,3481
L1-D.coherency-upgrades.c6,4596
L1-D.coherency-upgrades.c7,4036
L1-D.coherency-upgrades.c8,2
L1-D.coherency-upgrades.c9,9
L1-D.coherency-upgrades.node0,15764
L1-D.coherency-upgrades.node1,15640
L1-D.coherency-upgrades.total,31404
L1-D.coherency-writebacks.c0,2165
L1-D.coherency-writebacks.c1,2948
L1-D.coherency-writebacks.c10,3969
L1-D.coherency-writebacks.c11,4141
L1-D.coherency-writebacks.c2,2913
L1-D.coherency-writebacks.c3,2949
L1-D.coherency-writebacks.c4,2994
L1-D.coherency-writebacks.c5,3470
L1-D.coherency-writebacks.c6,4654
L1-D.coherency-writebacks.c7,4724
L1-D.coherency-writebacks.c8,3906
L1-D.coherency-writebacks.c9,3950
L1-D.coherency-writebacks.node0,26941
L1-D.coherency-writebacks.node1,15842
L1-D.coherency-writebacks.total,42783
L1-D.evict-E.c0,6801
L1-D.evict-E.c1,19
L1-D.evict-E.node0,6820
L1-D.evict-E.node1,0
L1-D.evict-E.total,6820
L1-D.evict-M.c0,24451812
L1-D.evict-M.c1,23420994
L1-D.evict-M.c10,11769146
L1-D.evict-M.c11,11720073
L1-D.evict-M.c2,23408435
L1-D.evict-M.c3,23047215
L1-D.evict-M.c4,24068017
L1-D.evict-M.c5,23850889
L1-D.evict-M.c6,23389722
L1-D.evict-M.c7,22781830
L1-D.evict-M.c8,22906133
L1-D.evict-M.c9,22954055
L1-D.evict-M.node0,163677863
L1-D.evict-M.node1,94090458
L1-D.evict-M.total,257768321
L1-D.evict-S.c0,1794292
L1-D.evict-S.c1,2645056
L1-D.evict-S.c10,1601376
L1-D.evict-S.c11,1634697
L1-D.evict-S.c2,2676255
L1-D.evict-S.c3,3052558
L1-D.evict-S.c4,2034514
L1-D.evict-S.c5,2233286
L1-D.evict-S.c6,2302883
L1-D.evict-S.c7,2937343
L1-D.evict-S.c8,2801752
L1-D.evict-S.c9,2747047
L1-D.evict-S.node0,18953033
L1-D.evict-S.node1,9508026
L1-D.evict-S.total,28461059
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,15496745
L1-D.load-misses-I.c1,15399722
L1-D.load-misses-I.c10,7863238
L1-D.load-misses-I.c11,7850118
L1-D.load-misses-I.c2,15417366
L1-D.load-misses-I.c3,15425842
L1-D.load-misses-I.c4,15434411
L1-D.load-misses-I.c5,15411527
L1-D.load-misses-I.c6,15024854
L1-D.load-misses-I.c7,15048715
L1-D.load-misses-I.c8,15031072
L1-D.load-misses-I.c9,15025581
L1-D.load-misses-I.node0,107509684
L1-D.load-misses-I.node1,60919507
L1-D.load-misses-I.total,168429191
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c1,2
L1-D.load-misses-S.c10,1
L1-D.load-misses-S.c11,2
L1-D.load-misses-S.c2,3
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.c6,3
L1-D.load-misses-S.c7,4
L1-D.load-misses-S.c8,1
L1-D.load-misses-S.c9,1
L1-D.load-misses-S.node0,12
L1-D.load-misses-S.node1,7
L1-D.load-misses-S.total,19
L1-D.load-misses.c0,15496749
L1-D.load-misses.c1,15399724
L1-D.load-misses.c10,7863239
L1-D.load-misses.c11,7850120
L1-D.load-misses.c2,15417369
L1-D.load-misses.c3,15425843
L1-D.load-misses.c4,15434411
L1-D.load-misses.c5,15411527
L1-D.load-misses.c6,15024857
L1-D.load-misses.c7,15048719
L1-D.load-misses.c8,15031073
L1-D.load-misses.c9,15025582
L1-D.load-misses.node0,107509699
L1-D.load-misses.node1,60919514
L1-D.load-misses.total,168429213
L1-D.loads-E.c0,67545
L1-D.loads-E.c1,140
L1-D.loads-E.c11,1
L1-D.loads-E.c2,16
L1-D.loads-E.c3,15
L1-D.loads-E.c4,8
L1-D.loads-E.c5,7
L1-D.loads-E.c6,3
L1-D.loads-E.c7,4
L1-D.loads-E.node0,67717
L1-D.loads-E.node1,22
L1-D.loads-E.total,67739
L1-D.loads-I.c0,15496745
L1-D.loads-I.c1,15399722
L1-D.loads-I.c10,7863238
L1-D.loads-I.c11,7850118
L1-D.loads-I.c2,15417366
L1-D.loads-I.c3,15425842
L1-D.loads-I.c4,15434411
L1-D.loads-I.c5,15411527
L1-D.loads-I.c6,15024854
L1-D.loads-I.c7,15048715
L1-D.loads-I.c8,15031072
L1-D.loads-I.c9,15025581
L1-D.loads-I.node0,107509684
L1-D.loads-I.node1,60919507
L1-D.loads-I.total,168429191
L1-D.loads-M.c0,443584655
L1-D.loads-M.c1,440019494
L1-D.loads-M.c10,223406905
L1-D.loads-M.c11,223753908
L1-D.loads-M.c2,439661087
L1-D.loads-M.c3,439620589
L1-D.loads-M.c4,443943787
L1-D.loads-M.c5,442711323
L1-D.loads-M.c6,438727972
L1-D.loads-M.c7,434033828
L1-D.loads-M.c8,436208460
L1-D.loads-M.c9,436051008
L1-D.loads-M.node0,3082306106
L1-D.loads-M.node1,1759416910
L1-D.loads-M.total,4841723016
L1-D.loads-S.c0,46900701
L1-D.loads-S.c1,51601625
L1-D.loads-S.c10,182058713
L1-D.loads-S.c11,182764614
L1-D.loads-S.c2,51788599
L1-D.loads-S.c3,53087438
L1-D.loads-S.c4,26355589
L1-D.loads-S.c5,27599653
L1-D.loads-S.c6,34594214
L1-D.loads-S.c7,40423315
L1-D.loads-S.c8,56209070
L1-D.loads-S.c9,58455532
L1-D.loads-S.node0,682866292
L1-D.loads-S.node1,128972771
L1-D.loads-S.total,811839063
L1-D.loads-where-L1.c0,490552897
L1-D.loads-where-L1.c1,491621257
L1-D.loads-where-L1.c10,405465617
L1-D.loads-where-L1.c11,406518521
L1-D.loads-where-L1.c2,491449699
L1-D.loads-where-L1.c3,492708041
L1-D.loads-where-L1.c4,470299384
L1-D.loads-where-L1.c5,470310983
L1-D.loads-where-L1.c6,473322186
L1-D.loads-where-L1.c7,474457143
L1-D.loads-where-L1.c8,492417529
L1-D.loads-where-L1.c9,494506539
L1-D.loads-where-L1.node0,3765240100
L1-D.loads-where-L1.node1,1888389696
L1-D.loads-where-L1.total,5653629796
L1-D.loads-where-L2.c0,14358272
L1-D.loads-where-L2.c1,14305284
L1-D.loads-where-L2.c10,7118369
L1-D.loads-where-L2.c11,7147870
L1-D.loads-where-L2.c2,14311620
L1-D.loads-where-L2.c3,14349656
L1-D.loads-where-L2.c4,13675285
L1-D.loads-where-L2.c5,13661380
L1-D.loads-where-L2.c6,13507120
L1-D.loads-where-L2.c7,13634696
L1-D.loads-where-L2.c8,14039208
L1-D.loads-where-L2.c9,14040986
L1-D.loads-where-L2.node0,99671265
L1-D.loads-where-L2.node1,54478481
L1-D.loads-where-L2.total,154149746
L1-D.loads-where-L3.c0,170218
L1-D.loads-where-L3.c1,140966
L1-D.loads-where-L3.c10,90590
L1-D.loads-where-L3.c11,42973
L1-D.loads-where-L3.c2,160150
L1-D.loads-where-L3.c3,219200
L1-D.loads-where-L3.c4,521197
L1-D.loads-where-L3.c5,600040
L1-D.loads-where-L3.c6,544692
