metric,value
timestamp,2026-07-05T21:06:58
workload,FT
strategy,Packed
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/FT_W_Packed_12TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,25.4553
total_instructions,2067630279
avg_ipc,3.2697
avg_ipc_p,1.7496
avg_ipc_e,6.3098
total_power_W,41.1395
dynamic_W,33.9934
leakage_W,4.8
dram_W,2.3461
energy_J,1.047218
node0_reads,2890561
node1_reads,2889037
node0_pct,50.0132
node0_writes,2526438
node1_writes,2525032
dram_local,1885857
dram_remote,1884108
dram_remote_pct,49.9768
l1d_miss_pct,8.9077
l2_miss_pct,13.4612
l3_miss_pct,88.8736
l1d_mpki,15.2408
l2_mpki,2.0516
l3_mpki,1.8233
l3_miss_count,3769965
cpi_base_frac,0.7394
cpi_branch_frac,0.0184
cpi_l2_frac,0.0
cpi_l3_frac,0.0018
cpi_dram_local_frac,0.1407
cpi_dram_remote_frac,0.0997
futex_wake_count,98
futex_wait_count,107
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.5253
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,45865504
L1-D.access-mru-0.c1,46267595
L1-D.access-mru-0.c10,39008381
L1-D.access-mru-0.c11,39169413
L1-D.access-mru-0.c2,46301771
L1-D.access-mru-0.c3,46219911
L1-D.access-mru-0.c4,41231705
L1-D.access-mru-0.c5,41398612
L1-D.access-mru-0.c6,41679689
L1-D.access-mru-0.c7,41932425
L1-D.access-mru-0.c8,38925234
L1-D.access-mru-0.c9,38901277
L1-D.access-mru-0.node0,350897212
L1-D.access-mru-0.node1,156004305
L1-D.access-mru-0.total,506901517
L1-D.access-mru-1.c0,3866900
L1-D.access-mru-1.c1,3994500
L1-D.access-mru-1.c10,2689057
L1-D.access-mru-1.c11,2688750
L1-D.access-mru-1.c2,3995823
L1-D.access-mru-1.c3,3994080
L1-D.access-mru-1.c4,3995805
L1-D.access-mru-1.c5,3994052
L1-D.access-mru-1.c6,3995091
L1-D.access-mru-1.c7,3994556
L1-D.access-mru-1.c8,2688775
L1-D.access-mru-1.c9,2688936
L1-D.access-mru-1.node0,31830807
L1-D.access-mru-1.node1,10755518
L1-D.access-mru-1.total,42586325
L1-D.access-mru-2.c0,466414
L1-D.access-mru-2.c1,150243
L1-D.access-mru-2.c10,102636
L1-D.access-mru-2.c11,103060
L1-D.access-mru-2.c2,150583
L1-D.access-mru-2.c3,149864
L1-D.access-mru-2.c4,150329
L1-D.access-mru-2.c5,151606
L1-D.access-mru-2.c6,149684
L1-D.access-mru-2.c7,150342
L1-D.access-mru-2.c8,103019
L1-D.access-mru-2.c9,102692
L1-D.access-mru-2.node0,1519065
L1-D.access-mru-2.node1,411407
L1-D.access-mru-2.total,1930472
L1-D.access-mru-3.c0,99300
L1-D.access-mru-3.c1,53504
L1-D.access-mru-3.c10,36978
L1-D.access-mru-3.c11,37163
L1-D.access-mru-3.c2,54083
L1-D.access-mru-3.c3,53971
L1-D.access-mru-3.c4,54137
L1-D.access-mru-3.c5,53712
L1-D.access-mru-3.c6,53990
L1-D.access-mru-3.c7,53876
L1-D.access-mru-3.c8,37403
L1-D.access-mru-3.c9,37283
L1-D.access-mru-3.node0,476573
L1-D.access-mru-3.node1,148827
L1-D.access-mru-3.total,625400
L1-D.access-mru-4.c0,575092
L1-D.access-mru-4.c1,565733
L1-D.access-mru-4.c10,378372
L1-D.access-mru-4.c11,378477
L1-D.access-mru-4.c2,565188
L1-D.access-mru-4.c3,564940
L1-D.access-mru-4.c4,564409
L1-D.access-mru-4.c5,564806
L1-D.access-mru-4.c6,564860
L1-D.access-mru-4.c7,564899
L1-D.access-mru-4.c8,378848
L1-D.access-mru-4.c9,378347
L1-D.access-mru-4.node0,4529927
L1-D.access-mru-4.node1,1514044
L1-D.access-mru-4.total,6043971
L1-D.access-mru-5.c0,42020
L1-D.access-mru-5.c1,39900
L1-D.access-mru-5.c10,28008
L1-D.access-mru-5.c11,28105
L1-D.access-mru-5.c2,39863
L1-D.access-mru-5.c3,39963
L1-D.access-mru-5.c4,39734
L1-D.access-mru-5.c5,39616
L1-D.access-mru-5.c6,39833
L1-D.access-mru-5.c7,39804
L1-D.access-mru-5.c8,27981
L1-D.access-mru-5.c9,28076
L1-D.access-mru-5.node0,320733
L1-D.access-mru-5.node1,112170
L1-D.access-mru-5.total,432903
L1-D.access-mru-6.c0,25562
L1-D.access-mru-6.c1,21350
L1-D.access-mru-6.c10,17903
L1-D.access-mru-6.c11,18033
L1-D.access-mru-6.c2,20996
L1-D.access-mru-6.c3,21109
L1-D.access-mru-6.c4,20987
L1-D.access-mru-6.c5,21367
L1-D.access-mru-6.c6,20849
L1-D.access-mru-6.c7,20996
