metric,value
timestamp,2026-07-05T20:23:30
workload,MG
strategy,MPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/MG_W_MPO_12TH_20260705_025404
cpu_map,"[8, 9, 0, 1, 2, 5, 3, 4, 10, 13, 11, 12]"
p_core_count,8
e_core_count,4
node0_threads,6
node1_threads,6
sim_time_ms,109.2391
total_instructions,2698551625
avg_ipc,1.0146
avg_ipc_p,0.522
avg_ipc_e,2.0
total_power_W,17.8107
dynamic_W,11.3516
leakage_W,4.8
dram_W,1.6591
energy_J,1.945626
node0_reads,10981978
node1_reads,10985204
node0_pct,49.9927
node0_writes,4515484
node1_writes,4517704
dram_local,8112863
dram_remote,8111905
dram_remote_pct,49.997
l1d_miss_pct,3.4235
l2_miss_pct,68.7939
l3_miss_pct,66.7447
l1d_mpki,13.0943
l2_mpki,9.008
l3_mpki,6.0124
l3_miss_count,16224768
cpi_base_frac,0.4406
cpi_branch_frac,0.0006
cpi_l2_frac,0.0
cpi_l3_frac,0.0047
cpi_dram_local_frac,0.273
cpi_dram_remote_frac,0.2811
futex_wake_count,1141
futex_wait_count,325
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,5.0041
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,79716892
L1-D.access-mru-0.c1,81563269
L1-D.access-mru-0.c10,74774218
L1-D.access-mru-0.c11,73635766
L1-D.access-mru-0.c2,81515142
L1-D.access-mru-0.c3,70886220
L1-D.access-mru-0.c4,80625158
L1-D.access-mru-0.c5,72618935
L1-D.access-mru-0.c6,79932137
L1-D.access-mru-0.c7,80307270
L1-D.access-mru-0.c8,75199772
L1-D.access-mru-0.c9,73176446
L1-D.access-mru-0.node0,465884862
L1-D.access-mru-0.node1,458066363
L1-D.access-mru-0.total,923951225
L1-D.access-mru-1.c0,6053304
L1-D.access-mru-1.c1,6063664
L1-D.access-mru-1.c10,5341642
L1-D.access-mru-1.c11,5342484
L1-D.access-mru-1.c2,6063672
L1-D.access-mru-1.c3,6064057
L1-D.access-mru-1.c4,5883379
L1-D.access-mru-1.c5,5841410
L1-D.access-mru-1.c6,5837727
L1-D.access-mru-1.c7,5837880
L1-D.access-mru-1.c8,5359450
L1-D.access-mru-1.c9,5348582
L1-D.access-mru-1.node0,35528125
L1-D.access-mru-1.node1,33509126
L1-D.access-mru-1.total,69037251
L1-D.access-mru-2.c0,3991736
L1-D.access-mru-2.c1,3990557
L1-D.access-mru-2.c10,3547242
L1-D.access-mru-2.c11,3546430
L1-D.access-mru-2.c2,3990962
L1-D.access-mru-2.c3,3989877
L1-D.access-mru-2.c4,3863385
L1-D.access-mru-2.c5,3849414
L1-D.access-mru-2.c6,3847764
L1-D.access-mru-2.c7,3847347
L1-D.access-mru-2.c8,3550453
L1-D.access-mru-2.c9,3547837
L1-D.access-mru-2.node0,23388749
L1-D.access-mru-2.node1,22174255
L1-D.access-mru-2.total,45563004
L1-D.access-mru-3.c0,4151991
L1-D.access-mru-3.c1,4158554
L1-D.access-mru-3.c10,3717912
L1-D.access-mru-3.c11,3717846
L1-D.access-mru-3.c2,4158761
L1-D.access-mru-3.c3,4160133
L1-D.access-mru-3.c4,4051444
L1-D.access-mru-3.c5,4045828
L1-D.access-mru-3.c6,4044476
L1-D.access-mru-3.c7,4043919
L1-D.access-mru-3.c8,3723996
L1-D.access-mru-3.c9,3722800
L1-D.access-mru-3.node0,24504561
L1-D.access-mru-3.node1,23193099
L1-D.access-mru-3.total,47697660
L1-D.access-mru-4.c0,1460548
L1-D.access-mru-4.c1,1469716
L1-D.access-mru-4.c10,1322108
L1-D.access-mru-4.c11,1322158
L1-D.access-mru-4.c2,1469733
L1-D.access-mru-4.c3,1468986
L1-D.access-mru-4.c4,1448747
L1-D.access-mru-4.c5,1442834
L1-D.access-mru-4.c6,1443185
L1-D.access-mru-4.c7,1443848
L1-D.access-mru-4.c8,1322652
