metric,value
timestamp,2026-07-05T22:10:35
workload,PR
strategy,EPO
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/PR_W_EPO_12TH_20260705_025404
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3]"
p_core_count,4
e_core_count,8
node0_threads,8
node1_threads,4
sim_time_ms,5.0931
total_instructions,64852186
avg_ipc,0.8701
avg_ipc_p,0.191
avg_ipc_e,1.2097
total_power_W,8.7145
dynamic_W,5.081
leakage_W,3.6
dram_W,0.0335
energy_J,0.044384
node0_reads,13326
node1_reads,13237
node0_pct,50.1675
node0_writes,76
node1_writes,81
dram_local,6369
dram_remote,6304
dram_remote_pct,49.7435
l1d_miss_pct,1.2199
l2_miss_pct,81.7322
l3_miss_pct,11.0121
l1d_mpki,2.1712
l2_mpki,1.7745
l3_mpki,0.1954
l3_miss_count,12673
cpi_base_frac,0.6509
cpi_branch_frac,0.1637
cpi_l2_frac,0.0
cpi_l3_frac,0.1558
cpi_dram_local_frac,0.0134
cpi_dram_remote_frac,0.0162
futex_wake_count,34
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.5883
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4659338
L1-D.access-mru-0.c1,741942
L1-D.access-mru-0.c10,725888
L1-D.access-mru-0.c11,790097
L1-D.access-mru-0.c2,770320
L1-D.access-mru-0.c3,766178
L1-D.access-mru-0.c4,753247
L1-D.access-mru-0.c5,787742
L1-D.access-mru-0.c6,784058
L1-D.access-mru-0.c7,759995
L1-D.access-mru-0.c8,786337
L1-D.access-mru-0.c9,776964
L1-D.access-mru-0.node0,10017064
L1-D.access-mru-0.node1,3085042
L1-D.access-mru-0.total,13102106
L1-D.access-mru-1.c0,183579
L1-D.access-mru-1.c1,8096
L1-D.access-mru-1.c10,9151
L1-D.access-mru-1.c11,7846
L1-D.access-mru-1.c2,7382
L1-D.access-mru-1.c3,7613
L1-D.access-mru-1.c4,8228
L1-D.access-mru-1.c5,7407
L1-D.access-mru-1.c6,7255
L1-D.access-mru-1.c7,7857
L1-D.access-mru-1.c8,8271
L1-D.access-mru-1.c9,8323
L1-D.access-mru-1.node0,240261
L1-D.access-mru-1.node1,30747
L1-D.access-mru-1.total,271008
L1-D.access-mru-2.c0,80888
L1-D.access-mru-2.c1,1562
L1-D.access-mru-2.c10,1803
L1-D.access-mru-2.c11,1516
L1-D.access-mru-2.c2,1472
L1-D.access-mru-2.c3,1485
L1-D.access-mru-2.c4,1506
L1-D.access-mru-2.c5,1458
L1-D.access-mru-2.c6,1525
L1-D.access-mru-2.c7,1547
L1-D.access-mru-2.c8,1552
L1-D.access-mru-2.c9,1626
L1-D.access-mru-2.node0,91904
L1-D.access-mru-2.node1,6036
L1-D.access-mru-2.total,97940
L1-D.access-mru-3.c0,18388
L1-D.access-mru-3.c1,725
L1-D.access-mru-3.c10,866
L1-D.access-mru-3.c11,665
L1-D.access-mru-3.c2,697
L1-D.access-mru-3.c3,696
L1-D.access-mru-3.c4,724
L1-D.access-mru-3.c5,740
L1-D.access-mru-3.c6,694
L1-D.access-mru-3.c7,755
L1-D.access-mru-3.c8,671
L1-D.access-mru-3.c9,678
L1-D.access-mru-3.node0,23386
L1-D.access-mru-3.node1,2913
L1-D.access-mru-3.total,26299
L1-D.access-mru-4.c0,4960
L1-D.access-mru-4.c1,273
L1-D.access-mru-4.c10,405
L1-D.access-mru-4.c11,302
L1-D.access-mru-4.c2,294
L1-D.access-mru-4.c3,307
L1-D.access-mru-4.c4,287
L1-D.access-mru-4.c5,286
L1-D.access-mru-4.c6,258
L1-D.access-mru-4.c7,263
L1-D.access-mru-4.c8,297
L1-D.access-mru-4.c9,306
L1-D.access-mru-4.node0,7144
L1-D.access-mru-4.node1,1094
L1-D.access-mru-4.total,8238
L1-D.access-mru-5.c0,2485
L1-D.access-mru-5.c1,97
L1-D.access-mru-5.c10,312
L1-D.access-mru-5.c11,73
L1-D.access-mru-5.c2,84
L1-D.access-mru-5.c3,89
L1-D.access-mru-5.c4,82
L1-D.access-mru-5.c5,83
L1-D.access-mru-5.c6,87
L1-D.access-mru-5.c7,83
L1-D.access-mru-5.c8,75
L1-D.access-mru-5.c9,77
L1-D.access-mru-5.node0,3292
L1-D.access-mru-5.node1,335
L1-D.access-mru-5.total,3627
L1-D.access-mru-6.c0,1395
L1-D.access-mru-6.c1,31
L1-D.access-mru-6.c10,174
L1-D.access-mru-6.c11,45
L1-D.access-mru-6.c2,47
L1-D.access-mru-6.c3,36
L1-D.access-mru-6.c4,41
L1-D.access-mru-6.c5,41
L1-D.access-mru-6.c6,43
L1-D.access-mru-6.c7,48
L1-D.access-mru-6.c8,35
L1-D.access-mru-6.c9,44
L1-D.access-mru-6.node0,1807
L1-D.access-mru-6.node1,173
L1-D.access-mru-6.total,1980
L1-D.access-mru-7.c0,942
L1-D.access-mru-7.c1,25
L1-D.access-mru-7.c10,31
L1-D.access-mru-7.c11,26
L1-D.access-mru-7.c2,28
L1-D.access-mru-7.c3,35
L1-D.access-mru-7.c4,23
L1-D.access-mru-7.c5,27
L1-D.access-mru-7.c6,23
L1-D.access-mru-7.c7,22
L1-D.access-mru-7.c8,17
L1-D.access-mru-7.c9,23
L1-D.access-mru-7.node0,1127
L1-D.access-mru-7.node1,95
L1-D.access-mru-7.total,1222
L1-D.backinval-E,3
L1-D.backinval-M,99
L1-D.backinval-S,3
L1-D.coherency-downgrades.c0,1657
L1-D.coherency-downgrades.c1,980
L1-D.coherency-downgrades.c10,33
L1-D.coherency-downgrades.c11,40
L1-D.coherency-downgrades.c2,799
L1-D.coherency-downgrades.c3,584
L1-D.coherency-downgrades.c4,798
L1-D.coherency-downgrades.c5,563
L1-D.coherency-downgrades.c6,432
L1-D.coherency-downgrades.c7,504
L1-D.coherency-downgrades.c8,40
L1-D.coherency-downgrades.c9,32
L1-D.coherency-downgrades.node0,4165
L1-D.coherency-downgrades.node1,2297
L1-D.coherency-downgrades.total,6462
L1-D.coherency-invalidates.c0,59
L1-D.coherency-invalidates.c1,17
L1-D.coherency-invalidates.c10,171
L1-D.coherency-invalidates.c11,166
L1-D.coherency-invalidates.c2,12
L1-D.coherency-invalidates.c3,11
L1-D.coherency-invalidates.c4,17
L1-D.coherency-invalidates.c5,21
L1-D.coherency-invalidates.c6,9
L1-D.coherency-invalidates.c7,15
L1-D.coherency-invalidates.c8,177
L1-D.coherency-invalidates.c9,164
L1-D.coherency-invalidates.node0,777
L1-D.coherency-invalidates.node1,62
L1-D.coherency-invalidates.total,839
L1-D.coherency-upgrades.c0,31
L1-D.coherency-upgrades.c1,100
L1-D.coherency-upgrades.c10,9
L1-D.coherency-upgrades.c11,8
L1-D.coherency-upgrades.c2,103
L1-D.coherency-upgrades.c3,104
L1-D.coherency-upgrades.c4,108
L1-D.coherency-upgrades.c5,104
L1-D.coherency-upgrades.c6,102
L1-D.coherency-upgrades.c7,108
L1-D.coherency-upgrades.c8,6
L1-D.coherency-upgrades.c9,10
L1-D.coherency-upgrades.node0,371
L1-D.coherency-upgrades.node1,422
L1-D.coherency-upgrades.total,793
L1-D.coherency-writebacks.c0,14547
L1-D.coherency-writebacks.c1,14609
L1-D.coherency-writebacks.c10,14524
L1-D.coherency-writebacks.c11,14344
L1-D.coherency-writebacks.c2,14485
L1-D.coherency-writebacks.c3,14538
L1-D.coherency-writebacks.c4,14528
L1-D.coherency-writebacks.c5,14494
L1-D.coherency-writebacks.c6,14564
L1-D.coherency-writebacks.c7,14472
L1-D.coherency-writebacks.c8,14464
L1-D.coherency-writebacks.c9,14443
L1-D.coherency-writebacks.node0,115954
L1-D.coherency-writebacks.node1,58058
L1-D.coherency-writebacks.total,174012
L1-D.evict-E.c0,13638
L1-D.evict-E.c3,4
L1-D.evict-E.c6,14
L1-D.evict-E.node0,13642
L1-D.evict-E.node1,14
L1-D.evict-E.total,13656
L1-D.evict-M.c0,16119
L1-D.evict-M.c1,2956
L1-D.evict-M.c10,3185
L1-D.evict-M.c11,2902
L1-D.evict-M.c2,2822
L1-D.evict-M.c3,2805
L1-D.evict-M.c4,3133
L1-D.evict-M.c5,2782
L1-D.evict-M.c6,2923
L1-D.evict-M.c7,3011
L1-D.evict-M.c8,2906
L1-D.evict-M.c9,2935
L1-D.evict-M.node0,36630
L1-D.evict-M.node1,11849
L1-D.evict-M.total,48479
L1-D.evict-S.c0,1106
L1-D.evict-S.c1,415
L1-D.evict-S.c10,292
L1-D.evict-S.c11,375
L1-D.evict-S.c2,420
L1-D.evict-S.c3,426
L1-D.evict-S.c4,445
L1-D.evict-S.c5,359
L1-D.evict-S.c6,424
L1-D.evict-S.c7,371
L1-D.evict-S.c8,374
L1-D.evict-S.c9,378
L1-D.evict-S.node0,3786
L1-D.evict-S.node1,1599
L1-D.evict-S.total,5385
L1-D.load-misses-E,2
L1-D.load-misses-I.c0,31693
L1-D.load-misses-I.c1,12858
L1-D.load-misses-I.c10,12873
L1-D.load-misses-I.c11,12610
L1-D.load-misses-I.c2,12658
L1-D.load-misses-I.c3,12709
L1-D.load-misses-I.c4,12941
L1-D.load-misses-I.c5,12570
L1-D.load-misses-I.c6,12765
L1-D.load-misses-I.c7,12736
L1-D.load-misses-I.c8,12689
L1-D.load-misses-I.c9,12719
L1-D.load-misses-I.node0,120809
L1-D.load-misses-I.node1,51012
L1-D.load-misses-I.total,171821
L1-D.load-misses-S.c0,1
L1-D.load-misses-S.c10,3
L1-D.load-misses-S.c11,3
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.c5,1
L1-D.load-misses-S.c6,1
L1-D.load-misses-S.c8,2
L1-D.load-misses-S.c9,1
L1-D.load-misses-S.node0,11
L1-D.load-misses-S.node1,2
L1-D.load-misses-S.total,13
L1-D.load-misses.c0,31696
L1-D.load-misses.c1,12858
L1-D.load-misses.c10,12876
L1-D.load-misses.c11,12613
L1-D.load-misses.c2,12658
L1-D.load-misses.c3,12710
L1-D.load-misses.c4,12941
L1-D.load-misses.c5,12571
L1-D.load-misses.c6,12766
L1-D.load-misses.c7,12736
L1-D.load-misses.c8,12691
L1-D.load-misses.c9,12720
