metric,value
timestamp,2026-07-05T22:09:49
workload,PR
strategy,Packed
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/PR_W_Packed_12TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,5.2116
total_instructions,64486816
avg_ipc,0.4419
avg_ipc_p,0.2947
avg_ipc_e,0.7363
total_power_W,10.6534
dynamic_W,5.819
leakage_W,4.8
dram_W,0.0344
energy_J,0.055521
node0_reads,13996
node1_reads,13915
node0_pct,50.1451
node0_writes,60
node1_writes,79
dram_local,6306
dram_remote,6269
dram_remote_pct,49.8529
l1d_miss_pct,1.2253
l2_miss_pct,80.8369
l3_miss_pct,11.0572
l1d_mpki,2.1816
l2_mpki,1.7636
l3_mpki,0.195
l3_miss_count,12575
cpi_base_frac,0.6394
cpi_branch_frac,0.1781
cpi_l2_frac,0.0001
cpi_l3_frac,0.1563
cpi_dram_local_frac,0.0125
cpi_dram_remote_frac,0.0135
futex_wake_count,34
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.5837
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4679349
L1-D.access-mru-0.c1,744853
L1-D.access-mru-0.c10,727101
L1-D.access-mru-0.c11,797372
L1-D.access-mru-0.c2,777498
L1-D.access-mru-0.c3,773092
L1-D.access-mru-0.c4,725450
L1-D.access-mru-0.c5,757926
L1-D.access-mru-0.c6,754882
L1-D.access-mru-0.c7,733651
L1-D.access-mru-0.c8,794403
L1-D.access-mru-0.c9,787750
L1-D.access-mru-0.node0,9946701
L1-D.access-mru-0.node1,3106626
L1-D.access-mru-0.total,13053327
L1-D.access-mru-1.c0,177341
L1-D.access-mru-1.c1,7720
L1-D.access-mru-1.c10,8905
L1-D.access-mru-1.c11,7604
L1-D.access-mru-1.c2,7148
L1-D.access-mru-1.c3,7257
L1-D.access-mru-1.c4,7793
L1-D.access-mru-1.c5,7096
L1-D.access-mru-1.c6,6994
L1-D.access-mru-1.c7,7406
L1-D.access-mru-1.c8,8109
L1-D.access-mru-1.c9,7902
L1-D.access-mru-1.node0,228755
L1-D.access-mru-1.node1,32520
L1-D.access-mru-1.total,261275
L1-D.access-mru-2.c0,78087
L1-D.access-mru-2.c1,1643
L1-D.access-mru-2.c10,1783
L1-D.access-mru-2.c11,1495
L1-D.access-mru-2.c2,1456
L1-D.access-mru-2.c3,1475
L1-D.access-mru-2.c4,1545
L1-D.access-mru-2.c5,1545
L1-D.access-mru-2.c6,1451
L1-D.access-mru-2.c7,1544
L1-D.access-mru-2.c8,1587
L1-D.access-mru-2.c9,1598
L1-D.access-mru-2.node0,88746
L1-D.access-mru-2.node1,6463
L1-D.access-mru-2.total,95209
L1-D.access-mru-3.c0,17916
L1-D.access-mru-3.c1,738
L1-D.access-mru-3.c10,840
L1-D.access-mru-3.c11,687
L1-D.access-mru-3.c2,714
L1-D.access-mru-3.c3,686
L1-D.access-mru-3.c4,730
L1-D.access-mru-3.c5,722
L1-D.access-mru-3.c6,692
L1-D.access-mru-3.c7,776
L1-D.access-mru-3.c8,684
L1-D.access-mru-3.c9,702
L1-D.access-mru-3.node0,22974
L1-D.access-mru-3.node1,2913
L1-D.access-mru-3.total,25887
L1-D.access-mru-4.c0,4952
L1-D.access-mru-4.c1,262
L1-D.access-mru-4.c10,424
L1-D.access-mru-4.c11,288
L1-D.access-mru-4.c2,295
L1-D.access-mru-4.c3,318
L1-D.access-mru-4.c4,280
L1-D.access-mru-4.c5,278
L1-D.access-mru-4.c6,255
L1-D.access-mru-4.c7,263
L1-D.access-mru-4.c8,287
L1-D.access-mru-4.c9,301
L1-D.access-mru-4.node0,6903
L1-D.access-mru-4.node1,1300
L1-D.access-mru-4.total,8203
L1-D.access-mru-5.c0,2403
L1-D.access-mru-5.c1,96
L1-D.access-mru-5.c10,381
L1-D.access-mru-5.c11,76
L1-D.access-mru-5.c2,80
L1-D.access-mru-5.c3,81
L1-D.access-mru-5.c4,73
L1-D.access-mru-5.c5,74
L1-D.access-mru-5.c6,78
L1-D.access-mru-5.c7,91
L1-D.access-mru-5.c8,74
L1-D.access-mru-5.c9,78
L1-D.access-mru-5.node0,2976
L1-D.access-mru-5.node1,609
L1-D.access-mru-5.total,3585
L1-D.access-mru-6.c0,1402
L1-D.access-mru-6.c1,38
L1-D.access-mru-6.c10,174
L1-D.access-mru-6.c11,43
L1-D.access-mru-6.c2,40
L1-D.access-mru-6.c3,34
L1-D.access-mru-6.c4,31
L1-D.access-mru-6.c5,29
L1-D.access-mru-6.c6,42
L1-D.access-mru-6.c7,37
L1-D.access-mru-6.c8,39
L1-D.access-mru-6.c9,42
