metric,value
timestamp,2026-07-05T22:09:52
workload,TC
strategy,Packed
bench_class,W
num_threads,12
output_dir,Outputs/sizeW/12TH/TC_W_Packed_12TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,5.2562
total_instructions,65042004
avg_ipc,0.4431
avg_ipc_p,0.2941
avg_ipc_e,0.741
total_power_W,10.6519
dynamic_W,5.8169
leakage_W,4.8
dram_W,0.0351
energy_J,0.055989
node0_reads,14396
node1_reads,14291
node0_pct,50.183
node0_writes,81
node1_writes,75
dram_local,6369
dram_remote,6348
dram_remote_pct,49.9174
l1d_miss_pct,1.2245
l2_miss_pct,80.31
l3_miss_pct,11.1564
l1d_mpki,2.1822
l2_mpki,1.7525
l3_mpki,0.1955
l3_miss_count,12717
cpi_base_frac,0.6398
cpi_branch_frac,0.1796
cpi_l2_frac,0.0001
cpi_l3_frac,0.1546
cpi_dram_local_frac,0.0125
cpi_dram_remote_frac,0.0134
futex_wake_count,82
futex_wait_count,11
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,3.8167
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4669493
L1-D.access-mru-0.c1,756149
L1-D.access-mru-0.c10,744717
L1-D.access-mru-0.c11,806748
L1-D.access-mru-0.c2,788791
L1-D.access-mru-0.c3,784212
L1-D.access-mru-0.c4,739657
L1-D.access-mru-0.c5,770398
L1-D.access-mru-0.c6,766722
L1-D.access-mru-0.c7,743530
L1-D.access-mru-0.c8,805455
L1-D.access-mru-0.c9,796538
L1-D.access-mru-0.node0,10018952
L1-D.access-mru-0.node1,3153458
L1-D.access-mru-0.total,13172410
L1-D.access-mru-1.c0,189585
L1-D.access-mru-1.c1,9335
L1-D.access-mru-1.c10,9780
L1-D.access-mru-1.c11,8351
L1-D.access-mru-1.c2,7934
L1-D.access-mru-1.c3,7410
L1-D.access-mru-1.c4,8129
L1-D.access-mru-1.c5,7568
L1-D.access-mru-1.c6,7467
L1-D.access-mru-1.c7,8069
L1-D.access-mru-1.c8,8360
L1-D.access-mru-1.c9,8291
L1-D.access-mru-1.node0,245497
L1-D.access-mru-1.node1,34782
L1-D.access-mru-1.total,280279
L1-D.access-mru-2.c0,80173
L1-D.access-mru-2.c1,1743
L1-D.access-mru-2.c10,2003
L1-D.access-mru-2.c11,1645
L1-D.access-mru-2.c2,1524
L1-D.access-mru-2.c3,1586
L1-D.access-mru-2.c4,1573
L1-D.access-mru-2.c5,1587
L1-D.access-mru-2.c6,1557
L1-D.access-mru-2.c7,1740
L1-D.access-mru-2.c8,1802
L1-D.access-mru-2.c9,1838
L1-D.access-mru-2.node0,91483
L1-D.access-mru-2.node1,7288
L1-D.access-mru-2.total,98771
L1-D.access-mru-3.c0,18191
L1-D.access-mru-3.c1,825
L1-D.access-mru-3.c10,931
L1-D.access-mru-3.c11,834
L1-D.access-mru-3.c2,728
L1-D.access-mru-3.c3,783
L1-D.access-mru-3.c4,752
L1-D.access-mru-3.c5,753
L1-D.access-mru-3.c6,720
L1-D.access-mru-3.c7,872
L1-D.access-mru-3.c8,796
L1-D.access-mru-3.c9,892
L1-D.access-mru-3.node0,23624
L1-D.access-mru-3.node1,3453
L1-D.access-mru-3.total,27077
L1-D.access-mru-4.c0,4638
L1-D.access-mru-4.c1,404
L1-D.access-mru-4.c10,515
L1-D.access-mru-4.c11,396
L1-D.access-mru-4.c2,297
L1-D.access-mru-4.c3,308
L1-D.access-mru-4.c4,315
L1-D.access-mru-4.c5,295
L1-D.access-mru-4.c6,280
L1-D.access-mru-4.c7,392
L1-D.access-mru-4.c8,374
L1-D.access-mru-4.c9,438
L1-D.access-mru-4.node0,6929
L1-D.access-mru-4.node1,1723
L1-D.access-mru-4.total,8652
L1-D.access-mru-5.c0,2297
L1-D.access-mru-5.c1,166
L1-D.access-mru-5.c10,274
L1-D.access-mru-5.c11,136
L1-D.access-mru-5.c2,99
L1-D.access-mru-5.c3,92
L1-D.access-mru-5.c4,80
L1-D.access-mru-5.c5,77
L1-D.access-mru-5.c6,104
L1-D.access-mru-5.c7,162
L1-D.access-mru-5.c8,151
L1-D.access-mru-5.c9,150
L1-D.access-mru-5.node0,3077
L1-D.access-mru-5.node1,711
L1-D.access-mru-5.total,3788
L1-D.access-mru-6.c0,1454
L1-D.access-mru-6.c1,89
L1-D.access-mru-6.c10,207
L1-D.access-mru-6.c11,61
L1-D.access-mru-6.c2,55
L1-D.access-mru-6.c3,51
L1-D.access-mru-6.c4,53
L1-D.access-mru-6.c5,55
L1-D.access-mru-6.c6,40
L1-D.access-mru-6.c7,63
L1-D.access-mru-6.c8,56
L1-D.access-mru-6.c9,55
L1-D.access-mru-6.node0,1860
L1-D.access-mru-6.node1,379
L1-D.access-mru-6.total,2239
L1-D.access-mru-7.c0,1047
L1-D.access-mru-7.c1,46
L1-D.access-mru-7.c10,118
L1-D.access-mru-7.c11,28
L1-D.access-mru-7.c2,29
L1-D.access-mru-7.c3,27
L1-D.access-mru-7.c4,21
L1-D.access-mru-7.c5,22
L1-D.access-mru-7.c6,17
L1-D.access-mru-7.c7,23
L1-D.access-mru-7.c8,21
L1-D.access-mru-7.c9,26
