                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   20941513 |    3677321 |    3290420 |    3588358 |    3448886 |    3302364 |    3433717 |    3549847 |    3609706 |    3332486 |    3636131 |    3383085 |    3320105 |    2945147 |    2980202 |    3435863
  Cycles                             |   20424800 |   20424800 |   20424800 |   20424800 |   15318600 |   15318600 |   15318600 |   15318600 |   20424800 |   20424800 |   20424800 |   20424800 |   15318600 |   15318600 |   15318600 |   15318600
  IPC                                |       1.03 |       0.18 |       0.16 |       0.18 |       0.23 |       0.22 |       0.22 |       0.23 |       0.18 |       0.16 |       0.18 |       0.17 |       0.22 |       0.19 |       0.19 |       0.22
  Time (ns)                          |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200 |    5106200
  Idle time (ns)                     |       1208 |    4470374 |    4470745 |    4470802 |    4461054 |    4461113 |    4461267 |    4461324 |    4471625 |    4471586 |    4471758 |    4471700 |    4461942 |    4462082 |    4462135 |    4462273
  Idle time (%)                      |       0.0% |      87.5% |      87.6% |      87.6% |      87.4% |      87.4% |      87.4% |      87.4% |      87.6% |      87.6% |      87.6% |      87.6% |      87.4% |      87.4% |      87.4% |      87.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2274570 |    1168428 |    1007469 |    1132146 |    1083119 |    1022997 |    1076912 |    1124026 |    1141317 |    1026476 |    1150760 |    1050151 |    1029196 |     869881 |     886074 |    1076264
  num incorrect                      |     157984 |       4368 |       9692 |       5572 |       6130 |       8294 |       6258 |       4855 |       5269 |       9095 |       5104 |       8254 |       8206 |      13724 |      13110 |       6595
  misprediction rate                 |      6.49% |      0.37% |      0.95% |      0.49% |      0.56% |      0.80% |      0.58% |      0.43% |      0.46% |      0.88% |      0.44% |      0.78% |      0.79% |      1.55% |      1.46% |      0.61%
  mpki                               |       7.54 |       1.19 |       2.95 |       1.55 |       1.78 |       2.51 |       1.82 |       1.37 |       1.46 |       2.73 |       1.40 |       2.44 |       2.47 |       4.66 |       4.40 |       1.92
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2508718 |      46883 |      80049 |      53780 |      55978 |      67982 |      57837 |      48675 |      51489 |      76261 |      50892 |      67555 |      67545 |     102931 |      99573 |      59100
    num misses                       |        173 |         27 |         27 |         29 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         26 |         27
    miss rate                        |      0.01% |      0.06% |      0.03% |      0.05% |      0.05% |      0.04% |      0.05% |      0.06% |      0.05% |      0.04% |      0.05% |      0.04% |      0.04% |      0.03% |      0.03% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4892887 |     702010 |     662549 |     692819 |     672058 |     657409 |     670624 |     681721 |     695423 |     666732 |     698150 |     670285 |     660047 |     622402 |     627991 |     671674
    num misses                       |       2909 |        698 |        677 |        620 |        661 |        661 |        616 |        604 |        687 |        682 |        684 |        619 |        660 |        636 |        693 |        610
    miss rate                        |      0.06% |      0.10% |      0.10% |      0.09% |      0.10% |      0.10% |      0.09% |      0.09% |      0.10% |      0.10% |      0.10% |      0.09% |      0.10% |      0.10% |      0.11% |      0.09%
    mpki                             |       0.14 |       0.19 |       0.21 |       0.17 |       0.19 |       0.20 |       0.18 |       0.17 |       0.19 |       0.20 |       0.19 |       0.18 |       0.20 |       0.22 |       0.23 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       3082 |        725 |        704 |        649 |        688 |        688 |        643 |        631 |        714 |        709 |        711 |        646 |        687 |        663 |        719 |        637
    num misses                       |        684 |        171 |        182 |        175 |        166 |        164 |        168 |        166 |        181 |        183 |        173 |        172 |        169 |        166 |        170 |        167
    miss rate                        |     22.19% |     23.59% |     25.85% |     26.96% |     24.13% |     23.84% |     26.13% |     26.31% |     25.35% |     25.81% |     24.33% |     26.63% |     24.60% |     25.04% |     23.64% |     26.22%
    mpki                             |       0.03 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.06 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
