metric,value
timestamp,2026-07-05T22:08:31
workload,CC
strategy,HPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/CC_W_HPO_16TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7, 12, 13, 14, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,5.1489
total_instructions,71365276
avg_ipc,0.4567
avg_ipc_p,0.2731
avg_ipc_e,0.6404
total_power_W,11.9233
dynamic_W,6.29
leakage_W,5.6
dram_W,0.0333
energy_J,0.061392
node0_reads,13368
node1_reads,13319
node0_pct,50.0918
node0_writes,66
node1_writes,58
dram_local,6243
dram_remote,6149
dram_remote_pct,49.6207
l1d_miss_pct,1.0958
l2_miss_pct,80.6705
l3_miss_pct,11.1058
l1d_mpki,1.9382
l2_mpki,1.5635
l3_mpki,0.1736
l3_miss_count,12392
cpi_base_frac,0.6656
cpi_branch_frac,0.1724
cpi_l2_frac,0.0001
cpi_l3_frac,0.1376
cpi_dram_local_frac,0.0118
cpi_dram_remote_frac,0.0125
futex_wake_count,34
futex_wait_count,15
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.6253
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4569627
L1-D.access-mru-0.c1,676004
L1-D.access-mru-0.c10,666495
L1-D.access-mru-0.c11,644880
L1-D.access-mru-0.c12,634698
L1-D.access-mru-0.c13,594925
L1-D.access-mru-0.c14,599816
L1-D.access-mru-0.c15,645853
L1-D.access-mru-0.c2,632011
L1-D.access-mru-0.c3,663806
L1-D.access-mru-0.c4,646705
L1-D.access-mru-0.c5,632764
L1-D.access-mru-0.c6,645687
L1-D.access-mru-0.c7,654749
L1-D.access-mru-0.c8,667287
L1-D.access-mru-0.c9,636538
L1-D.access-mru-0.node0,9156648
L1-D.access-mru-0.node1,5055197
L1-D.access-mru-0.total,14211845
L1-D.access-mru-1.c0,176242
L1-D.access-mru-1.c1,5178
L1-D.access-mru-1.c10,5294
L1-D.access-mru-1.c11,5763
L1-D.access-mru-1.c12,5381
L1-D.access-mru-1.c13,6529
L1-D.access-mru-1.c14,6208
L1-D.access-mru-1.c15,5370
L1-D.access-mru-1.c2,5835
L1-D.access-mru-1.c3,5292
L1-D.access-mru-1.c4,5017
L1-D.access-mru-1.c5,5582
L1-D.access-mru-1.c6,5375
L1-D.access-mru-1.c7,5239
L1-D.access-mru-1.c8,5024
L1-D.access-mru-1.c9,5563
L1-D.access-mru-1.node0,214191
L1-D.access-mru-1.node1,44701
L1-D.access-mru-1.total,258892
L1-D.access-mru-2.c0,74343
L1-D.access-mru-2.c1,1074
L1-D.access-mru-2.c10,1003
L1-D.access-mru-2.c11,1100
L1-D.access-mru-2.c12,1073
L1-D.access-mru-2.c13,1275
L1-D.access-mru-2.c14,1112
L1-D.access-mru-2.c15,1024
L1-D.access-mru-2.c2,1164
L1-D.access-mru-2.c3,1046
L1-D.access-mru-2.c4,1013
L1-D.access-mru-2.c5,1062
L1-D.access-mru-2.c6,954
L1-D.access-mru-2.c7,1117
L1-D.access-mru-2.c8,1001
L1-D.access-mru-2.c9,1133
L1-D.access-mru-2.node0,81864
L1-D.access-mru-2.node1,8630
L1-D.access-mru-2.total,90494
L1-D.access-mru-3.c0,15999
L1-D.access-mru-3.c1,525
L1-D.access-mru-3.c10,544
L1-D.access-mru-3.c11,493
L1-D.access-mru-3.c12,532
L1-D.access-mru-3.c13,649
L1-D.access-mru-3.c14,512
L1-D.access-mru-3.c15,497
L1-D.access-mru-3.c2,491
L1-D.access-mru-3.c3,504
L1-D.access-mru-3.c4,491
L1-D.access-mru-3.c5,513
L1-D.access-mru-3.c6,527
L1-D.access-mru-3.c7,511
L1-D.access-mru-3.c8,504
L1-D.access-mru-3.c9,525
L1-D.access-mru-3.node0,19585
L1-D.access-mru-3.node1,4232
L1-D.access-mru-3.total,23817
L1-D.access-mru-4.c0,3920
L1-D.access-mru-4.c1,208
L1-D.access-mru-4.c10,213
L1-D.access-mru-4.c11,179
L1-D.access-mru-4.c12,191
L1-D.access-mru-4.c13,276
L1-D.access-mru-4.c14,196
L1-D.access-mru-4.c15,202
L1-D.access-mru-4.c2,216
L1-D.access-mru-4.c3,203
L1-D.access-mru-4.c4,227
L1-D.access-mru-4.c5,215
L1-D.access-mru-4.c6,190
L1-D.access-mru-4.c7,193
L1-D.access-mru-4.c8,203
L1-D.access-mru-4.c9,207
L1-D.access-mru-4.node0,5349
L1-D.access-mru-4.node1,1690
L1-D.access-mru-4.total,7039
L1-D.access-mru-5.c0,2121
L1-D.access-mru-5.c1,69
L1-D.access-mru-5.c10,48
L1-D.access-mru-5.c11,52
L1-D.access-mru-5.c12,57
L1-D.access-mru-5.c13,297
L1-D.access-mru-5.c14,53
L1-D.access-mru-5.c15,61
L1-D.access-mru-5.c2,56
L1-D.access-mru-5.c3,66
L1-D.access-mru-5.c4,50
L1-D.access-mru-5.c5,47
L1-D.access-mru-5.c6,62
L1-D.access-mru-5.c7,56
L1-D.access-mru-5.c8,49
L1-D.access-mru-5.c9,43
L1-D.access-mru-5.node0,2504
L1-D.access-mru-5.node1,683
L1-D.access-mru-5.total,3187
L1-D.access-mru-6.c0,1321
L1-D.access-mru-6.c1,39
L1-D.access-mru-6.c10,32
L1-D.access-mru-6.c11,23
L1-D.access-mru-6.c12,27
L1-D.access-mru-6.c13,148
L1-D.access-mru-6.c14,24
L1-D.access-mru-6.c15,19
L1-D.access-mru-6.c2,30
L1-D.access-mru-6.c3,38
L1-D.access-mru-6.c4,21
L1-D.access-mru-6.c5,17
L1-D.access-mru-6.c6,22
L1-D.access-mru-6.c7,29
L1-D.access-mru-6.c8,20
L1-D.access-mru-6.c9,18
L1-D.access-mru-6.node0,1521
L1-D.access-mru-6.node1,307
L1-D.access-mru-6.total,1828
L1-D.access-mru-7.c0,928
L1-D.access-mru-7.c1,56
L1-D.access-mru-7.c10,39
L1-D.access-mru-7.c11,24
L1-D.access-mru-7.c12,27
L1-D.access-mru-7.c13,50
L1-D.access-mru-7.c14,25
L1-D.access-mru-7.c15,45
L1-D.access-mru-7.c2,27
L1-D.access-mru-7.c3,48
L1-D.access-mru-7.c4,29
L1-D.access-mru-7.c5,24
L1-D.access-mru-7.c6,34
L1-D.access-mru-7.c7,42
L1-D.access-mru-7.c8,31
L1-D.access-mru-7.c9,32
L1-D.access-mru-7.node0,1185
L1-D.access-mru-7.node1,276
L1-D.access-mru-7.total,1461
L1-D.coherency-downgrades.c0,1513
L1-D.coherency-downgrades.c1,754
L1-D.coherency-downgrades.c10,76
L1-D.coherency-downgrades.c11,71
L1-D.coherency-downgrades.c12,52
