                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  139078294 |  140351609 |  141006464 |  139886426 |  137917457 |  138029573 |  136937480 |  137354974 |  142124475 |  142339024 |  142000920 |  143020636 |  140427058 |  139651990 |  141172185 |  139262535
  Cycles                             |   86624800 |   86624800 |   86624800 |   86624800 |   64968600 |   64968600 |   64968600 |   64968600 |   86624800 |   86624800 |   86624800 |   86624800 |   64968600 |   64968600 |   64968600 |   64968600
  IPC                                |       1.61 |       1.62 |       1.63 |       1.61 |       2.12 |       2.12 |       2.11 |       2.11 |       1.64 |       1.64 |       1.64 |       1.65 |       2.16 |       2.15 |       2.17 |       2.14
  Time (ns)                          |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200 |   21656200
  Idle time (ns)                     |    1437259 |    1504100 |    1231227 |    1182638 |    1157579 |    1064376 |     875363 |     784861 |     640741 |     555622 |     447208 |     347770 |     331254 |     268682 |     285732 |     491632
  Idle time (%)                      |       6.6% |       6.9% |       5.7% |       5.5% |       5.3% |       4.9% |       4.0% |       3.6% |       3.0% |       2.6% |       2.1% |       1.6% |       1.5% |       1.2% |       1.3% |       2.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   24861647 |   24979428 |   24890031 |   25174007 |   24563715 |   24717664 |   23920676 |   24384727 |   25721489 |   25938155 |   25047148 |   25585496 |   24746621 |   24616875 |   24773161 |   24660915
  num incorrect                      |      92947 |      92259 |      99788 |     104580 |     106057 |     108346 |     112300 |     111588 |     113205 |     112832 |     114547 |     111492 |     109277 |     106858 |     104445 |      97012
  misprediction rate                 |      0.37% |      0.37% |      0.40% |      0.41% |      0.43% |      0.44% |      0.47% |      0.46% |      0.44% |      0.43% |      0.46% |      0.43% |      0.44% |      0.43% |      0.42% |      0.39%
  mpki                               |       0.67 |       0.66 |       0.71 |       0.75 |       0.77 |       0.78 |       0.82 |       0.81 |       0.80 |       0.79 |       0.81 |       0.78 |       0.78 |       0.77 |       0.74 |       0.70
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5270246 |    5304285 |    5455306 |    5223728 |    5254166 |    5245075 |    5406360 |    5336179 |    5473735 |    5441999 |    5758998 |    5700944 |    5673290 |    5716108 |    5863184 |    5637737
    num misses                       |        220 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   50649032 |   51191055 |   51665158 |   50609090 |   50203252 |   50051218 |   50413195 |   50052443 |   51150868 |   50988341 |   51923851 |   51829566 |   51363975 |   51048639 |   51741550 |   50756494
    num misses                       |      49388 |      49486 |      50730 |      48434 |      48745 |      47824 |      48731 |      48975 |      49080 |      47987 |      50049 |      49794 |      50176 |      49010 |      50046 |      46347
    miss rate                        |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.09% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.09%
    mpki                             |       0.36 |       0.35 |       0.36 |       0.35 |       0.35 |       0.35 |       0.36 |       0.36 |       0.35 |       0.34 |       0.35 |       0.35 |       0.36 |       0.35 |       0.35 |       0.33
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      49608 |      49513 |      50757 |      48461 |      48772 |      47851 |      48758 |      49002 |      49107 |      48014 |      50076 |      49821 |      50203 |      49037 |      50073 |      46374
    num misses                       |       1481 |        901 |        840 |        980 |        663 |        871 |        782 |        859 |        688 |        809 |        789 |        849 |       1185 |        739 |        831 |        848
    miss rate                        |      2.99% |      1.82% |      1.65% |      2.02% |      1.36% |      1.82% |      1.60% |      1.75% |      1.40% |      1.68% |      1.58% |      1.70% |      2.36% |      1.51% |      1.66% |      1.83%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5270246 |    5304285 |    5455306 |    5223728 |    5254166 |    5245075 |    5406360 |    5336179 |    5473735 |    5441999 |    5758998 |    5700944 |    5673290 |    5716108 |    5863184 |    5637737
    num cache misses                 |      15502 |        950 |        626 |       7233 |      11351 |      11370 |      11214 |      11172 |        563 |       6840 |        513 |       2002 |      11438 |      11435 |      11141 |      11456
    miss rate                        |      0.29% |      0.02% |      0.01% |      0.14% |      0.22% |      0.22% |      0.21% |      0.21% |      0.01% |      0.13% |      0.01% |      0.04% |      0.20% |      0.20% |      0.19% |      0.20%
    mpki                             |       0.11 |       0.01 |       0.00 |       0.05 |       0.08 |       0.08 |       0.08 |       0.08 |       0.00 |       0.05 |       0.00 |       0.01 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   50649032 |   51191055 |   51665158 |   50609090 |   50203252 |   50051218 |   50413195 |   50052443 |   51150868 |   50988341 |   51923851 |   51829566 |   51363975 |   51048639 |   51741550 |   50756494
    num cache misses                 |   12705049 |   12977711 |   13207462 |   12717199 |   12627074 |   12629564 |   12803565 |   12529967 |   12709664 |   12557772 |   13082080 |   12888569 |   12862981 |   12700904 |   12916826 |   12595492
    miss rate                        |     25.08% |     25.35% |     25.56% |     25.13% |     25.15% |     25.23% |     25.40% |     25.03% |     24.85% |     24.63% |     25.19% |     24.87% |     25.04% |     24.88% |     24.96% |     24.82%
    mpki                             |      91.35 |      92.47 |      93.67 |      90.91 |      91.56 |      91.50 |      93.50 |      91.22 |      89.43 |      88.22 |      92.13 |      90.12 |      91.60 |      90.95 |      91.50 |      90.44
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12746396 |   13002696 |   13233199 |   12747928 |   12662194 |   12664985 |   12838731 |   12565902 |   12735215 |   12587935 |   13107765 |   12914691 |   12898298 |   12736738 |   12951663 |   12631740
    num cache misses                 |     440160 |     402082 |     401947 |     453535 |    2954628 |    2936497 |    2987386 |    2934415 |     394003 |     443939 |     457633 |     502089 |    2998162 |    2972483 |    3013268 |    2939325
    miss rate                        |      3.45% |      3.09% |      3.04% |      3.56% |     23.33% |     23.19% |     23.27% |     23.35% |      3.09% |      3.53% |      3.49% |      3.89% |     23.24% |     23.34% |     23.27% |     23.27%
    mpki                             |       3.16 |       2.86 |       2.85 |       3.24 |      21.42 |      21.27 |      21.82 |      21.36 |       2.77 |       3.12 |       3.22 |       3.51 |      21.35 |      21.28 |      21.34 |      21.11
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     468810 |     426730 |     427239 |     477537 |    2978540 |    2960776 |    3011482 |    2959269 |     420019 |     467457 |     483352 |     526735 |    3022248 |    2997023 |    3037083 |    2964288
    num cache misses                 |      68333 |      50573 |      52156 |      50849 |      41651 |      44588 |      45382 |      44175 |      54654 |      52911 |      54631 |      54178 |      45700 |      42960 |      42964 |      49702
