metric,value
timestamp,2026-07-05T19:43:22
workload,MG
strategy,Scatter
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/MG_W_Scatter_2TH_20260705_025404
cpu_map,"[0, 8]"
p_core_count,2
e_core_count,0
node0_threads,1
node1_threads,1
sim_time_ms,285.6572
total_instructions,1871687304
avg_ipc,0.819
avg_ipc_p,0.819
avg_ipc_e,0.0
total_power_W,4.8657
dynamic_W,3.2761
leakage_W,1.0
dram_W,0.5896
energy_J,1.389936
node0_reads,9996651
node1_reads,9996357
node0_pct,50.0007
node0_writes,4498035
node1_writes,4497490
dram_local,7116165
dram_remote,7115539
dram_remote_pct,49.9978
l1d_miss_pct,3.9381
l2_miss_pct,69.7513
l3_miss_pct,57.9411
l1d_mpki,18.8142
l2_mpki,13.1231
l3_mpki,7.6037
l3_miss_count,14231704
cpi_base_frac,0.478
cpi_branch_frac,0.0001
cpi_l2_frac,0.0
cpi_l3_frac,0.0607
cpi_dram_local_frac,0.2276
cpi_dram_remote_frac,0.2336
futex_wake_count,716
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7717
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,392091823
L1-D.access-mru-0.c1,393832925
L1-D.access-mru-0.node0,392091823
L1-D.access-mru-0.node1,393832925
L1-D.access-mru-0.total,785924748
L1-D.access-mru-1.c0,34453896
L1-D.access-mru-1.c1,34508753
L1-D.access-mru-1.node0,34453896
L1-D.access-mru-1.node1,34508753
L1-D.access-mru-1.total,68962649
L1-D.access-mru-2.c0,22879769
L1-D.access-mru-2.c1,22770116
L1-D.access-mru-2.node0,22879769
L1-D.access-mru-2.node1,22770116
L1-D.access-mru-2.total,45649885
L1-D.access-mru-3.c0,23884938
L1-D.access-mru-3.c1,23817600
L1-D.access-mru-3.node0,23884938
L1-D.access-mru-3.node1,23817600
L1-D.access-mru-3.total,47702538
L1-D.access-mru-4.c0,8386013
L1-D.access-mru-4.c1,8531687
L1-D.access-mru-4.node0,8386013
L1-D.access-mru-4.node1,8531687
L1-D.access-mru-4.total,16917700
L1-D.access-mru-5.c0,3605132
L1-D.access-mru-5.c1,3593130
L1-D.access-mru-5.node0,3605132
L1-D.access-mru-5.node1,3593130
L1-D.access-mru-5.total,7198262
L1-D.access-mru-6.c0,5074424
L1-D.access-mru-6.c1,5144360
L1-D.access-mru-6.node0,5074424
L1-D.access-mru-6.node1,5144360
L1-D.access-mru-6.total,10218784
L1-D.access-mru-7.c0,4234481
L1-D.access-mru-7.c1,4013418
L1-D.access-mru-7.node0,4234481
L1-D.access-mru-7.node1,4013418
L1-D.access-mru-7.total,8247899
L1-D.backinval-E.c0,6
L1-D.backinval-E.c1,9
L1-D.backinval-E.node0,6
L1-D.backinval-E.node1,9
L1-D.backinval-E.total,15
L1-D.backinval-M.c0,32925
L1-D.backinval-M.c1,31613
L1-D.backinval-M.node0,32925
L1-D.backinval-M.node1,31613
L1-D.backinval-M.total,64538
L1-D.backinval-S.c0,3018
L1-D.backinval-S.c1,2326
L1-D.backinval-S.node0,3018
L1-D.backinval-S.node1,2326
L1-D.backinval-S.total,5344
L1-D.coherency-downgrades.c0,3285
L1-D.coherency-downgrades.c1,2729
L1-D.coherency-downgrades.node0,3285
L1-D.coherency-downgrades.node1,2729
L1-D.coherency-downgrades.total,6014
L1-D.coherency-invalidates.c0,747
L1-D.coherency-invalidates.c1,1998
L1-D.coherency-invalidates.node0,747
L1-D.coherency-invalidates.node1,1998
L1-D.coherency-invalidates.total,2745
L1-D.coherency-writebacks.c0,549
L1-D.coherency-writebacks.c1,1095
L1-D.coherency-writebacks.node0,549
L1-D.coherency-writebacks.node1,1095
L1-D.coherency-writebacks.total,1644
L1-D.evict-E.c0,14414894
L1-D.evict-E.c1,14425242
L1-D.evict-E.node0,14414894
L1-D.evict-E.node1,14425242
L1-D.evict-E.total,28840136
L1-D.evict-M.c0,6484336
L1-D.evict-M.c1,6580130
L1-D.evict-M.node0,6484336
L1-D.evict-M.node1,6580130
L1-D.evict-M.total,13064466
L1-D.evict-S.c0,137051
L1-D.evict-S.c1,191561
L1-D.evict-S.node0,137051
L1-D.evict-S.node1,191561
L1-D.evict-S.total,328612
L1-D.load-misses-E.c0,63
L1-D.load-misses-E.c1,3
L1-D.load-misses-E.node0,63
L1-D.load-misses-E.node1,3
L1-D.load-misses-E.total,66
L1-D.load-misses-I.c0,17619051
L1-D.load-misses-I.c1,17744097
L1-D.load-misses-I.node0,17619051
L1-D.load-misses-I.node1,17744097
L1-D.load-misses-I.total,35363148
L1-D.load-misses-S.c0,42
L1-D.load-misses-S.c1,32
L1-D.load-misses-S.node0,42
L1-D.load-misses-S.node1,32
L1-D.load-misses-S.total,74
L1-D.load-misses.c0,17619156
L1-D.load-misses.c1,17744132
L1-D.load-misses.node0,17619156
L1-D.load-misses.node1,17744132
L1-D.load-misses.total,35363288
L1-D.loads-E.c0,193933985
L1-D.loads-E.c1,196201458
