                                     | Core 0     | Core 1    
  Instructions                       |   24866231 |    5932857
  Cycles                             |   20411600 |   20411600
  IPC                                |       1.22 |       0.29
  Time (ns)                          |    5102900 |    5102900
  Idle time (ns)                     |       1522 |    3406674
  Idle time (%)                      |       0.0% |      66.8%
Branch predictor stats               |            |           
  num correct                        |    3134120 |    1348313
  num incorrect                      |     198549 |      66780
  misprediction rate                 |      5.96% |      4.72%
  mpki                               |       7.98 |      11.26
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3439391 |     230937
    num misses                       |        173 |         26
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6208427 |    1844813
    num misses                       |       4447 |       3034
    miss rate                        |      0.07% |      0.16%
    mpki                             |       0.18 |       0.51
  L2 TLB                             |            |           
    num accesses                     |       4620 |       3060
    num misses                       |        710 |        260
    miss rate                        |     15.37% |      8.50%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3439391 |     230937
    num cache misses                 |       3086 |        212
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.12 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |    6208427 |    1844813
    num cache misses                 |     100142 |      74850
    miss rate                        |      1.61% |      4.06%
    mpki                             |       4.03 |      12.62
  Cache L2                           |            |           
    num cache accesses               |     105261 |      75064
    num cache misses                 |      73025 |      56233
    miss rate                        |     69.38% |     74.91%
    mpki                             |       2.94 |       9.48
  Cache L3                           |            |           
    num cache accesses               |      75177 |      56321
    num cache misses                 |      22618 |       4029
    miss rate                        |     30.09% |      7.15%
    mpki                             |       0.91 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26624 |          0
  average dram access latency (ns)   |      61.86 |        inf
  average dram queueing delay        |       0.61 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11818 |       1797
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
