metric,value
timestamp,2026-07-05T22:05:31
workload,BC
strategy,Packed
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/BC_W_Packed_8TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 4, 5, 6, 7]"
p_core_count,4
e_core_count,4
node0_threads,8
node1_threads,0
sim_time_ms,5.3963
total_instructions,48575744
avg_ipc,0.5372
avg_ipc_p,0.392
avg_ipc_e,0.6823
total_power_W,6.9924
dynamic_W,4.1598
leakage_W,2.8
dram_W,0.0327
energy_J,0.037733
node0_reads,27352
node1_reads,0
node0_pct,100.0
node0_writes,286
node1_writes,0
dram_local,14662
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.8556
l2_miss_pct,83.5178
l3_miss_pct,10.6824
l1d_mpki,3.3832
l2_mpki,2.8256
l3_mpki,0.3018
l3_miss_count,14662
cpi_base_frac,0.5328
cpi_branch_frac,0.1895
cpi_l2_frac,0.0
cpi_l3_frac,0.246
cpi_dram_local_frac,0.0316
cpi_dram_remote_frac,0.0
futex_wake_count,34
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.5669
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4734948
L1-D.access-mru-0.c1,820499
L1-D.access-mru-0.c2,825259
L1-D.access-mru-0.c3,850723
L1-D.access-mru-0.c4,808213
L1-D.access-mru-0.c5,815194
L1-D.access-mru-0.c6,755007
L1-D.access-mru-0.c7,768329
L1-D.access-mru-0.node0,10378172
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,10378172
L1-D.access-mru-1.c0,199904
L1-D.access-mru-1.c1,11641
L1-D.access-mru-1.c2,10810
L1-D.access-mru-1.c3,10727
L1-D.access-mru-1.c4,11141
L1-D.access-mru-1.c5,11506
L1-D.access-mru-1.c6,12203
L1-D.access-mru-1.c7,12223
L1-D.access-mru-1.node0,280155
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,280155
L1-D.access-mru-2.c0,79623
L1-D.access-mru-2.c1,2348
L1-D.access-mru-2.c2,2266
L1-D.access-mru-2.c3,2265
L1-D.access-mru-2.c4,2357
L1-D.access-mru-2.c5,2288
