metric,value
timestamp,2026-07-05T22:06:08
workload,BFS
strategy,HPO
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/BFS_W_HPO_8TH_20260705_025404
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,4.1574
total_instructions,48637061
avg_ipc,0.3656
avg_ipc_p,0.3656
avg_ipc_e,0.0
total_power_W,9.8919
dynamic_W,5.8495
leakage_W,4.0
dram_W,0.0423
energy_J,0.041124
node0_reads,13726
node1_reads,13662
node0_pct,50.1168
node0_writes,58
node1_writes,81
dram_local,6093
dram_remote,6067
dram_remote_pct,49.8931
l1d_miss_pct,1.4772
l2_miss_pct,79.3585
l3_miss_pct,11.743
l1d_mpki,2.6828
l2_mpki,2.1291
l3_mpki,0.25
l3_miss_count,12160
cpi_base_frac,0.5663
cpi_branch_frac,0.2056
cpi_l2_frac,0.0001
cpi_l3_frac,0.191
cpi_dram_local_frac,0.0178
cpi_dram_remote_frac,0.0192
futex_wake_count,34
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.5709
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4738356
L1-D.access-mru-0.c1,810337
L1-D.access-mru-0.c2,820322
L1-D.access-mru-0.c3,845951
L1-D.access-mru-0.c4,818196
L1-D.access-mru-0.c5,827184
L1-D.access-mru-0.c6,763168
L1-D.access-mru-0.c7,777398
L1-D.access-mru-0.node0,7214966
L1-D.access-mru-0.node1,3185946
L1-D.access-mru-0.total,10400912
L1-D.access-mru-1.c0,187314
L1-D.access-mru-1.c1,11177
L1-D.access-mru-1.c2,10971
L1-D.access-mru-1.c3,10360
L1-D.access-mru-1.c4,10737
L1-D.access-mru-1.c5,11029
L1-D.access-mru-1.c6,12376
L1-D.access-mru-1.c7,11440
L1-D.access-mru-1.node0,219822
L1-D.access-mru-1.node1,45582
L1-D.access-mru-1.total,265404
L1-D.access-mru-2.c0,78750
L1-D.access-mru-2.c1,2296
L1-D.access-mru-2.c2,2226
L1-D.access-mru-2.c3,2272
L1-D.access-mru-2.c4,2480
L1-D.access-mru-2.c5,2248
L1-D.access-mru-2.c6,2438
L1-D.access-mru-2.c7,2308
L1-D.access-mru-2.node0,85544
L1-D.access-mru-2.node1,9474
L1-D.access-mru-2.total,95018
L1-D.access-mru-3.c0,18005
L1-D.access-mru-3.c1,1099
L1-D.access-mru-3.c2,1176
L1-D.access-mru-3.c3,1118
L1-D.access-mru-3.c4,1147
L1-D.access-mru-3.c5,1124
L1-D.access-mru-3.c6,1307
L1-D.access-mru-3.c7,1134
L1-D.access-mru-3.node0,21398
L1-D.access-mru-3.node1,4712
L1-D.access-mru-3.total,26110
L1-D.access-mru-4.c0,5083
L1-D.access-mru-4.c1,503
L1-D.access-mru-4.c2,523
L1-D.access-mru-4.c3,475
L1-D.access-mru-4.c4,518
L1-D.access-mru-4.c5,492
L1-D.access-mru-4.c6,601
L1-D.access-mru-4.c7,488
L1-D.access-mru-4.node0,6584
L1-D.access-mru-4.node1,2099
L1-D.access-mru-4.total,8683
L1-D.access-mru-5.c0,2526
L1-D.access-mru-5.c1,160
L1-D.access-mru-5.c2,185
L1-D.access-mru-5.c3,194
L1-D.access-mru-5.c4,159
L1-D.access-mru-5.c5,154
L1-D.access-mru-5.c6,426
L1-D.access-mru-5.c7,174
L1-D.access-mru-5.node0,3065
L1-D.access-mru-5.node1,913
L1-D.access-mru-5.total,3978
L1-D.access-mru-6.c0,1394
L1-D.access-mru-6.c1,99
L1-D.access-mru-6.c2,94
L1-D.access-mru-6.c3,96
L1-D.access-mru-6.c4,88
L1-D.access-mru-6.c5,82
L1-D.access-mru-6.c6,222
L1-D.access-mru-6.c7,92
L1-D.access-mru-6.node0,1683
L1-D.access-mru-6.node1,484
L1-D.access-mru-6.total,2167
L1-D.access-mru-7.c0,1004
L1-D.access-mru-7.c1,54
L1-D.access-mru-7.c2,70
L1-D.access-mru-7.c3,84
L1-D.access-mru-7.c4,79
L1-D.access-mru-7.c5,66
L1-D.access-mru-7.c6,58
L1-D.access-mru-7.c7,44
L1-D.access-mru-7.node0,1212
L1-D.access-mru-7.node1,247
L1-D.access-mru-7.total,1459
L1-D.coherency-downgrades.c0,1183
L1-D.coherency-downgrades.c1,563
L1-D.coherency-downgrades.c2,503
L1-D.coherency-downgrades.c3,401
L1-D.coherency-downgrades.c4,62
L1-D.coherency-downgrades.c5,85
L1-D.coherency-downgrades.c6,64
L1-D.coherency-downgrades.c7,93
L1-D.coherency-downgrades.node0,2650
L1-D.coherency-downgrades.node1,304
L1-D.coherency-downgrades.total,2954
L1-D.coherency-invalidates.c0,80
L1-D.coherency-invalidates.c1,13
L1-D.coherency-invalidates.c2,21
L1-D.coherency-invalidates.c3,16
L1-D.coherency-invalidates.c4,179
L1-D.coherency-invalidates.c5,180
L1-D.coherency-invalidates.c6,173
L1-D.coherency-invalidates.c7,185
L1-D.coherency-invalidates.node0,130
L1-D.coherency-invalidates.node1,717
L1-D.coherency-invalidates.total,847
L1-D.coherency-upgrades.c0,27
L1-D.coherency-upgrades.c1,104
L1-D.coherency-upgrades.c2,105
L1-D.coherency-upgrades.c3,104
L1-D.coherency-upgrades.c4,16
L1-D.coherency-upgrades.c5,19
L1-D.coherency-upgrades.c6,19
L1-D.coherency-upgrades.c7,12
L1-D.coherency-upgrades.node0,340
L1-D.coherency-upgrades.node1,66
L1-D.coherency-upgrades.total,406
L1-D.coherency-writebacks.c0,20484
L1-D.coherency-writebacks.c1,20468
L1-D.coherency-writebacks.c2,20480
L1-D.coherency-writebacks.c3,20371
L1-D.coherency-writebacks.c4,20434
L1-D.coherency-writebacks.c5,20436
L1-D.coherency-writebacks.c6,20441
L1-D.coherency-writebacks.c7,20397
L1-D.coherency-writebacks.node0,81803
L1-D.coherency-writebacks.node1,81708
L1-D.coherency-writebacks.total,163511
L1-D.evict-E,13586
L1-D.evict-M.c0,17310
L1-D.evict-M.c1,4886
L1-D.evict-M.c2,4822
L1-D.evict-M.c3,4699
L1-D.evict-M.c4,4766
L1-D.evict-M.c5,4683
L1-D.evict-M.c6,4937
L1-D.evict-M.c7,5082
L1-D.evict-M.node0,31717
L1-D.evict-M.node1,19468
L1-D.evict-M.total,51185
L1-D.evict-S.c0,1192
L1-D.evict-S.c1,478
L1-D.evict-S.c2,446
L1-D.evict-S.c3,446
L1-D.evict-S.c4,489
L1-D.evict-S.c5,435
L1-D.evict-S.c6,415
L1-D.evict-S.c7,446
L1-D.evict-S.node0,2562
L1-D.evict-S.node1,1785
L1-D.evict-S.total,4347
L1-D.load-misses-E,3
L1-D.load-misses-I.c0,36729
L1-D.load-misses-I.c1,18247
L1-D.load-misses-I.c2,18220
L1-D.load-misses-I.c3,18044
L1-D.load-misses-I.c4,18253
L1-D.load-misses-I.c5,18118
L1-D.load-misses-I.c6,18315
L1-D.load-misses-I.c7,18395
L1-D.load-misses-I.node0,91240
L1-D.load-misses-I.node1,73081
L1-D.load-misses-I.total,164321
L1-D.load-misses-S.c0,5
L1-D.load-misses-S.c1,1
L1-D.load-misses-S.c3,1
L1-D.load-misses-S.c4,6
L1-D.load-misses-S.c5,3
L1-D.load-misses-S.c6,5
L1-D.load-misses-S.c7,4
L1-D.load-misses-S.node0,7
L1-D.load-misses-S.node1,18
L1-D.load-misses-S.total,25
L1-D.load-misses.c0,36737
L1-D.load-misses.c1,18248
L1-D.load-misses.c2,18220
L1-D.load-misses.c3,18045
L1-D.load-misses.c4,18259
L1-D.load-misses.c5,18121
L1-D.load-misses.c6,18320
L1-D.load-misses.c7,18399
L1-D.load-misses.node0,91250
L1-D.load-misses.node1,73099
L1-D.load-misses.total,164349
L1-D.loads-E.c0,167316
L1-D.loads-E.c1,206
L1-D.loads-E.c2,169
L1-D.loads-E.c3,155
L1-D.loads-E.c4,1
L1-D.loads-E.c7,4
L1-D.loads-E.node0,167846
L1-D.loads-E.node1,5
L1-D.loads-E.total,167851
L1-D.loads-I.c0,36729
L1-D.loads-I.c1,18247
L1-D.loads-I.c2,18220
L1-D.loads-I.c3,18044
L1-D.loads-I.c4,18253
L1-D.loads-I.c5,18118
L1-D.loads-I.c6,18315
L1-D.loads-I.c7,18395
L1-D.loads-I.node0,91240
L1-D.loads-I.node1,73081
L1-D.loads-I.total,164321
L1-D.loads-M.c0,2681234
L1-D.loads-M.c1,160669
L1-D.loads-M.c2,151180
L1-D.loads-M.c3,169767
L1-D.loads-M.c4,153002
L1-D.loads-M.c5,142849
L1-D.loads-M.c6,207639
L1-D.loads-M.c7,191834
L1-D.loads-M.node0,3162850
L1-D.loads-M.node1,695324
L1-D.loads-M.total,3858174
L1-D.loads-S.c0,736980
L1-D.loads-S.c1,571264
L1-D.loads-S.c2,594864
L1-D.loads-S.c3,611878
L1-D.loads-S.c4,591135
L1-D.loads-S.c5,615035
L1-D.loads-S.c6,461488
L1-D.loads-S.c7,493853
L1-D.loads-S.node0,2514986
L1-D.loads-S.node1,2161511
L1-D.loads-S.total,4676497
L1-D.loads-where-L1.c0,3585522
L1-D.loads-where-L1.c1,732138
L1-D.loads-where-L1.c2,746213
L1-D.loads-where-L1.c3,781799
