                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   21609298 |    3895349 |    3921615 |    4143934 |    3948834 |    3999179 |    3444145 |    3561228
  Cycles                             |   15884400 |   15884400 |   15884400 |   15884400 |   15884400 |   15884400 |   15884400 |   15884400
  IPC                                |       1.36 |       0.25 |       0.25 |       0.26 |       0.25 |       0.25 |       0.22 |       0.22
  Time (ns)                          |    5294800 |    5294800 |    5294800 |    5294800 |    5294800 |    5294800 |    5294800 |    5294800
  Idle time (ns)                     |       1973 |    4375284 |    4375260 |    4375530 |    4375301 |    4375620 |    4375570 |    4375482
  Idle time (%)                      |       0.0% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2446815 |    1148520 |    1165800 |    1258329 |    1172808 |    1197501 |     961571 |    1013417
  num incorrect                      |     164757 |      15051 |      14158 |      10884 |      13955 |      13094 |      21571 |      19458
  misprediction rate                 |      6.31% |      1.29% |      1.20% |      0.86% |      1.18% |      1.08% |      2.19% |      1.88%
  mpki                               |       7.62 |       3.86 |       3.61 |       2.63 |       3.53 |       3.27 |       6.26 |       5.46
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2812428 |     132033 |     123251 |     104028 |     128178 |     116756 |     170447 |     159330
    num misses                       |        169 |         24 |         26 |         26 |         26 |         25 |         26 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5081538 |     855486 |     855685 |     877646 |     861237 |     862685 |     809787 |     821724
    num misses                       |       2487 |       1158 |       1189 |       1105 |       1197 |       1190 |       1186 |       1153
    miss rate                        |      0.05% |      0.14% |      0.14% |      0.13% |      0.14% |      0.14% |      0.15% |      0.14%
    mpki                             |       0.12 |       0.30 |       0.30 |       0.27 |       0.30 |       0.30 |       0.34 |       0.32
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2656 |       1182 |       1215 |       1131 |       1223 |       1215 |       1212 |       1179
    num misses                       |        672 |        178 |        184 |        184 |        187 |        186 |        191 |        180
    miss rate                        |     25.30% |     15.06% |     15.14% |     16.27% |     15.29% |     15.31% |     15.76% |     15.27%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.06 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2812428 |     132033 |     123251 |     104028 |     128178 |     116756 |     170447 |     159330
    num cache misses                 |       3154 |        163 |        171 |        173 |        169 |        170 |        172 |        169
    miss rate                        |      0.11% |      0.12% |      0.14% |      0.17% |      0.13% |      0.15% |      0.10% |      0.11%
    mpki                             |       0.15 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5081538 |     855486 |     855685 |     877646 |     861237 |     862685 |     809787 |     821724
    num cache misses                 |      52830 |      26077 |      26135 |      25927 |      26159 |      26030 |      26301 |      26322
    miss rate                        |      1.04% |      3.05% |      3.05% |      2.95% |      3.04% |      3.02% |      3.25% |      3.20%
    mpki                             |       2.44 |       6.69 |       6.66 |       6.26 |       6.62 |       6.51 |       7.64 |       7.39
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58427 |      26504 |      26531 |      26312 |      27109 |      26951 |      27365 |      27342
    num cache misses                 |      44913 |      23763 |      23855 |      23700 |      23877 |      23779 |      23983 |      24006
    miss rate                        |     76.87% |     89.66% |     89.91% |     90.07% |     88.08% |     88.23% |     87.64% |     87.80%
    mpki                             |       2.08 |       6.10 |       6.08 |       5.72 |       6.05 |       5.95 |       6.96 |       6.74
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      47706 |      24047 |      24097 |      23933 |      24673 |      24533 |      24876 |      24864
    num cache misses                 |      32488 |      13494 |      13525 |      13446 |      14473 |      14159 |      14402 |      14323
    miss rate                        |     68.10% |     56.12% |     56.13% |     56.18% |     58.66% |     57.71% |     57.90% |     57.61%
    mpki                             |       1.50 |       3.46 |       3.45 |       3.24 |       3.67 |       3.54 |       4.18 |       4.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13662 |          0 |          0 |          0 |      13623 |          0 |          0 |          0
  average dram access latency (ns)   |      61.37 |        inf |        inf |        inf |      61.37 |        inf |        inf |        inf
  average dram queueing delay        |       0.12 |       0.00 |       0.00 |       0.00 |       0.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10623 |        239 |        295 |        286 |        184 |        212 |        201 |        226
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3927 |       3777 |       3845 |       3749 |       4634 |       4597 |       4669 |       4631
