metric,value
timestamp,2026-07-05T20:48:45
workload,CG
strategy,Scatter
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/CG_W_Scatter_8TH_20260705_025404
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,47.7286
total_instructions,2246953132
avg_ipc,1.4712
avg_ipc_p,1.4712
avg_ipc_e,0.0
total_power_W,27.6008
dynamic_W,23.5388
leakage_W,4.0
dram_W,0.0619
energy_J,1.317346
node0_reads,172361
node1_reads,172514
node0_pct,49.9778
node0_writes,83074
node1_writes,83089
dram_local,78125
dram_remote,78200
dram_remote_pct,50.024
l1d_miss_pct,26.4636
l2_miss_pct,21.2464
l3_miss_pct,0.3601
l1d_mpki,90.9243
l2_mpki,19.3181
l3_mpki,0.0696
l3_miss_count,156325
cpi_base_frac,0.8026
cpi_branch_frac,0.0233
cpi_l2_frac,0.0001
cpi_l3_frac,0.1677
cpi_dram_local_frac,0.0034
cpi_dram_remote_frac,0.003
futex_wake_count,2174
futex_wait_count,10
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,7.9409
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,64319998
L1-D.access-mru-0.c1,67629365
L1-D.access-mru-0.c2,68821252
L1-D.access-mru-0.c3,64402109
L1-D.access-mru-0.c4,63489054
L1-D.access-mru-0.c5,63691017
L1-D.access-mru-0.c6,64703978
L1-D.access-mru-0.c7,66832193
L1-D.access-mru-0.node0,261334282
L1-D.access-mru-0.node1,262554684
L1-D.access-mru-0.total,523888966
L1-D.access-mru-1.c0,4192432
L1-D.access-mru-1.c1,4122111
L1-D.access-mru-1.c2,4050058
L1-D.access-mru-1.c3,4099083
L1-D.access-mru-1.c4,4085828
L1-D.access-mru-1.c5,4149801
L1-D.access-mru-1.c6,4099338
L1-D.access-mru-1.c7,4114286
L1-D.access-mru-1.node0,16427656
L1-D.access-mru-1.node1,16485281
L1-D.access-mru-1.total,32912937
L1-D.access-mru-2.c0,1116114
L1-D.access-mru-2.c1,1091033
L1-D.access-mru-2.c2,1105819
L1-D.access-mru-2.c3,1086956
L1-D.access-mru-2.c4,1070897
L1-D.access-mru-2.c5,1123729
L1-D.access-mru-2.c6,1100136
L1-D.access-mru-2.c7,1074025
L1-D.access-mru-2.node0,4392966
L1-D.access-mru-2.node1,4375743
L1-D.access-mru-2.total,8768709
L1-D.access-mru-3.c0,1159904
L1-D.access-mru-3.c1,1090633
L1-D.access-mru-3.c2,1110597
L1-D.access-mru-3.c3,1084197
L1-D.access-mru-3.c4,1110574
L1-D.access-mru-3.c5,1096320
L1-D.access-mru-3.c6,1104799
L1-D.access-mru-3.c7,1104209
L1-D.access-mru-3.node0,4485874
L1-D.access-mru-3.node1,4375359
L1-D.access-mru-3.total,8861233
