                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   77354745 |   80873031 |   81267163 |   79411862 |   80722201 |   80426120 |   77591742 |   80784209
  Cycles                             |   89829200 |   89829200 |   89829200 |   89829200 |   89829200 |   89829200 |   89829200 |   89829200
  IPC                                |       0.86 |       0.90 |       0.90 |       0.88 |       0.90 |       0.90 |       0.86 |       0.90
  Time (ns)                          |   22457300 |   22457300 |   22457300 |   22457300 |   22457300 |   22457300 |   22457300 |   22457300
  Idle time (ns)                     |       1187 |     187251 |     187737 |     187996 |     224383 |     223315 |     226314 |     224482
  Idle time (%)                      |       0.0% |       0.8% |       0.8% |       0.8% |       1.0% |       1.0% |       1.0% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    7327158 |    8555707 |    8693148 |    8084029 |    8534746 |    8436902 |    7501228 |    8548241
  num incorrect                      |       5789 |        862 |        678 |        473 |        714 |       1885 |       1998 |       1307
  misprediction rate                 |      0.08% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.03% |      0.02%
  mpki                               |       0.07 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.03 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10302527 |   10301829 |   10316930 |   10318691 |   10319122 |   10334169 |   10344828 |   10432930
    num misses                       |        118 |         24 |         24 |         24 |         24 |         24 |         22 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   27711709 |   28226476 |   28287048 |   27951501 |   28146025 |   28082671 |   27599578 |   28185389
    num misses                       |    1288227 |    1283327 |    1286108 |    1285362 |    1282966 |    1283686 |    1286790 |    1282288
    miss rate                        |      4.65% |      4.55% |      4.55% |      4.60% |      4.56% |      4.57% |      4.66% |      4.55%
    mpki                             |      16.65 |      15.87 |      15.83 |      16.19 |      15.89 |      15.96 |      16.58 |      15.87
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1288345 |    1283351 |    1286132 |    1285386 |    1282990 |    1283710 |    1286812 |    1282312
    num misses                       |     524987 |     521550 |     523836 |     528483 |     523148 |     525245 |     526792 |     519484
    miss rate                        |     40.75% |     40.64% |     40.73% |     41.11% |     40.78% |     40.92% |     40.94% |     40.51%
    mpki                             |       6.79 |       6.45 |       6.45 |       6.65 |       6.48 |       6.53 |       6.79 |       6.43
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10302527 |   10301829 |   10316930 |   10318691 |   10319122 |   10334169 |   10344828 |   10432930
    num cache misses                 |       5050 |       1199 |       1186 |       1086 |       1151 |       1145 |       1148 |       1320
    miss rate                        |      0.05% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   27711709 |   28226476 |   28287048 |   27951501 |   28146025 |   28082671 |   27599578 |   28185389
    num cache misses                 |    1438678 |    1434913 |    1432228 |    1429800 |    1425804 |    1429324 |    1435647 |    1425306
    miss rate                        |      5.19% |      5.08% |      5.06% |      5.12% |      5.07% |      5.09% |      5.20% |      5.06%
    mpki                             |      18.60 |      17.74 |      17.62 |      18.00 |      17.66 |      17.77 |      18.50 |      17.64
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1521658 |    1522035 |    1514082 |    1507955 |    1504813 |    1511340 |    1517579 |    1504623
    num cache misses                 |     511399 |     505482 |     501706 |     498957 |     498046 |     498998 |     499270 |     500268
    miss rate                        |     33.61% |     33.21% |     33.14% |     33.09% |     33.10% |     33.02% |     32.90% |     33.25%
    mpki                             |       6.61 |       6.25 |       6.17 |       6.28 |       6.17 |       6.20 |       6.43 |       6.19
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     589258 |     590936 |     581915 |     575668 |     575771 |     579412 |     579396 |     577650
    num cache misses                 |     271968 |     262746 |     255898 |     264599 |     256304 |     258316 |     266512 |     265107
    miss rate                        |     46.15% |     44.46% |     43.98% |     45.96% |     44.51% |     44.58% |     46.00% |     45.89%
    mpki                             |       3.52 |       3.25 |       3.15 |       3.33 |       3.18 |       3.21 |       3.43 |       3.28
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     887111 |          0 |          0 |          0 |     885710 |          0 |          0 |          0
  average dram access latency (ns)   |     703.71 |        inf |        inf |        inf |     705.94 |        inf |        inf |        inf
  average dram queueing delay        |     642.46 |       0.00 |       0.00 |       0.00 |     644.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     129067 |     114113 |     112273 |     117840 |     110427 |     113120 |     120192 |     110994
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      84924 |      96793 |      92021 |      92442 |      91814 |      92631 |      94206 |      94500
