metric,value
timestamp,2026-07-05T21:34:44
workload,IS
strategy,Scatter
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/IS_W_Scatter_8TH_20260705_025404
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,22.4408
total_instructions,637144888
avg_ipc,0.8873
avg_ipc_p,0.8873
avg_ipc_e,0.0
total_power_W,18.6647
dynamic_W,14.1961
leakage_W,4.0
dram_W,0.4686
energy_J,0.418851
node0_reads,659637
node1_reads,658017
node0_pct,50.0615
node0_writes,231561
node1_writes,231237
dram_local,464472
dram_remote,466912
dram_remote_pct,50.131
l1d_miss_pct,1.622
l2_miss_pct,81.9328
l3_miss_pct,43.8412
l1d_mpki,4.0696
l2_mpki,3.3343
l3_mpki,1.4618
l3_miss_count,931384
cpi_base_frac,0.8297
cpi_branch_frac,0.0004
cpi_l2_frac,0.0
cpi_l3_frac,0.0435
cpi_dram_local_frac,0.0619
cpi_dram_remote_frac,0.0645
futex_wake_count,55
futex_wait_count,4
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.7201
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,23346917
L1-D.access-mru-0.c1,23445392
L1-D.access-mru-0.c2,24509230
L1-D.access-mru-0.c3,23597980
L1-D.access-mru-0.c4,24183174
L1-D.access-mru-0.c5,23528696
L1-D.access-mru-0.c6,24047570
L1-D.access-mru-0.c7,24187424
L1-D.access-mru-0.node0,96086891
L1-D.access-mru-0.node1,94759492
L1-D.access-mru-0.total,190846383
L1-D.access-mru-1.c0,1604669
L1-D.access-mru-1.c1,1595766
L1-D.access-mru-1.c2,1593303
L1-D.access-mru-1.c3,1598351
L1-D.access-mru-1.c4,1592520
L1-D.access-mru-1.c5,1589048
L1-D.access-mru-1.c6,1559429
L1-D.access-mru-1.c7,1564813
L1-D.access-mru-1.node0,6349921
L1-D.access-mru-1.node1,6347978
L1-D.access-mru-1.total,12697899
L1-D.access-mru-2.c0,384578
L1-D.access-mru-2.c1,384378
L1-D.access-mru-2.c2,380763
L1-D.access-mru-2.c3,383236
L1-D.access-mru-2.c4,385582
L1-D.access-mru-2.c5,366101
L1-D.access-mru-2.c6,364796
L1-D.access-mru-2.c7,367284
L1-D.access-mru-2.node0,1515719
L1-D.access-mru-2.node1,1500999
L1-D.access-mru-2.total,3016718
L1-D.access-mru-3.c0,268041
L1-D.access-mru-3.c1,255279
L1-D.access-mru-3.c2,242425
L1-D.access-mru-3.c3,234076
L1-D.access-mru-3.c4,216475
L1-D.access-mru-3.c5,220054
L1-D.access-mru-3.c6,220044
L1-D.access-mru-3.c7,228291
L1-D.access-mru-3.node0,946985
L1-D.access-mru-3.node1,937700
L1-D.access-mru-3.total,1884685
L1-D.access-mru-4.c0,151058
L1-D.access-mru-4.c1,149920
L1-D.access-mru-4.c2,150082
L1-D.access-mru-4.c3,153100
L1-D.access-mru-4.c4,154722
L1-D.access-mru-4.c5,150084
L1-D.access-mru-4.c6,145683
L1-D.access-mru-4.c7,143732
L1-D.access-mru-4.node0,601545
L1-D.access-mru-4.node1,596836
L1-D.access-mru-4.total,1198381
L1-D.access-mru-5.c0,105542
L1-D.access-mru-5.c1,105092
L1-D.access-mru-5.c2,105792
L1-D.access-mru-5.c3,105112
L1-D.access-mru-5.c4,105611
L1-D.access-mru-5.c5,104747
L1-D.access-mru-5.c6,104499
L1-D.access-mru-5.c7,105034
L1-D.access-mru-5.node0,421444
L1-D.access-mru-5.node1,419985
L1-D.access-mru-5.total,841429
