                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   76374303 |   77186751 |   83819192 |   78240454 |   81848316 |   77640912 |   80582456 |   81450983
  Cycles                             |   89763200 |   89763200 |   89763200 |   89763200 |   89763200 |   89763200 |   89763200 |   89763200
  IPC                                |       0.85 |       0.86 |       0.93 |       0.87 |       0.91 |       0.86 |       0.90 |       0.91
  Time (ns)                          |   22440800 |   22440800 |   22440800 |   22440800 |   22440800 |   22440800 |   22440800 |   22440800
  Idle time (ns)                     |       1147 |     185441 |     185932 |     186200 |     207591 |     207663 |     215456 |     211514
  Idle time (%)                      |       0.0% |       0.8% |       0.8% |       0.8% |       0.9% |       0.9% |       1.0% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    6997886 |    7321843 |    9561479 |    7685610 |    8919937 |    7500634 |    8488337 |    8774701
  num incorrect                      |       5661 |        618 |        663 |        678 |        796 |       1926 |       2073 |       2514
  misprediction rate                 |      0.08% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.02% |      0.03%
  mpki                               |       0.07 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10314070 |   10307021 |   10289388 |   10316106 |   10310879 |   10351208 |   10368137 |   10414320
    num misses                       |        119 |         24 |         24 |         22 |         24 |         24 |         24 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   27559115 |   27618707 |   28671557 |   27759718 |   28320179 |   27639442 |   28128679 |   28278338
    num misses                       |    1290606 |    1283223 |    1285025 |    1284870 |    1283006 |    1284020 |    1286058 |    1281898
    miss rate                        |      4.68% |      4.65% |      4.48% |      4.63% |      4.53% |      4.65% |      4.57% |      4.53%
    mpki                             |      16.90 |      16.62 |      15.33 |      16.42 |      15.68 |      16.54 |      15.96 |      15.74
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1290725 |    1283247 |    1285049 |    1284892 |    1283030 |    1284044 |    1286082 |    1281922
    num misses                       |     525936 |     521519 |     523236 |     528343 |     523418 |     525917 |     526969 |     519155
    miss rate                        |     40.75% |     40.64% |     40.72% |     41.12% |     40.80% |     40.96% |     40.97% |     40.50%
    mpki                             |       6.89 |       6.76 |       6.24 |       6.75 |       6.39 |       6.77 |       6.54 |       6.37
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10314070 |   10307021 |   10289388 |   10316106 |   10310879 |   10351208 |   10368137 |   10414320
    num cache misses                 |       5070 |       1145 |       1180 |       1228 |       1219 |       1187 |       1160 |       1302
    miss rate                        |      0.05% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.07 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   27559115 |   27618707 |   28671557 |   27759718 |   28320179 |   27639442 |   28128679 |   28278338
    num cache misses                 |    1442604 |    1431480 |    1434942 |    1434300 |    1429495 |    1430612 |    1436249 |    1428344
    miss rate                        |      5.23% |      5.18% |      5.00% |      5.17% |      5.05% |      5.18% |      5.11% |      5.05%
    mpki                             |      18.89 |      18.55 |      17.12 |      18.33 |      17.47 |      18.43 |      17.82 |      17.54
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1533422 |    1514991 |    1519772 |    1521393 |    1514645 |    1511936 |    1520521 |    1514506
    num cache misses                 |     517236 |     501672 |     504364 |     503742 |     501244 |     500609 |     500027 |     502966
    miss rate                        |     33.73% |     33.11% |     33.19% |     33.11% |     33.09% |     33.11% |     32.89% |     33.21%
    mpki                             |       6.77 |       6.50 |       6.02 |       6.44 |       6.12 |       6.45 |       6.21 |       6.18
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     602912 |     583649 |     587562 |     589059 |     585045 |     580249 |     582508 |     587123
    num cache misses                 |     284639 |     267377 |     253164 |     278716 |     262547 |     265732 |     261263 |     270920
    miss rate                        |     47.21% |     45.81% |     43.09% |     47.32% |     44.88% |     45.80% |     44.85% |     46.14%
    mpki                             |       3.73 |       3.46 |       3.02 |       3.56 |       3.21 |       3.42 |       3.24 |       3.33
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     891198 |          0 |          0 |          0 |     889254 |          0 |          0 |          0
  average dram access latency (ns)   |     693.45 |        inf |        inf |        inf |     695.02 |        inf |        inf |        inf
  average dram queueing delay        |     632.20 |       0.00 |       0.00 |       0.00 |     633.77 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     131309 |     124647 |     105078 |     121374 |     107486 |     120701 |     111578 |     109211
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      95897 |      91627 |      96629 |     102497 |     100930 |      93819 |      97213 |     102540
