                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   66293659 |   67172495 |   67062134 |   67010917 |   57207405 |   57229742 |   58638076 |   58366014 |   68123056 |   68446163 |   71708278 |   71954893
  Cycles                             |   32900210 |   32900210 |   32900210 |   32900210 |   24958780 |   24958780 |   24958780 |   24958780 |   32900210 |   32900210 |   32900210 |   32900210
  IPC                                |       2.01 |       2.04 |       2.04 |       2.04 |       2.29 |       2.29 |       2.35 |       2.34 |       2.07 |       2.08 |       2.18 |       2.19
  Time (ns)                          |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900 |   11344900
  Idle time (ns)                     |        394 |     289537 |     290741 |     291794 |     292777 |     293762 |     294746 |     295729 |     296713 |     297697 |     298682 |     299665
  Idle time (%)                      |       0.0% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6% |       2.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    3451803 |    4042460 |    4005985 |    3988851 |     720704 |     728171 |    1434806 |    1343808 |    4596296 |    4703957 |   23672439 |   23754638
  num incorrect                      |      11852 |       3767 |       3692 |       3750 |       3520 |       3674 |       3044 |       3120 |       3158 |       3149 |       1026 |       1030
  misprediction rate                 |      0.34% |      0.09% |      0.09% |      0.09% |      0.49% |      0.50% |      0.21% |      0.23% |      0.07% |      0.07% |      0.00% |      0.00%
  mpki                               |       0.18 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5469740 |    5275575 |    5275382 |    5275384 |    5275382 |    5275382 |    5211065 |    5211212 |    5211212 |    5211212 |      81881 |      81882
    num misses                       |        235 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         38 |         31 |         31
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.04% |      0.04%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   27966312 |   27605702 |   27586885 |   27578356 |   25945294 |   25948729 |   25955848 |   25910886 |   27536818 |   27590754 |   12180154 |   12221258
    num misses                       |       6745 |       1631 |       1188 |       3791 |       2808 |       3232 |       5978 |       1191 |       1347 |       1063 |         47 |         52
    miss rate                        |      0.02% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.10 |       0.02 |       0.02 |       0.06 |       0.05 |       0.06 |       0.10 |       0.02 |       0.02 |       0.02 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6980 |       1669 |       1226 |       3829 |       2846 |       3270 |       6016 |       1229 |       1385 |       1101 |         78 |         83
    num misses                       |        636 |        147 |        133 |        133 |        134 |        134 |        131 |        130 |        132 |        128 |         78 |         83
    miss rate                        |      9.11% |      8.81% |     10.85% |      3.47% |      4.71% |      4.10% |      2.18% |     10.58% |      9.53% |     11.63% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5469740 |    5275575 |    5275382 |    5275384 |    5275382 |    5275382 |    5211065 |    5211212 |    5211212 |    5211212 |      81881 |      81882
    num cache misses                 |      81654 |      57934 |      57931 |      57932 |      57972 |      58051 |      55740 |      55853 |      55774 |      55809 |        221 |        222
