                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  236786995 |   28033755 |   37817683 |   47602287 |   57379222 |   67164333 |   76949380 |   86733988 |   96526808 |  106310300 |  116096923 |  123784349
  Cycles                             |  283700620 |  283700620 |  283700620 |  283700620 |  215221160 |  215221160 |  215221160 |  215221160 |  283700620 |  283700620 |  283700620 |  283700620
  IPC                                |       0.83 |       0.10 |       0.13 |       0.17 |       0.27 |       0.31 |       0.36 |       0.40 |       0.34 |       0.37 |       0.41 |       0.44
  Time (ns)                          |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800 |   97827800
  Idle time (ns)                     |   20940260 |   89991702 |   87998238 |   86125753 |   82344488 |   80567789 |   78976347 |   77286337 |   77203228 |   75150008 |   72919417 |   71182956
  Idle time (%)                      |      21.4% |      92.0% |      90.0% |      88.0% |      84.2% |      82.4% |      80.7% |      79.0% |      78.9% |      76.8% |      74.5% |      72.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20949050 |    4014776 |    5411958 |    6809459 |    8204741 |    9602386 |   11000013 |   12397514 |   13797389 |   15194557 |   16592648 |   17390946
  num incorrect                      |       8781 |         81 |         90 |         90 |         89 |         89 |         89 |         89 |         89 |         90 |         90 |         90
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37800097 |        233 |        312 |        312 |        312 |        312 |        312 |        312 |        312 |        318 |        312 |        313
    num misses                       |        115 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      6.87% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.03% |      5.13% |      5.11%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   23589051 |    4804487 |    4804368 |    4804068 |    4802658 |    4802430 |    4802193 |    4801893 |    4802780 |    4802341 |    4802309 |    4502424
    num misses                       |   17862064 |    1366963 |    1379535 |    1375648 |    1384370 |    1383671 |    1377818 |    1383953 |    1386622 |    1386863 |    1387714 |    1380936
    miss rate                        |     75.72% |     28.45% |     28.71% |     28.64% |     28.83% |     28.81% |     28.69% |     28.82% |     28.87% |     28.88% |     28.90% |     30.67%
    mpki                             |      75.44 |      48.76 |      36.48 |      28.90 |      24.13 |      20.60 |      17.91 |      15.96 |      14.37 |      13.05 |      11.95 |      11.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   17862179 |    1366979 |    1379551 |    1375664 |    1384386 |    1383687 |    1377834 |    1383969 |    1386638 |    1386879 |    1387730 |    1380952
    num misses                       |   16632604 |    1264302 |    1285777 |    1283058 |    1296764 |    1295585 |    1285865 |    1300104 |    1303499 |    1300524 |    1304456 |    1293714
    miss rate                        |     93.12% |     92.49% |     93.20% |     93.27% |     93.67% |     93.63% |     93.33% |     93.94% |     94.00% |     93.77% |     94.00% |     93.68%
    mpki                             |      70.24 |      45.10 |      34.00 |      26.95 |      22.60 |      19.29 |      16.71 |      14.99 |      13.50 |      12.23 |      11.24 |      10.45
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37800097 |        233 |        312 |        312 |        312 |        312 |        312 |        312 |        312 |        318 |        312 |        313
    num cache misses                 |       3532 |         95 |         95 |         95 |         95 |         95 |         94 |         94 |         95 |         95 |         95 |         94
    miss rate                        |      0.01% |     40.77% |     30.45% |     30.45% |     30.45% |     30.45% |     30.13% |     30.13% |     30.45% |     29.87% |     30.45% |     30.03%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   23589051 |    4804487 |    4804368 |    4804068 |    4802658 |    4802430 |    4802193 |    4801893 |    4802780 |    4802341 |    4802309 |    4502424
    num cache misses                 |   18514179 |    1374485 |    1387003 |    1387283 |    1395242 |    1394441 |    1393159 |    1396099 |    1395805 |    1395084 |    1395536 |    1391227
    miss rate                        |     78.49% |     28.61% |     28.87% |     28.88% |     29.05% |     29.04% |     29.01% |     29.07% |     29.06% |     29.05% |     29.06% |     30.90%
    mpki                             |      78.19 |      49.03 |      36.68 |      29.14 |      24.32 |      20.76 |      18.10 |      16.10 |      14.46 |      13.12 |      12.02 |      11.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19269006 |    2198927 |    2240401 |    2232928 |    2258175 |    2260601 |    2258613 |    2311456 |    2361264 |    2276857 |    2268381 |    2246698
    num cache misses                 |   17617979 |    1297562 |    1322308 |    1319239 |    1372179 |    1369980 |    1366439 |    1373284 |    1343292 |    1341767 |    1341389 |    1328660
    miss rate                        |     91.43% |     59.01% |     59.02% |     59.08% |     60.76% |     60.60% |     60.50% |     59.41% |     56.89% |     58.93% |     59.13% |     59.14%
    mpki                             |      74.40 |      46.29 |      34.97 |      27.71 |      23.91 |      20.40 |      17.76 |      15.83 |      13.92 |      12.62 |      11.55 |      10.73
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   18369278 |    2121909 |    2175611 |    2164789 |    2235017 |    2236045 |    2231799 |    2288546 |    2308655 |    2223444 |    2214139 |    2184036
    num cache misses                 |   11465186 |     821839 |     851187 |     843223 |     862367 |     865599 |     864918 |     914990 |     964502 |     880085 |     871118 |     854468
    miss rate                        |     62.42% |     38.73% |     39.12% |     38.95% |     38.58% |     38.71% |     38.75% |     39.98% |     41.78% |     39.58% |     39.34% |     39.12%
    mpki                             |      48.42 |      29.32 |      22.51 |      17.71 |      15.03 |      12.89 |      11.24 |      10.55 |       9.99 |       8.28 |       7.50 |       6.90
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   14416983 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   14331160 |          0 |          0 |          0
  average dram access latency (ns)   |      62.26 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.33 |        inf |        inf |        inf
  average dram queueing delay        |       1.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       1.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     18.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |   10740962 |     821780 |     851150 |     843192 |     862336 |     811101 |     689777 |     601151 |     516586 |     592931 |     768377 |     841970
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196587 |          5 |          7 |          2 |          4 |      54471 |     175113 |     313817 |     447802 |     287111 |     102687 |      12451
