metric,value
timestamp,2026-07-09T21:40:23
workload,IS
strategy,AKARIN_a045_8
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/IS_S_AKARIN_a045_8_12TH_20260709_195844
cpu_map,"[12, 8, 9, 10, 7, 0, 15, 4, 13, 14, 11, 3]"
p_core_count,6
e_core_count,6
node0_threads,4
node1_threads,8
sim_time_ms,2.501
total_instructions,54121805
avg_ipc,1.1148
avg_ipc_p,0.459
avg_ipc_e,1.7706
total_power_W,13.7697
dynamic_W,9.492
leakage_W,4.2
dram_W,0.0777
energy_J,0.034438
node0_reads,14281
node1_reads,15630
node0_pct,47.745
node0_writes,369
node1_writes,301
dram_local,11090
dram_remote,19850
dram_remote_pct,64.1564
l1d_miss_pct,1.908
l2_miss_pct,51.8159
l3_miss_pct,23.8786
l1d_mpki,4.6204
l2_mpki,2.3941
l3_mpki,0.5717
l3_miss_count,30940
cpi_base_frac,0.8316
cpi_branch_frac,0.0104
cpi_l2_frac,0.0002
cpi_l3_frac,0.0935
cpi_dram_local_frac,0.0235
cpi_dram_remote_frac,0.0409
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,11.106
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,1510724
L1-D.access-mru-0.c1,1476116
L1-D.access-mru-0.c10,1182734
L1-D.access-mru-0.c11,1304374
L1-D.access-mru-0.c2,1296432
L1-D.access-mru-0.c3,1460444
L1-D.access-mru-0.c4,1273803
L1-D.access-mru-0.c5,1408502
L1-D.access-mru-0.c6,1399279
L1-D.access-mru-0.c7,1391349
L1-D.access-mru-0.c8,1198983
L1-D.access-mru-0.c9,1181561
L1-D.access-mru-0.node0,5378028
L1-D.access-mru-0.node1,10706273
L1-D.access-mru-0.total,16084301
L1-D.access-mru-1.c0,185429
L1-D.access-mru-1.c1,89737
L1-D.access-mru-1.c10,94065
L1-D.access-mru-1.c11,63835
L1-D.access-mru-1.c2,136364
L1-D.access-mru-1.c3,86182
L1-D.access-mru-1.c4,119495
L1-D.access-mru-1.c5,73420
L1-D.access-mru-1.c6,76130
L1-D.access-mru-1.c7,70738
L1-D.access-mru-1.c8,96757
L1-D.access-mru-1.c9,101722
L1-D.access-mru-1.node0,327488
L1-D.access-mru-1.node1,866386
L1-D.access-mru-1.total,1193874
L1-D.access-mru-2.c0,31857
L1-D.access-mru-2.c1,12234
L1-D.access-mru-2.c10,18349
L1-D.access-mru-2.c11,12129
L1-D.access-mru-2.c2,21522
L1-D.access-mru-2.c3,12340
L1-D.access-mru-2.c4,22262
L1-D.access-mru-2.c5,12878
L1-D.access-mru-2.c6,12831
L1-D.access-mru-2.c7,11550
L1-D.access-mru-2.c8,20048
L1-D.access-mru-2.c9,19584
L1-D.access-mru-2.node0,58819
L1-D.access-mru-2.node1,148765
L1-D.access-mru-2.total,207584
L1-D.access-mru-3.c0,11161
L1-D.access-mru-3.c1,7032
L1-D.access-mru-3.c10,8030
L1-D.access-mru-3.c11,7043
L1-D.access-mru-3.c2,7474
L1-D.access-mru-3.c3,6781
L1-D.access-mru-3.c4,8355
L1-D.access-mru-3.c5,6703
L1-D.access-mru-3.c6,6914
L1-D.access-mru-3.c7,6404
L1-D.access-mru-3.c8,7811
L1-D.access-mru-3.c9,7888
L1-D.access-mru-3.node0,28505
L1-D.access-mru-3.node1,63091
L1-D.access-mru-3.total,91596
L1-D.access-mru-4.c0,7111
L1-D.access-mru-4.c1,4265
L1-D.access-mru-4.c10,6047
L1-D.access-mru-4.c11,4694
L1-D.access-mru-4.c2,5852
L1-D.access-mru-4.c3,4310
L1-D.access-mru-4.c4,5633
L1-D.access-mru-4.c5,4163
L1-D.access-mru-4.c6,4154
L1-D.access-mru-4.c7,3900
L1-D.access-mru-4.c8,5463
L1-D.access-mru-4.c9,5894
L1-D.access-mru-4.node0,18390
L1-D.access-mru-4.node1,43096
L1-D.access-mru-4.total,61486
L1-D.access-mru-5.c0,5078
L1-D.access-mru-5.c1,2487
L1-D.access-mru-5.c10,4262
L1-D.access-mru-5.c11,2642
L1-D.access-mru-5.c2,4028
L1-D.access-mru-5.c3,2139
L1-D.access-mru-5.c4,4016
L1-D.access-mru-5.c5,2133
L1-D.access-mru-5.c6,2023
L1-D.access-mru-5.c7,2132
L1-D.access-mru-5.c8,3792
L1-D.access-mru-5.c9,4269
L1-D.access-mru-5.node0,10923
L1-D.access-mru-5.node1,28078
L1-D.access-mru-5.total,39001
L1-D.access-mru-6.c0,3324
L1-D.access-mru-6.c1,1197
L1-D.access-mru-6.c10,3114
L1-D.access-mru-6.c11,1538
L1-D.access-mru-6.c2,2792
L1-D.access-mru-6.c3,1092
L1-D.access-mru-6.c4,2740
L1-D.access-mru-6.c5,1134
L1-D.access-mru-6.c6,1131
L1-D.access-mru-6.c7,1183
L1-D.access-mru-6.c8,2818
L1-D.access-mru-6.c9,3101
