                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    5030224 |    5234687 |    4591161 |    5262128 |    4592098 |    5304587 |    5380069 |    5492196 |    5383953 |    6226835 |    5483380 |    5412705
  Cycles                             |    4649280 |    4649280 |    3527040 |    4649280 |    3527040 |    4649280 |    4649280 |    4649280 |    3527040 |    4649280 |    3527040 |    3527040
  IPC                                |       1.08 |       1.13 |       1.30 |       1.13 |       1.30 |       1.14 |       1.16 |       1.18 |       1.53 |       1.34 |       1.55 |       1.53
  Time (ns)                          |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200 |    1603200
  Idle time (ns)                     |        528 |     418147 |     420428 |     421171 |     421914 |     422628 |     423371 |     424084 |     424828 |     425541 |     426285 |     426998
  Idle time (%)                      |       0.0% |      26.1% |      26.2% |      26.3% |      26.3% |      26.4% |      26.4% |      26.5% |      26.5% |      26.5% |      26.6% |      26.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     470194 |     716334 |     534147 |     727852 |     591802 |     823823 |     847127 |     877972 |    1052021 |    1300373 |    1093090 |    1072402
  num incorrect                      |      21083 |       4876 |       4698 |       4780 |       4337 |       3996 |       3890 |       4016 |       3692 |       3553 |       3277 |       3235
  misprediction rate                 |      4.29% |      0.68% |      0.87% |      0.65% |      0.73% |      0.48% |      0.46% |      0.46% |      0.35% |      0.27% |      0.30% |      0.30%
  mpki                               |       4.19 |       0.93 |       1.02 |       0.91 |       0.94 |       0.75 |       0.72 |       0.73 |       0.69 |       0.57 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     522297 |     372905 |     372040 |     370937 |     348271 |     334694 |     334579 |     335417 |     238148 |     235514 |     231298 |     231774
    num misses                       |        299 |         35 |         35 |         35 |         35 |         35 |         35 |         35 |         28 |         35 |         35 |         31
    miss rate                        |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
    mpki                             |       0.06 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2471513 |    2062441 |    1969018 |    2060533 |    1872365 |    1927349 |    1935293 |    1954695 |    1594186 |    1703044 |    1585792 |    1577454
    num misses                       |       2030 |        366 |        398 |        429 |        473 |        400 |        353 |        299 |        215 |        201 |        193 |        119
    miss rate                        |      0.08% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.40 |       0.07 |       0.09 |       0.08 |       0.10 |       0.08 |       0.07 |       0.05 |       0.04 |       0.03 |       0.04 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2329 |        401 |        433 |        464 |        508 |        435 |        388 |        334 |        243 |        236 |        228 |        150
    num misses                       |        618 |        171 |        178 |        183 |        184 |        182 |        173 |        168 |        147 |        157 |        150 |        134
    miss rate                        |     26.53% |     42.64% |     41.11% |     39.44% |     36.22% |     41.84% |     44.59% |     50.30% |     60.49% |     66.53% |     65.79% |     89.33%
    mpki                             |       0.12 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     522297 |     372905 |     372040 |     370937 |     348271 |     334694 |     334579 |     335417 |     238148 |     235514 |     231298 |     231774
    num cache misses                 |       7283 |        443 |        435 |        436 |        438 |        437 |        432 |        434 |        381 |        434 |        432 |        381
    miss rate                        |      1.39% |      0.12% |      0.12% |      0.12% |      0.13% |      0.13% |      0.13% |      0.13% |      0.16% |      0.18% |      0.19% |      0.16%
