metric,value
timestamp,2026-07-09T20:03:10
workload,MG
strategy,HPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/MG_S_HPO_12TH_20260709_195844
cpu_map,"[0, 1, 2, 3, 8, 9, 10, 11, 4, 5, 6, 7]"
p_core_count,8
e_core_count,4
node0_threads,8
node1_threads,4
sim_time_ms,1.5956
total_instructions,64454323
avg_ipc,1.8192
avg_ipc_p,0.7735
avg_ipc_e,3.9106
total_power_W,23.1522
dynamic_W,18.2422
leakage_W,4.8
dram_W,0.11
energy_J,0.036942
node0_reads,13753
node1_reads,13638
node0_pct,50.2099
node0_writes,22
node1_writes,23
dram_local,3367
dram_remote,3378
dram_remote_pct,50.0815
l1d_miss_pct,1.8218
l2_miss_pct,31.3344
l3_miss_pct,6.0881
l1d_mpki,5.4856
l2_mpki,1.7189
l3_mpki,0.1046
l3_miss_count,6745
cpi_base_frac,0.86
cpi_branch_frac,0.0467
cpi_l2_frac,0.0001
cpi_l3_frac,0.0839
cpi_dram_local_frac,0.004
cpi_dram_remote_frac,0.0052
futex_wake_count,516
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,104.7681
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2219096
L1-D.access-mru-0.c1,1895587
L1-D.access-mru-0.c10,1601662
L1-D.access-mru-0.c11,1587613
L1-D.access-mru-0.c2,1882905
L1-D.access-mru-0.c3,1872338
L1-D.access-mru-0.c4,1732217
L1-D.access-mru-0.c5,1685764
L1-D.access-mru-0.c6,1686585
L1-D.access-mru-0.c7,1719190
L1-D.access-mru-0.c8,1600039
L1-D.access-mru-0.c9,1605616
L1-D.access-mru-0.node0,14264856
L1-D.access-mru-0.node1,6823756
L1-D.access-mru-0.total,21088612
L1-D.access-mru-1.c0,112361
L1-D.access-mru-1.c1,77254
L1-D.access-mru-1.c10,46811
L1-D.access-mru-1.c11,49862
L1-D.access-mru-1.c2,76755
L1-D.access-mru-1.c3,77995
