                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  3938554976 |    81986873 |    81526449 |    81804979 |    81768309 |    81297046 |    82066834 |    81351466 |    81196448 |    81869239 |    81140301 |    81437403
  Cycles                             |  4281772860 |  4281772860 |  4281772860 |  4281772860 |  3248241480 |  3248241480 |  3248241480 |  3248241480 |  4281772860 |  4281772860 |  4281772860 |  4281772860
  IPC                                |        0.92 |        0.02 |        0.02 |        0.02 |        0.03 |        0.03 |        0.03 |        0.03 |        0.02 |        0.02 |        0.02 |        0.02
  Time (ns)                          |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400 |  1476473400
  Idle time (ns)                     |    34901027 |  1444376884 |  1444554132 |  1444461272 |  1442388145 |  1442573193 |  1442266382 |  1442575813 |  1444477357 |  1444230340 |  1444507539 |  1444374684
  Idle time (%)                      |        2.4% |       97.8% |       97.8% |       97.8% |       97.7% |       97.7% |       97.7% |       97.7% |       97.8% |       97.8% |       97.8% |       97.8%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169637858 |     1586518 |     1577526 |     1584363 |     1586711 |     1576251 |     1584172 |     1577904 |     1575239 |     1583958 |     1574876 |     1575784
  num incorrect                      |     6041467 |       54049 |       53279 |       53545 |       54069 |       53956 |       52833 |       53736 |       53644 |       53522 |       53467 |       52985
  misprediction rate                 |       3.44% |       3.29% |       3.27% |       3.27% |       3.30% |       3.31% |       3.23% |       3.29% |       3.29% |       3.27% |       3.28% |       3.25%
  mpki                               |        1.53 |        0.66 |        0.65 |        0.65 |        0.66 |        0.66 |        0.64 |        0.66 |        0.66 |        0.65 |        0.66 |        0.65
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   773982073 |    12696466 |    12628011 |    12669628 |    12663419 |    12591175 |    12710384 |    12600308 |    12576352 |    12679764 |    12567764 |    12613235
    num misses                       |         199 |          47 |          43 |          47 |          48 |          48 |          43 |          48 |          47 |          48 |          48 |          44
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2331216036 |    51818729 |    51538772 |    51704421 |    51669886 |    51380488 |    51888864 |    51412654 |    51315839 |    51752583 |    51277677 |    51482899
    num misses                       |    14482853 |      553978 |      532907 |      534998 |      542283 |      538283 |      551464 |      534421 |      539270 |      552827 |      529093 |      532570
    miss rate                        |       0.62% |       1.07% |       1.03% |       1.03% |       1.05% |       1.05% |       1.06% |       1.04% |       1.05% |       1.07% |       1.03% |       1.03%
    mpki                             |        3.68 |        6.76 |        6.54 |        6.54 |        6.63 |        6.62 |        6.72 |        6.57 |        6.64 |        6.75 |        6.52 |        6.54
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    14483052 |      554025 |      532950 |      535045 |      542331 |      538331 |      551507 |      534469 |      539317 |      552875 |      529141 |      532614
    num misses                       |     6467485 |      282667 |      280197 |      280610 |      281267 |      279958 |      283259 |      279376 |      278582 |      282346 |      278137 |      280068
    miss rate                        |      44.66% |      51.02% |      52.57% |      52.45% |      51.86% |      52.00% |      51.36% |      52.27% |      51.65% |      51.07% |      52.56% |      52.58%
    mpki                             |        1.64 |        3.45 |        3.44 |        3.43 |        3.44 |        3.44 |        3.45 |        3.43 |        3.43 |        3.45 |        3.43 |        3.44
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   773982073 |    12696466 |    12628011 |    12669628 |    12663419 |    12591175 |    12710384 |    12600308 |    12576352 |    12679764 |    12567764 |    12613235
    num cache misses                 |     4233578 |        1792 |        1697 |        1795 |        4596 |        4565 |        4421 |        4553 |        1746 |        1728 |        1688 |        1628
    miss rate                        |       0.55% |       0.01% |       0.01% |       0.01% |       0.04% |       0.04% |       0.03% |       0.04% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        1.07 |        0.02 |        0.02 |        0.02 |        0.06 |        0.06 |        0.05 |        0.06 |        0.02 |        0.02 |        0.02 |        0.02
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  2331216036 |    51818729 |    51538772 |    51704421 |    51669886 |    51380488 |    51888864 |    51412654 |    51315839 |    51752583 |    51277677 |    51482899
    num cache misses                 |    20560131 |      523726 |      520805 |      522102 |      527354 |      524680 |      530840 |      524052 |      517930 |      524037 |      518400 |      520882
    miss rate                        |       0.88% |       1.01% |       1.01% |       1.01% |       1.02% |       1.02% |       1.02% |       1.02% |       1.01% |       1.01% |       1.01% |       1.01%
    mpki                             |        5.22 |        6.39 |        6.39 |        6.38 |        6.45 |        6.45 |        6.47 |        6.44 |        6.38 |        6.40 |        6.39 |        6.40
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    26014905 |      525953 |      522926 |      524313 |      532297 |      529500 |      535509 |      528975 |      519829 |      525918 |      520245 |      522651
    num cache misses                 |    12679894 |      376288 |      373464 |      375102 |      448749 |      446317 |      451875 |      446641 |      372585 |      376811 |      372344 |      374578
    miss rate                        |      48.74% |      71.54% |      71.42% |      71.54% |      84.30% |      84.29% |      84.38% |      84.44% |      71.67% |      71.65% |      71.57% |      71.67%
    mpki                             |        3.22 |        4.59 |        4.58 |        4.59 |        5.49 |        5.49 |        5.51 |        5.49 |        4.59 |        4.60 |        4.59 |        4.60
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    13901975 |      376722 |      373888 |      375517 |      449095 |      446572 |      452123 |      447006 |      372738 |      376964 |      372500 |      374719
    num cache misses                 |     4154312 |      147246 |      145427 |      146440 |      145659 |      144713 |      146629 |      144358 |      206173 |      208030 |      205059 |      206643
    miss rate                        |      29.88% |      39.09% |      38.90% |      39.00% |      32.43% |      32.41% |      32.43% |      32.29% |      55.31% |      55.19% |      55.05% |      55.15%
    mpki                             |        1.05 |        1.80 |        1.78 |        1.79 |        1.78 |        1.78 |        1.79 |        1.77 |        2.54 |        2.54 |        2.53 |        2.54
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     3470839 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |     3471339 |           0 |           0 |           0
  average dram access latency (ns)   |       61.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |       61.26 |         inf |         inf |         inf
  average dram queueing delay        |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     3380505 |       46320 |       45782 |       46047 |       46552 |       46078 |       46616 |       46062 |       41185 |       41279 |       40636 |       41409
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |       81181 |       64987 |       64276 |       64667 |       74750 |       74518 |       75762 |       74370 |       97727 |       99247 |       98052 |       98307
