metric,value
timestamp,2026-07-09T06:00:26
workload,dedup
strategy,EPO
bench_class,S
num_threads,12
output_dir,Outputs/sizeS/12TH/dedup_S_EPO_12TH_20260708_223450
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3]"
p_core_count,4
e_core_count,8
node0_threads,8
node1_threads,4
sim_time_ms,158.449
total_instructions,2282252032
avg_ipc,0.9308
avg_ipc_p,0.5837
avg_ipc_e,1.1043
total_power_W,11.624
dynamic_W,7.9824
leakage_W,3.6
dram_W,0.0416
energy_J,1.841817
node0_reads,411068
node1_reads,411071
node0_pct,49.9998
node0_writes,148538
node1_writes,148532
dram_local,216299
dram_remote,216321
dram_remote_pct,50.0025
l1d_miss_pct,1.2288
l2_miss_pct,7.1016
l3_miss_pct,64.7802
l1d_mpki,4.1205
l2_mpki,0.2926
l3_mpki,0.1896
l3_miss_count,432620
cpi_base_frac,0.8205
cpi_branch_frac,0.1571
cpi_l2_frac,0.0
cpi_l3_frac,0.0042
cpi_dram_local_frac,0.0083
cpi_dram_remote_frac,0.0098
futex_wake_count,459
futex_wait_count,403
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,47.4416
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,4483277
L1-D.access-mru-0.c1,3050113
L1-D.access-mru-0.c10,214232615
L1-D.access-mru-0.c11,2376282
L1-D.access-mru-0.c2,56188263
L1-D.access-mru-0.c3,56024470
L1-D.access-mru-0.c4,171794925
L1-D.access-mru-0.c5,31994643
L1-D.access-mru-0.c6,30927171
L1-D.access-mru-0.c7,28798610
L1-D.access-mru-0.c8,217070012
L1-D.access-mru-0.c9,205983898
L1-D.access-mru-0.node0,759408930
L1-D.access-mru-0.node1,263515349
L1-D.access-mru-0.total,1022924279
L1-D.access-mru-1.c0,86894
L1-D.access-mru-1.c1,415363
L1-D.access-mru-1.c10,13183204
L1-D.access-mru-1.c11,96080
L1-D.access-mru-1.c2,606216
L1-D.access-mru-1.c3,602783
L1-D.access-mru-1.c4,716733
L1-D.access-mru-1.c5,74055
L1-D.access-mru-1.c6,72803
L1-D.access-mru-1.c7,68842
L1-D.access-mru-1.c8,13855846
L1-D.access-mru-1.c9,12933063
L1-D.access-mru-1.node0,41779449
L1-D.access-mru-1.node1,932433
L1-D.access-mru-1.total,42711882
L1-D.access-mru-2.c0,9469
L1-D.access-mru-2.c1,295
L1-D.access-mru-2.c10,2194331
L1-D.access-mru-2.c11,19379
L1-D.access-mru-2.c2,13384
L1-D.access-mru-2.c3,13288
L1-D.access-mru-2.c4,10512
L1-D.access-mru-2.c5,4945
L1-D.access-mru-2.c6,5138
L1-D.access-mru-2.c7,6461
L1-D.access-mru-2.c8,2039995
L1-D.access-mru-2.c9,2151723
L1-D.access-mru-2.node0,6441864
L1-D.access-mru-2.node1,27056
L1-D.access-mru-2.total,6468920
L1-D.access-mru-3.c0,3843
L1-D.access-mru-3.c1,81
L1-D.access-mru-3.c10,760451
L1-D.access-mru-3.c11,4593
L1-D.access-mru-3.c2,2748
L1-D.access-mru-3.c3,2860
