metric,value
timestamp,2026-07-09T21:09:26
workload,FT
strategy,Scatter
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/FT_S_Scatter_16TH_20260709_195844
cpu_map,"[0, 8, 1, 9, 2, 10, 3, 11, 4, 12, 5, 13, 6, 14, 7, 15]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,8.8338
total_instructions,850936310
avg_ipc,3.7698
avg_ipc_p,1.5005
avg_ipc_e,6.0391
total_power_W,41.7483
dynamic_W,36.0075
leakage_W,5.6
dram_W,0.1409
energy_J,0.368796
node0_reads,97275
node1_reads,97124
node0_pct,50.0388
node0_writes,1
node1_writes,30
dram_local,2991
dram_remote,2959
dram_remote_pct,49.7311
l1d_miss_pct,8.3781
l2_miss_pct,5.5508
l3_miss_pct,0.9518
l1d_mpki,13.2355
l2_mpki,0.7347
l3_mpki,0.007
l3_miss_count,5950
cpi_base_frac,0.9298
cpi_branch_frac,0.0599
cpi_l2_frac,0.0009
cpi_l3_frac,0.0078
cpi_dram_local_frac,0.0003
cpi_dram_remote_frac,0.0012
futex_wake_count,84
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.4171
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,14418138
L1-D.access-mru-0.c1,14224337
L1-D.access-mru-0.c10,14281577
L1-D.access-mru-0.c11,14279400
L1-D.access-mru-0.c12,12170843
L1-D.access-mru-0.c13,12172317
L1-D.access-mru-0.c14,12168515
L1-D.access-mru-0.c15,12172322
L1-D.access-mru-0.c2,14223423
L1-D.access-mru-0.c3,14218390
L1-D.access-mru-0.c4,12130382
L1-D.access-mru-0.c5,12135728
L1-D.access-mru-0.c6,12136859
L1-D.access-mru-0.c7,12135666
L1-D.access-mru-0.c8,14280740
L1-D.access-mru-0.c9,14215531
L1-D.access-mru-0.node0,105810477
L1-D.access-mru-0.node1,105553691
L1-D.access-mru-0.total,211364168
L1-D.access-mru-1.c0,202444
L1-D.access-mru-1.c1,150767
L1-D.access-mru-1.c10,141588
L1-D.access-mru-1.c11,143996
L1-D.access-mru-1.c12,308511
L1-D.access-mru-1.c13,310372
L1-D.access-mru-1.c14,310528
L1-D.access-mru-1.c15,309238
L1-D.access-mru-1.c2,151480
L1-D.access-mru-1.c3,151470
L1-D.access-mru-1.c4,304079
L1-D.access-mru-1.c5,301165
L1-D.access-mru-1.c6,299824
L1-D.access-mru-1.c7,300349
L1-D.access-mru-1.c8,141796
L1-D.access-mru-1.c9,140571
L1-D.access-mru-1.node0,1860250
L1-D.access-mru-1.node1,1807928
L1-D.access-mru-1.total,3668178
L1-D.access-mru-2.c0,34763
L1-D.access-mru-2.c1,21729
L1-D.access-mru-2.c10,21651
L1-D.access-mru-2.c11,21584
L1-D.access-mru-2.c12,52222
L1-D.access-mru-2.c13,52225
L1-D.access-mru-2.c14,52140
L1-D.access-mru-2.c15,52058
L1-D.access-mru-2.c2,21627
L1-D.access-mru-2.c3,21542
L1-D.access-mru-2.c4,51903
L1-D.access-mru-2.c5,51497
L1-D.access-mru-2.c6,51644
L1-D.access-mru-2.c7,51747
L1-D.access-mru-2.c8,21513
L1-D.access-mru-2.c9,22165
L1-D.access-mru-2.node0,307463
L1-D.access-mru-2.node1,294547
L1-D.access-mru-2.total,602010
L1-D.access-mru-3.c0,12025
L1-D.access-mru-3.c1,6792
L1-D.access-mru-3.c10,7195
L1-D.access-mru-3.c11,6694
L1-D.access-mru-3.c12,9114
L1-D.access-mru-3.c13,9161
L1-D.access-mru-3.c14,9198
L1-D.access-mru-3.c15,9164
L1-D.access-mru-3.c2,7012
L1-D.access-mru-3.c3,7116
L1-D.access-mru-3.c4,9189
L1-D.access-mru-3.c5,9142
L1-D.access-mru-3.c6,9193
L1-D.access-mru-3.c7,9121
L1-D.access-mru-3.c8,6726
L1-D.access-mru-3.c9,6640
L1-D.access-mru-3.node0,69652
L1-D.access-mru-3.node1,63830
L1-D.access-mru-3.total,133482
L1-D.access-mru-4.c0,26842
L1-D.access-mru-4.c1,25053
L1-D.access-mru-4.c10,24762
L1-D.access-mru-4.c11,24874
L1-D.access-mru-4.c12,8161
L1-D.access-mru-4.c13,8155
L1-D.access-mru-4.c14,8102
L1-D.access-mru-4.c15,8147
L1-D.access-mru-4.c2,24664
L1-D.access-mru-4.c3,24782
L1-D.access-mru-4.c4,8143
L1-D.access-mru-4.c5,8066
L1-D.access-mru-4.c6,8085
L1-D.access-mru-4.c7,8100
L1-D.access-mru-4.c8,24922
L1-D.access-mru-4.c9,25171
L1-D.access-mru-4.node0,133681
L1-D.access-mru-4.node1,132348
L1-D.access-mru-4.total,266029
L1-D.access-mru-5.c0,73531
L1-D.access-mru-5.c1,76752
L1-D.access-mru-5.c10,74923
L1-D.access-mru-5.c11,74431
L1-D.access-mru-5.c12,4015
L1-D.access-mru-5.c13,4044
L1-D.access-mru-5.c14,4018
L1-D.access-mru-5.c15,4037
L1-D.access-mru-5.c2,74884
L1-D.access-mru-5.c3,74692
L1-D.access-mru-5.c4,4038
L1-D.access-mru-5.c5,4034
L1-D.access-mru-5.c6,4048
L1-D.access-mru-5.c7,4052
L1-D.access-mru-5.c8,74564
L1-D.access-mru-5.c9,77008
L1-D.access-mru-5.node0,314021
L1-D.access-mru-5.node1,319050
L1-D.access-mru-5.total,633071
L1-D.access-mru-6.c0,91103
L1-D.access-mru-6.c1,85314
L1-D.access-mru-6.c10,87556
L1-D.access-mru-6.c11,89418
L1-D.access-mru-6.c12,29315
L1-D.access-mru-6.c13,29386
L1-D.access-mru-6.c14,29372
L1-D.access-mru-6.c15,29366
L1-D.access-mru-6.c2,87544
L1-D.access-mru-6.c3,87731
L1-D.access-mru-6.c4,29336
L1-D.access-mru-6.c5,29390
L1-D.access-mru-6.c6,29369
L1-D.access-mru-6.c7,29357
L1-D.access-mru-6.c8,89174
L1-D.access-mru-6.c9,85297
L1-D.access-mru-6.node0,472769
L1-D.access-mru-6.node1,465259
L1-D.access-mru-6.total,938028
L1-D.access-mru-7.c0,145907
L1-D.access-mru-7.c1,146964
L1-D.access-mru-7.c10,147939
L1-D.access-mru-7.c11,145716
L1-D.access-mru-7.c12,57727
L1-D.access-mru-7.c13,57755
L1-D.access-mru-7.c14,57747
L1-D.access-mru-7.c15,57758
L1-D.access-mru-7.c2,148029
L1-D.access-mru-7.c3,147876
L1-D.access-mru-7.c4,57777
L1-D.access-mru-7.c5,57804
L1-D.access-mru-7.c6,57859
L1-D.access-mru-7.c7,57873
L1-D.access-mru-7.c8,145234
L1-D.access-mru-7.c9,146803
L1-D.access-mru-7.node0,818219
L1-D.access-mru-7.node1,818549
L1-D.access-mru-7.total,1636768
L1-D.backinval-M.c12,1
L1-D.backinval-M.c13,1
L1-D.backinval-M.c14,1
L1-D.backinval-M.c15,1
L1-D.backinval-M.node0,2
L1-D.backinval-M.node1,2
L1-D.backinval-M.total,4
L1-D.backinval-S.c12,7
L1-D.backinval-S.c13,7
L1-D.backinval-S.c14,7
L1-D.backinval-S.c15,7
L1-D.backinval-S.c4,7
L1-D.backinval-S.c5,7
L1-D.backinval-S.c6,7
L1-D.backinval-S.c7,7
L1-D.backinval-S.node0,28
L1-D.backinval-S.node1,28
L1-D.backinval-S.total,56
L1-D.coherency-downgrades.c0,3279
L1-D.coherency-downgrades.c1,1178
