                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3783580 |    3776525 |    4170356 |    3717324 |    3729476 |    4249206 |    4197034 |    4158578 |    4503964 |    4448391 |    3959256 |    3959208 |    3937973 |    3931891 |    4464444 |    4350852
  Cycles                             |    3095400 |    3095400 |    4080300 |    3095400 |    3095400 |    4080300 |    4080300 |    4080300 |    4080300 |    4080300 |    3095400 |    3095400 |    3095400 |    3095400 |    4080300 |    4080300
  IPC                                |       1.22 |       1.22 |       1.02 |       1.20 |       1.20 |       1.04 |       1.03 |       1.02 |       1.10 |       1.09 |       1.28 |       1.28 |       1.27 |       1.27 |       1.09 |       1.07
  Time (ns)                          |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000 |    1407000
  Idle time (ns)                     |        363 |     456235 |     458522 |     459302 |     460051 |     460825 |     461581 |     462336 |     463110 |     463844 |     464599 |     465376 |     466110 |     466829 |     467631 |     468362
  Idle time (%)                      |       0.0% |      32.4% |      32.6% |      32.6% |      32.7% |      32.8% |      32.8% |      32.9% |      32.9% |      33.0% |      33.0% |      33.1% |      33.1% |      33.2% |      33.2% |      33.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     333787 |     562820 |     681137 |     552864 |     563802 |     714589 |     700177 |     689325 |     804324 |     796392 |     657606 |     657611 |     650913 |     649002 |     802144 |     768993
  num incorrect                      |      20711 |       4148 |       4181 |       4112 |       3843 |       3835 |       3881 |       3785 |       3561 |       3316 |       3234 |       3171 |       3315 |       3282 |       3256 |       3279
  misprediction rate                 |      5.84% |      0.73% |      0.61% |      0.74% |      0.68% |      0.53% |      0.55% |      0.55% |      0.44% |      0.41% |      0.49% |      0.48% |      0.51% |      0.50% |      0.40% |      0.42%
  mpki                               |       5.47 |       1.10 |       1.00 |       1.11 |       1.03 |       0.90 |       0.92 |       0.91 |       0.79 |       0.75 |       0.82 |       0.80 |       0.84 |       0.83 |       0.73 |       0.75
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     418676 |     250357 |     246323 |     245139 |     242270 |     241906 |     241740 |     241390 |     235563 |     230153 |     230562 |     230539 |     230976 |     231026 |     230735 |     231544
    num misses                       |        304 |         35 |         35 |         28 |         35 |         35 |         35 |         28 |         35 |         35 |         28 |         28 |         28 |         30 |         28 |         31
    miss rate                        |      0.07% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1939586 |    1411320 |    1457536 |    1391647 |    1380413 |    1452248 |    1443712 |    1438213 |    1460288 |    1439857 |    1368342 |    1368490 |    1367084 |    1367056 |    1439932 |    1425786
    num misses                       |       3515 |        233 |        254 |        242 |        327 |        286 |        252 |        256 |        212 |        287 |        176 |        177 |        243 |        161 |        212 |        145
    miss rate                        |      0.18% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.93 |       0.06 |       0.06 |       0.07 |       0.09 |       0.07 |       0.06 |       0.06 |       0.05 |       0.06 |       0.04 |       0.04 |       0.06 |       0.04 |       0.05 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       3819 |        268 |        289 |        270 |        362 |        321 |        287 |        284 |        247 |        322 |        204 |        205 |        271 |        191 |        240 |        176
    num misses                       |        651 |        159 |        156 |        154 |        168 |        166 |        164 |        153 |        161 |        159 |        144 |        140 |        144 |        142 |        139 |        138
    miss rate                        |     17.05% |     59.33% |     53.98% |     57.04% |     46.41% |     51.71% |     57.14% |     53.87% |     65.18% |     49.38% |     70.59% |     68.29% |     53.14% |     74.35% |     57.92% |     78.41%
    mpki                             |       0.17 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     418676 |     250357 |     246323 |     245139 |     242270 |     241906 |     241740 |     241390 |     235563 |     230153 |     230562 |     230539 |     230976 |     231026 |     230735 |     231544
    num cache misses                 |       7289 |        452 |        456 |        375 |        457 |        454 |        463 |        373 |        464 |        459 |        371 |        371 |        371 |        374 |        373 |        383
    miss rate                        |      1.74% |      0.18% |      0.19% |      0.15% |      0.19% |      0.19% |      0.19% |      0.15% |      0.20% |      0.20% |      0.16% |      0.16% |      0.16% |      0.16% |      0.16% |      0.17%
    mpki                             |       1.93 |       0.12 |       0.11 |       0.10 |       0.12 |       0.11 |       0.11 |       0.09 |       0.10 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.08 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1939586 |    1411320 |    1457536 |    1391647 |    1380413 |    1452248 |    1443712 |    1438213 |    1460288 |    1439857 |    1368342 |    1368490 |    1367084 |    1367056 |    1439932 |    1425786
    num cache misses                 |      58570 |      36845 |      27752 |      36142 |      35884 |      27060 |      26961 |      27052 |      26556 |      25868 |      34115 |      34140 |      33998 |      34170 |      25282 |      24852
    miss rate                        |      3.02% |      2.61% |      1.90% |      2.60% |      2.60% |      1.86% |      1.87% |      1.88% |      1.82% |      1.80% |      2.49% |      2.49% |      2.49% |      2.50% |      1.76% |      1.74%
    mpki                             |      15.48 |       9.76 |       6.65 |       9.72 |       9.62 |       6.37 |       6.42 |       6.51 |       5.90 |       5.82 |       8.62 |       8.62 |       8.63 |       8.69 |       5.66 |       5.71
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
