metric,value
timestamp,2026-07-09T01:30:41
workload,canneal
strategy,AKARIN_a005_1
bench_class,S
num_threads,16
output_dir,Outputs/sizeS/16TH/canneal_S_AKARIN_a005_1_16TH_20260708_223450
cpu_map,"[8, 1, 6, 4, 9, 10, 15, 12, 0, 5, 13, 14, 7, 3, 2, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,1443.5761
total_instructions,4835831030
avg_ipc,0.0714
avg_ipc_p,0.0956
avg_ipc_e,0.0471
total_power_W,7.2984
dynamic_W,1.6709
leakage_W,5.6
dram_W,0.0275
energy_J,10.535833
node0_reads,2274404
node1_reads,2273824
node0_pct,50.0064
node0_writes,1182933
node1_writes,1182468
dram_local,1924126
dram_remote,1924757
dram_remote_pct,50.0082
l1d_miss_pct,1.424
l2_miss_pct,62.1677
l3_miss_pct,25.5912
l1d_mpki,5.0027
l2_mpki,3.1101
l3_mpki,0.7959
l3_miss_count,3848883
cpi_base_frac,0.6165
cpi_branch_frac,0.1852
cpi_l2_frac,0.0149
cpi_l3_frac,0.0826
cpi_dram_local_frac,0.0498
cpi_dram_remote_frac,0.0509
futex_wake_count,79
futex_wait_count,476
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0201
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,2241187160
L1-D.access-mru-0.c1,36757903
L1-D.access-mru-0.c10,36701355
L1-D.access-mru-0.c11,36766385
L1-D.access-mru-0.c12,36256139
L1-D.access-mru-0.c13,36588117
L1-D.access-mru-0.c14,36600261
L1-D.access-mru-0.c15,37027659
L1-D.access-mru-0.c2,36487841
L1-D.access-mru-0.c3,36783855
L1-D.access-mru-0.c4,36764309
L1-D.access-mru-0.c5,36488745
L1-D.access-mru-0.c6,36653860
L1-D.access-mru-0.c7,36837381
L1-D.access-mru-0.c8,36459999
L1-D.access-mru-0.c9,36667346
L1-D.access-mru-0.node0,292601461
L1-D.access-mru-0.node1,2498426854
L1-D.access-mru-0.total,2791028315
L1-D.access-mru-1.c0,44557689
L1-D.access-mru-1.c1,731996
L1-D.access-mru-1.c10,541141
L1-D.access-mru-1.c11,726694
L1-D.access-mru-1.c12,727955
L1-D.access-mru-1.c13,720368
L1-D.access-mru-1.c14,726481
L1-D.access-mru-1.c15,519891
L1-D.access-mru-1.c2,728675
L1-D.access-mru-1.c3,565996
L1-D.access-mru-1.c4,729859
L1-D.access-mru-1.c5,724132
L1-D.access-mru-1.c6,561311
L1-D.access-mru-1.c7,544074
L1-D.access-mru-1.c8,549064
L1-D.access-mru-1.c9,562007
L1-D.access-mru-1.node0,5312542
L1-D.access-mru-1.node1,48904791
L1-D.access-mru-1.total,54217333
L1-D.access-mru-2.c0,13778690
L1-D.access-mru-2.c1,112633
L1-D.access-mru-2.c10,63489
L1-D.access-mru-2.c11,110902
L1-D.access-mru-2.c12,110364
L1-D.access-mru-2.c13,110788
L1-D.access-mru-2.c14,110385
L1-D.access-mru-2.c15,62785
L1-D.access-mru-2.c2,113096
L1-D.access-mru-2.c3,66812
L1-D.access-mru-2.c4,111600
L1-D.access-mru-2.c5,110454
L1-D.access-mru-2.c6,66138
L1-D.access-mru-2.c7,63644
L1-D.access-mru-2.c8,63653
L1-D.access-mru-2.c9,70519
L1-D.access-mru-2.node0,758250
L1-D.access-mru-2.node1,14367702
L1-D.access-mru-2.total,15125952
L1-D.access-mru-3.c0,5171657
L1-D.access-mru-3.c1,27760
L1-D.access-mru-3.c10,14302
L1-D.access-mru-3.c11,27599
L1-D.access-mru-3.c12,28025
L1-D.access-mru-3.c13,27632
L1-D.access-mru-3.c14,27647
L1-D.access-mru-3.c15,14414
L1-D.access-mru-3.c2,27185
L1-D.access-mru-3.c3,15096
L1-D.access-mru-3.c4,27703
L1-D.access-mru-3.c5,27804
L1-D.access-mru-3.c6,14794
L1-D.access-mru-3.c7,14376
L1-D.access-mru-3.c8,14342
L1-D.access-mru-3.c9,15924
L1-D.access-mru-3.node0,183611
L1-D.access-mru-3.node1,5312649
L1-D.access-mru-3.total,5496260
L1-D.access-mru-4.c0,2319217
L1-D.access-mru-4.c1,6959
L1-D.access-mru-4.c10,3709
L1-D.access-mru-4.c11,6867
L1-D.access-mru-4.c12,6963
L1-D.access-mru-4.c13,6896
L1-D.access-mru-4.c14,6859
L1-D.access-mru-4.c15,3899
L1-D.access-mru-4.c2,6792
L1-D.access-mru-4.c3,3793
L1-D.access-mru-4.c4,6969
L1-D.access-mru-4.c5,6718
L1-D.access-mru-4.c6,3833
L1-D.access-mru-4.c7,3914
L1-D.access-mru-4.c8,3652
L1-D.access-mru-4.c9,4107
L1-D.access-mru-4.node0,46021
L1-D.access-mru-4.node1,2355126
L1-D.access-mru-4.total,2401147
L1-D.access-mru-5.c0,1254130
L1-D.access-mru-5.c1,2292
L1-D.access-mru-5.c10,1735
L1-D.access-mru-5.c11,2112
L1-D.access-mru-5.c12,2300
L1-D.access-mru-5.c13,2311
L1-D.access-mru-5.c14,2278
L1-D.access-mru-5.c15,1706
L1-D.access-mru-5.c2,2099
L1-D.access-mru-5.c3,1762
L1-D.access-mru-5.c4,2237
L1-D.access-mru-5.c5,2199
L1-D.access-mru-5.c6,1760
L1-D.access-mru-5.c7,1801
L1-D.access-mru-5.c8,1713
L1-D.access-mru-5.c9,1704
L1-D.access-mru-5.node0,16459
L1-D.access-mru-5.node1,1267680
L1-D.access-mru-5.total,1284139
L1-D.access-mru-6.c0,749419
L1-D.access-mru-6.c1,1308
L1-D.access-mru-6.c10,1364
L1-D.access-mru-6.c11,1298
L1-D.access-mru-6.c12,1236
L1-D.access-mru-6.c13,1241
L1-D.access-mru-6.c14,1288
L1-D.access-mru-6.c15,1432
L1-D.access-mru-6.c2,1355
L1-D.access-mru-6.c3,1333
L1-D.access-mru-6.c4,1276
L1-D.access-mru-6.c5,1227
L1-D.access-mru-6.c6,1392
L1-D.access-mru-6.c7,1329
L1-D.access-mru-6.c8,1400
L1-D.access-mru-6.c9,1426
L1-D.access-mru-6.node0,10587
L1-D.access-mru-6.node1,758737
L1-D.access-mru-6.total,769324
L1-D.access-mru-7.c0,482015
L1-D.access-mru-7.c1,1071
L1-D.access-mru-7.c10,1288
L1-D.access-mru-7.c11,1005
L1-D.access-mru-7.c12,1013
