                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3938562345 |    60174409 |    59909144 |    59794455 |    59827357 |    59730640 |    60237449 |    60199376 |    59678142 |    59632767 |    60176933 |    59414363 |    59836405 |    59611954 |    59800837 |    59271404
  Cycles                             |  3378247400 |  3378247400 |  3378247400 |  4453144300 |  3378247400 |  4453144300 |  4453144300 |  4453144300 |  4453144300 |  3378247400 |  3378247400 |  3378247400 |  3378247400 |  4453144300 |  4453144300 |  4453144300
  IPC                                |        1.17 |        0.02 |        0.02 |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01 |        0.01
  Time (ns)                          |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000 |  1535567000
  Idle time (ns)                     |    26119196 |  1510289723 |  1510388691 |  1511997074 |  1510455651 |  1512012456 |  1511812646 |  1511836673 |  1512011329 |  1510506899 |  1510243116 |  1510604440 |  1510447799 |  1512063089 |  1511976411 |  1512189842
  Idle time (%)                      |        1.7% |       98.4% |       98.4% |       98.5% |       98.4% |       98.5% |       98.5% |       98.5% |       98.5% |       98.4% |       98.4% |       98.4% |       98.4% |       98.5% |       98.5% |       98.5%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169556154 |     1161795 |     1157271 |     1157348 |     1156647 |     1155749 |     1166157 |     1168806 |     1154701 |     1153804 |     1160665 |     1150593 |     1157945 |     1158170 |     1159396 |     1148152
  num incorrect                      |     6124469 |       39170 |       39252 |       39290 |       39076 |       39206 |       39468 |       39333 |       39077 |       39095 |       39066 |       39099 |       38934 |       39333 |       39639 |       39424
  misprediction rate                 |       3.49% |       3.26% |       3.28% |       3.28% |       3.27% |       3.28% |       3.27% |       3.26% |       3.27% |       3.28% |       3.26% |       3.29% |       3.25% |       3.28% |       3.31% |       3.32%
  mpki                               |        1.56 |        0.65 |        0.66 |        0.66 |        0.65 |        0.66 |        0.66 |        0.65 |        0.65 |        0.66 |        0.65 |        0.66 |        0.65 |        0.66 |        0.66 |        0.67
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   773983289 |     9318605 |     9278240 |     9260923 |     9267075 |     9252062 |     9328738 |     9322522 |     9243590 |     9236594 |     9320503 |     9201792 |     9267019 |     9232970 |     9260177 |     9180860
    num misses                       |        1587 |          43 |          44 |          44 |          44 |          44 |          47 |          48 |          44 |          44 |          44 |          43 |          44 |          49 |          47 |          43
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  2331219327 |    38042498 |    37875714 |    37795916 |    37820571 |    37759745 |    38070357 |    38036983 |    37725410 |    37699081 |    38050177 |    37548789 |    37822342 |    37666512 |    37788285 |    37464700
    num misses                       |    14066858 |      394614 |      388694 |      392337 |      391904 |      397519 |      394161 |      399670 |      397506 |      389712 |      390181 |      388230 |      390878 |      397609 |      398120 |      385132
    miss rate                        |       0.60% |       1.04% |       1.03% |       1.04% |       1.04% |       1.05% |       1.04% |       1.05% |       1.05% |       1.03% |       1.03% |       1.03% |       1.03% |       1.06% |       1.05% |       1.03%
    mpki                             |        3.57 |        6.56 |        6.49 |        6.56 |        6.55 |        6.66 |        6.54 |        6.64 |        6.66 |        6.54 |        6.48 |        6.53 |        6.53 |        6.67 |        6.66 |        6.50
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    14068445 |      394657 |      388738 |      392381 |      391948 |      397563 |      394208 |      399718 |      397550 |      389756 |      390225 |      388273 |      390922 |      397658 |      398167 |      385175
    num misses                       |     6509007 |      207324 |      206177 |      205982 |      206246 |      205797 |      207577 |      207272 |      205839 |      204890 |      207119 |      204472 |      205405 |      204509 |      205857 |      203216
    miss rate                        |      46.27% |      52.53% |      53.04% |      52.50% |      52.62% |      51.76% |      52.66% |      51.85% |      51.78% |      52.57% |      53.08% |      52.66% |      52.54% |      51.43% |      51.70% |      52.76%
    mpki                             |        1.65 |        3.45 |        3.44 |        3.44 |        3.45 |        3.45 |        3.45 |        3.44 |        3.45 |        3.44 |        3.44 |        3.44 |        3.43 |        3.43 |        3.44 |        3.43
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   773983289 |     9318605 |     9278240 |     9260923 |     9267075 |     9252062 |     9328738 |     9322522 |     9243590 |     9236594 |     9320503 |     9201792 |     9267019 |     9232970 |     9260177 |     9180860
    num cache misses                 |     1862284 |        3523 |        3494 |        1309 |        3418 |        1334 |        1455 |        1468 |        1350 |        3400 |        3563 |        3465 |        3422 |        1373 |        1373 |        1252
    miss rate                        |       0.24% |       0.04% |       0.04% |       0.01% |       0.04% |       0.01% |       0.02% |       0.02% |       0.01% |       0.04% |       0.04% |       0.04% |       0.04% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.47 |        0.06 |        0.06 |        0.02 |        0.06 |        0.02 |        0.02 |        0.02 |        0.02 |        0.06 |        0.06 |        0.06 |        0.06 |        0.02 |        0.02 |        0.02
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  2331219327 |    38042498 |    37875714 |    37795916 |    37820571 |    37759745 |    38070357 |    38036983 |    37725410 |    37699081 |    38050177 |    37548789 |    37822342 |    37666512 |    37788285 |    37464700
    num cache misses                 |    22358487 |      390463 |      388022 |      382109 |      387645 |      381966 |      385490 |      385315 |      381660 |      385490 |      390060 |      384298 |      386900 |      380598 |      382193 |      377839
    miss rate                        |       0.96% |       1.03% |       1.02% |       1.01% |       1.02% |       1.01% |       1.01% |       1.01% |       1.01% |       1.02% |       1.03% |       1.02% |       1.02% |       1.01% |       1.01% |       1.01%
    mpki                             |        5.68 |        6.49 |        6.48 |        6.39 |        6.48 |        6.39 |        6.40 |        6.40 |        6.40 |        6.46 |        6.48 |        6.47 |        6.47 |        6.38 |        6.39 |        6.37
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    25438585 |      395240 |      392743 |      384644 |      392297 |      384525 |      388172 |      388004 |      384225 |      390146 |      394883 |      389004 |      391556 |      383206 |      384800 |      380311
    num cache misses                 |    15655832 |      333389 |      331196 |      274818 |      330814 |      275377 |      277830 |      277836 |      275319 |      329188 |      333079 |      327541 |      329901 |      274168 |      274951 |      272174
    miss rate                        |      61.54% |      84.35% |      84.33% |      71.45% |      84.33% |      71.61% |      71.57% |      71.61% |      71.66% |      84.38% |      84.35% |      84.20% |      84.25% |      71.55% |      71.45% |      71.57%
    mpki                             |        3.98 |        5.54 |        5.53 |        4.60 |        5.53 |        4.61 |        4.61 |        4.62 |        4.61 |        5.52 |        5.53 |        5.51 |        5.51 |        4.60 |        4.60 |        4.59
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    16874766 |      334643 |      332423 |      276044 |      332047 |      276601 |      279057 |      279057 |      276533 |      330444 |      334336 |      328781 |      331134 |      275401 |      276185 |      273393
    num cache misses                 |     4153328 |      134552 |      133758 |      132971 |      133156 |      132556 |      134154 |      134388 |      125243 |      125237 |      127321 |      124988 |      125155 |      125281 |      125038 |      123692
    miss rate                        |      24.61% |      40.21% |      40.24% |      48.17% |      40.10% |      47.92% |      48.07% |      48.16% |      45.29% |      37.90% |      38.08% |      38.02% |      37.80% |      45.49% |      45.27% |      45.24%
    mpki                             |        1.05 |        2.24 |        2.23 |        2.22 |        2.23 |        2.22 |        2.23 |        2.23 |        2.10 |        2.10 |        2.12 |        2.10 |        2.09 |        2.10 |        2.09 |        2.09
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     3448120 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |     3447645 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       61.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |       61.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     3355945 |       32301 |       32214 |       31533 |       32091 |       31214 |       31568 |       31339 |       31770 |       32521 |       32804 |       32158 |       32481 |       31490 |       31722 |       31483
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      103246 |       77165 |       76767 |       62550 |       76915 |       62644 |       63163 |       63486 |       58999 |       69870 |       71440 |       70164 |       70101 |       58866 |       58569 |       58092
