metric,value
timestamp,2026-07-09T20:34:04
workload,FT
strategy,AKARIN_a100_4
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/FT_S_AKARIN_a100_4_8TH_20260709_195844
cpu_map,"[8, 11, 2, 0, 10, 1, 3, 9]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,10.4961
total_instructions,734935451
avg_ipc,2.1881
avg_ipc_p,2.1881
avg_ipc_e,0.0
total_power_W,39.1229
dynamic_W,35.0099
leakage_W,4.0
dram_W,0.113
energy_J,0.410638
node0_reads,92683
node1_reads,92580
node0_pct,50.0278
node0_writes,13
node1_writes,14
dram_local,2839
dram_remote,2822
dram_remote_pct,49.8498
l1d_miss_pct,8.5688
l2_miss_pct,7.6518
l3_miss_pct,0.7327
l1d_mpki,13.7387
l2_mpki,1.0513
l3_mpki,0.0077
l3_miss_count,5661
cpi_base_frac,0.9042
cpi_branch_frac,0.0766
cpi_l2_frac,0.0004
cpi_l3_frac,0.0172
cpi_dram_local_frac,0.0005
cpi_dram_remote_frac,0.0012
futex_wake_count,84
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.918
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,24709716
L1-D.access-mru-0.c1,24563230
L1-D.access-mru-0.c2,24533707
L1-D.access-mru-0.c3,24572238
L1-D.access-mru-0.c4,24504691
L1-D.access-mru-0.c5,24474457
L1-D.access-mru-0.c6,24501748
L1-D.access-mru-0.c7,24503516
L1-D.access-mru-0.node0,98082150
L1-D.access-mru-0.node1,98281153
L1-D.access-mru-0.total,196363303
L1-D.access-mru-1.c0,330051
L1-D.access-mru-1.c1,286972
L1-D.access-mru-1.c2,308676
L1-D.access-mru-1.c3,283715
L1-D.access-mru-1.c4,285887
L1-D.access-mru-1.c5,307356
L1-D.access-mru-1.c6,287819
L1-D.access-mru-1.c7,284875
L1-D.access-mru-1.node0,1187566
L1-D.access-mru-1.node1,1187785
