metric,value
timestamp,2026-07-08T23:23:00
workload,GUPS
strategy,AKARIN_a005_1
bench_class,S
num_threads,8
output_dir,Outputs/sizeS/8TH/GUPS_S_AKARIN_a005_1_8TH_20260708_223450
cpu_map,"[8, 9, 10, 11, 15, 14, 13, 12]"
p_core_count,4
e_core_count,4
node0_threads,0
node1_threads,8
sim_time_ms,103.7309
total_instructions,829252304
avg_ipc,1.688
avg_ipc_p,0.433
avg_ipc_e,2.9431
total_power_W,12.429
dynamic_W,7.8783
leakage_W,2.8
dram_W,1.7507
energy_J,1.289273
node0_reads,20848653
node1_reads,0
node0_pct,100.0
node0_writes,10705066
node1_writes,2
dram_local,20320984
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,60.8322
l2_miss_pct,95.8939
l3_miss_pct,63.6485
l1d_mpki,40.1494
l2_mpki,38.5008
l3_mpki,24.5052
l3_miss_count,20320984
cpi_base_frac,0.5891
cpi_branch_frac,0.0004
cpi_l2_frac,0.0035
cpi_l3_frac,0.0501
cpi_dram_local_frac,0.3569
cpi_dram_remote_frac,0.0
futex_wake_count,5
futex_wait_count,7
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.0205
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,5147127
L1-D.access-mru-0.c1,3534771
L1-D.access-mru-0.c2,3504519
L1-D.access-mru-0.c3,3485420
L1-D.access-mru-0.c4,3482018
L1-D.access-mru-0.c5,3463219
L1-D.access-mru-0.c6,3462120
L1-D.access-mru-0.c7,3175883
L1-D.access-mru-0.node0,0
L1-D.access-mru-0.node1,29255077
L1-D.access-mru-0.total,29255077
L1-D.access-mru-1.c0,59570
L1-D.access-mru-1.c1,26349
L1-D.access-mru-1.c2,23506
L1-D.access-mru-1.c3,22695
L1-D.access-mru-1.c4,32685
L1-D.access-mru-1.c5,32881
L1-D.access-mru-1.c6,32576
L1-D.access-mru-1.c7,33706
L1-D.access-mru-1.node0,0
L1-D.access-mru-1.node1,263968
L1-D.access-mru-1.total,263968
L1-D.access-mru-2.c0,23842
L1-D.access-mru-2.c1,3309
L1-D.access-mru-2.c2,1114
L1-D.access-mru-2.c3,917
L1-D.access-mru-2.c4,680
L1-D.access-mru-2.c5,392
L1-D.access-mru-2.c6,511
L1-D.access-mru-2.c7,857
L1-D.access-mru-2.node0,0
L1-D.access-mru-2.node1,31622
L1-D.access-mru-2.total,31622
L1-D.access-mru-3.c0,19162
L1-D.access-mru-3.c1,3130
L1-D.access-mru-3.c2,1127
L1-D.access-mru-3.c3,882
L1-D.access-mru-3.c4,611
L1-D.access-mru-3.c5,362
L1-D.access-mru-3.c6,477
L1-D.access-mru-3.c7,737
L1-D.access-mru-3.node0,0
L1-D.access-mru-3.node1,26488
L1-D.access-mru-3.total,26488
L1-D.access-mru-4.c0,16911
L1-D.access-mru-4.c1,2762
L1-D.access-mru-4.c2,1213
L1-D.access-mru-4.c3,903
L1-D.access-mru-4.c4,554
L1-D.access-mru-4.c5,341
L1-D.access-mru-4.c6,467
L1-D.access-mru-4.c7,525
L1-D.access-mru-4.node0,0
L1-D.access-mru-4.node1,23676
L1-D.access-mru-4.total,23676
L1-D.access-mru-5.c0,15185
L1-D.access-mru-5.c1,2326
L1-D.access-mru-5.c2,1262
L1-D.access-mru-5.c3,839
L1-D.access-mru-5.c4,536
L1-D.access-mru-5.c5,329
L1-D.access-mru-5.c6,450
L1-D.access-mru-5.c7,469
L1-D.access-mru-5.node0,0
L1-D.access-mru-5.node1,21396
L1-D.access-mru-5.total,21396
L1-D.access-mru-6.c0,14337
L1-D.access-mru-6.c1,2126
L1-D.access-mru-6.c2,1307
L1-D.access-mru-6.c3,784
L1-D.access-mru-6.c4,481
L1-D.access-mru-6.c5,300
L1-D.access-mru-6.c6,427
L1-D.access-mru-6.c7,439
L1-D.access-mru-6.node0,0
L1-D.access-mru-6.node1,20201
L1-D.access-mru-6.total,20201
L1-D.access-mru-7.c0,13144
L1-D.access-mru-7.c1,1894
L1-D.access-mru-7.c2,1248
L1-D.access-mru-7.c3,760
L1-D.access-mru-7.c4,480
L1-D.access-mru-7.c5,318
L1-D.access-mru-7.c6,369
L1-D.access-mru-7.c7,365
L1-D.access-mru-7.node0,0
L1-D.access-mru-7.node1,18578
L1-D.access-mru-7.total,18578
L1-D.backinval-E.c0,541
L1-D.backinval-E.c1,7
L1-D.backinval-E.c2,13
L1-D.backinval-E.c3,6
L1-D.backinval-E.c4,9
L1-D.backinval-E.c5,6
L1-D.backinval-E.c6,10
L1-D.backinval-E.c7,72
L1-D.backinval-E.node0,0
L1-D.backinval-E.node1,664
L1-D.backinval-E.total,664
L1-D.backinval-M.c0,926
L1-D.backinval-M.c1,461
L1-D.backinval-M.c2,543
L1-D.backinval-M.c3,576
L1-D.backinval-M.c4,676
