metric,value
timestamp,2026-07-07T05:22:06
workload,IS
strategy,EPO
bench_class,W
num_threads,16
output_dir,Outputs/sizeW/16TH/IS_W_EPO_16TH_20260706_200005
cpu_map,"[4, 5, 6, 7, 12, 13, 14, 15, 0, 1, 2, 3, 8, 9, 10, 11]"
p_core_count,8
e_core_count,8
node0_threads,8
node1_threads,8
sim_time_ms,17.8958
total_instructions,659523433
avg_ipc,1.4443
avg_ipc_p,0.5727
avg_ipc_e,2.316
total_power_W,21.7636
dynamic_W,16.1108
leakage_W,5.6
dram_W,0.0529
energy_J,0.389478
node0_reads,73950
node1_reads,73835
node0_pct,50.0389
node0_writes,52
node1_writes,49
dram_local,3490
dram_remote,3802
dram_remote_pct,52.1393
l1d_miss_pct,1.4875
l2_miss_pct,49.1346
l3_miss_pct,0.6056
l1d_mpki,3.7155
l2_mpki,1.8256
l3_mpki,0.0111
l3_miss_count,7292
cpi_base_frac,0.9648
cpi_branch_frac,0.0018
cpi_l2_frac,0.0011
cpi_l3_frac,0.0318
cpi_dram_local_frac,0.0001
cpi_dram_remote_frac,0.0003
futex_wake_count,54
futex_wait_count,0
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,1.4139
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,12433477
L1-D.access-mru-0.c1,12295582
L1-D.access-mru-0.c10,12206469
L1-D.access-mru-0.c11,12199873
L1-D.access-mru-0.c12,13457055
L1-D.access-mru-0.c13,13451131
L1-D.access-mru-0.c14,13508044
L1-D.access-mru-0.c15,13429586
L1-D.access-mru-0.c2,12289079
L1-D.access-mru-0.c3,12260902
L1-D.access-mru-0.c4,13650817
L1-D.access-mru-0.c5,13623411
L1-D.access-mru-0.c6,13548570
L1-D.access-mru-0.c7,13609028
L1-D.access-mru-0.c8,12258054
L1-D.access-mru-0.c9,12201615
L1-D.access-mru-0.node0,98145051
L1-D.access-mru-0.node1,108277642
L1-D.access-mru-0.total,206422693
L1-D.access-mru-1.c0,588485
L1-D.access-mru-1.c1,518041
L1-D.access-mru-1.c10,514383
L1-D.access-mru-1.c11,498478
L1-D.access-mru-1.c12,540584
L1-D.access-mru-1.c13,513435
L1-D.access-mru-1.c14,483604
L1-D.access-mru-1.c15,544907
L1-D.access-mru-1.c2,517369
L1-D.access-mru-1.c3,506921
L1-D.access-mru-1.c4,543439
L1-D.access-mru-1.c5,531987
L1-D.access-mru-1.c6,586150
L1-D.access-mru-1.c7,536412
L1-D.access-mru-1.c8,512466
L1-D.access-mru-1.c9,512968
L1-D.access-mru-1.node0,4169111
L1-D.access-mru-1.node1,4280518
L1-D.access-mru-1.total,8449629
L1-D.access-mru-2.c0,174543
L1-D.access-mru-2.c1,160083
L1-D.access-mru-2.c10,159668
L1-D.access-mru-2.c11,160959
L1-D.access-mru-2.c12,144408
L1-D.access-mru-2.c13,139123
L1-D.access-mru-2.c14,139134
L1-D.access-mru-2.c15,143906
L1-D.access-mru-2.c2,160718
L1-D.access-mru-2.c3,161207
L1-D.access-mru-2.c4,140980
