                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   45179915 |    4397440 |  111438027 |  137840654 |  159966396 |  148870825 |   91892865 |  111523497 |  240096044 |  189643241 |  203431672 |  196895315 |  152568723 |  160990437 |  207357157 |  120510972
  Cycles                             |  256973640 |  194945520 |  256973640 |  194945520 |  194945520 |  194945520 |  256973640 |  256973640 |  256973640 |  256973640 |  194945520 |  194945520 |  194945520 |  256973640 |  256973640 |  194945520
  IPC                                |       0.18 |       0.02 |       0.43 |       0.71 |       0.82 |       0.76 |       0.36 |       0.43 |       0.93 |       0.74 |       1.04 |       1.01 |       0.78 |       0.63 |       0.81 |       0.62
  Time (ns)                          |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600 |   88611600
  Idle time (ns)                     |   79930374 |   86251041 |   36652969 |   54897056 |   21287617 |   52509686 |   67059037 |   60432794 |   21994708 |    9298546 |   26519878 |   31293980 |   20170325 |   49091790 |    9821590 |   59808092
  Idle time (%)                      |      90.2% |      97.3% |      41.4% |      62.0% |      24.0% |      59.3% |      75.7% |      68.2% |      24.8% |      10.5% |      29.9% |      35.3% |      22.8% |      55.4% |      11.1% |      67.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1358117 |     173515 |    4268677 |   11053214 |    9280763 |   11636860 |    8185054 |   10758769 |   26153312 |   14923713 |   22295284 |   20971678 |   12471916 |   16811747 |   16867715 |    9408263
  num incorrect                      |       8797 |        768 |       1838 |     444150 |     206845 |     471801 |     329493 |     434390 |    1338594 |     595667 |    1245132 |    1110918 |     348508 |     700143 |     528435 |     378296
  misprediction rate                 |      0.64% |      0.44% |      0.04% |      3.86% |      2.18% |      3.90% |      3.87% |      3.88% |      4.87% |      3.84% |      5.29% |      5.03% |      2.72% |      4.00% |      3.04% |      3.87%
  mpki                               |       0.19 |       0.17 |       0.02 |       3.22 |       1.29 |       3.17 |       3.59 |       3.90 |       5.58 |       3.14 |       6.12 |       5.64 |       2.28 |       4.35 |       2.55 |       3.14
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3545469 |     430441 |    7890155 |   13108295 |   12993807 |   14056529 |    9144421 |   11480991 |   26123142 |   17586632 |   22361234 |   21391520 |   14159287 |   17010680 |   19198619 |   11239990
    num misses                       |        122 |         37 |         37 |         53 |         48 |         51 |         47 |         50 |         49 |         48 |         47 |         47 |         44 |         47 |         47 |         42
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   13231199 |    3840532 |   63095959 |   57172003 |   85781070 |   61952549 |   40057494 |   51489819 |  108366767 |  102243683 |   88831837 |   88718328 |   90731680 |   74610373 |  113166275 |   49885565
    num misses                       |      16284 |       5364 |       1250 |      10415 |       4081 |       7478 |       4975 |       5792 |      13146 |       8964 |      10111 |      23807 |       5087 |       9284 |       8907 |       5869
