metric,value
timestamp,2026-07-07T06:30:05
workload,dedup
strategy,EPO
bench_class,W
num_threads,2
output_dir,Outputs/sizeW/2TH/dedup_W_EPO_2TH_20260706_200005
cpu_map,"[4, 5]"
p_core_count,0
e_core_count,2
node0_threads,2
node1_threads,0
sim_time_ms,433.01
total_instructions,2331810280
avg_ipc,2.7032
avg_ipc_p,0.0
avg_ipc_e,2.7032
total_power_W,2.4423
dynamic_W,2.0274
leakage_W,0.4
dram_W,0.0149
energy_J,1.057554
node0_reads,759693
node1_reads,0
node0_pct,100.0
node0_writes,353957
node1_writes,0
dram_local,491062
dram_remote,0
dram_remote_pct,0.0
l1d_miss_pct,1.2374
l2_miss_pct,8.6233
l3_miss_pct,58.6983
l1d_mpki,4.1605
l2_mpki,0.3588
l3_mpki,0.2106
l3_miss_count,491062
cpi_base_frac,0.7711
cpi_branch_frac,0.2139
cpi_l2_frac,0.0
cpi_l3_frac,0.002
cpi_dram_local_frac,0.013
cpi_dram_remote_frac,0.0
futex_wake_count,290
futex_wait_count,286
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,0.2311
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,560588998
L1-D.access-mru-0.c1,524975788
L1-D.access-mru-0.node0,1085564786
L1-D.access-mru-0.node1,0
L1-D.access-mru-0.total,1085564786
L1-D.access-mru-1.c0,18937628
L1-D.access-mru-1.c1,14382263
L1-D.access-mru-1.node0,33319891
L1-D.access-mru-1.node1,0
L1-D.access-mru-1.total,33319891
L1-D.access-mru-2.c0,2272995
L1-D.access-mru-2.c1,1480812
L1-D.access-mru-2.node0,3753807
L1-D.access-mru-2.node1,0
L1-D.access-mru-2.total,3753807
L1-D.access-mru-3.c0,1134749
L1-D.access-mru-3.c1,739089
L1-D.access-mru-3.node0,1873838
L1-D.access-mru-3.node1,0
L1-D.access-mru-3.total,1873838
L1-D.access-mru-4.c0,852375
L1-D.access-mru-4.c1,546104
L1-D.access-mru-4.node0,1398479
L1-D.access-mru-4.node1,0
L1-D.access-mru-4.total,1398479
L1-D.access-mru-5.c0,710252
L1-D.access-mru-5.c1,444110
L1-D.access-mru-5.node0,1154362
L1-D.access-mru-5.node1,0
L1-D.access-mru-5.total,1154362
L1-D.access-mru-6.c0,624255
L1-D.access-mru-6.c1,380994
L1-D.access-mru-6.node0,1005249
L1-D.access-mru-6.node1,0
L1-D.access-mru-6.total,1005249
L1-D.access-mru-7.c0,566189
L1-D.access-mru-7.c1,338492
L1-D.access-mru-7.node0,904681
L1-D.access-mru-7.node1,0
L1-D.access-mru-7.total,904681
L1-D.backinval-E.c0,58
L1-D.backinval-E.c1,8
L1-D.backinval-E.node0,66
L1-D.backinval-E.node1,0
L1-D.backinval-E.total,66
L1-D.backinval-M.c0,523
L1-D.backinval-M.c1,17
L1-D.backinval-M.node0,540
L1-D.backinval-M.node1,0
L1-D.backinval-M.total,540
L1-D.backinval-S.c0,94
L1-D.backinval-S.c1,7
L1-D.backinval-S.node0,101
L1-D.backinval-S.node1,0
L1-D.backinval-S.total,101
L1-D.coherency-downgrades.c0,437
L1-D.coherency-downgrades.c1,1671
L1-D.coherency-downgrades.node0,2108
L1-D.coherency-downgrades.node1,0
L1-D.coherency-downgrades.total,2108
L1-D.coherency-invalidates,1
L1-D.coherency-upgrades.c0,4
L1-D.coherency-upgrades.c1,11
L1-D.coherency-upgrades.node0,15
L1-D.coherency-upgrades.node1,0
L1-D.coherency-upgrades.total,15
L1-D.coherency-writebacks.c0,605
L1-D.coherency-writebacks.c1,1058
L1-D.coherency-writebacks.node0,1663
L1-D.coherency-writebacks.node1,0
L1-D.coherency-writebacks.total,1663
L1-D.evict-E.c0,178350
L1-D.evict-E.c1,372577
L1-D.evict-E.node0,550927
L1-D.evict-E.node1,0
L1-D.evict-E.total,550927
L1-D.evict-M.c0,8450205
L1-D.evict-M.c1,4932391
L1-D.evict-M.node0,13382596
L1-D.evict-M.node1,0
L1-D.evict-M.total,13382596
L1-D.evict-S.c0,70609
L1-D.evict-S.c1,34652
L1-D.evict-S.node0,105261
L1-D.evict-S.node1,0
L1-D.evict-S.total,105261
L1-D.load-misses-E.c0,1805
L1-D.load-misses-E.c1,1018
L1-D.load-misses-E.node0,2823
L1-D.load-misses-E.node1,0
L1-D.load-misses-E.total,2823
L1-D.load-misses-I.c0,5911204
L1-D.load-misses-I.c1,3787323
L1-D.load-misses-I.node0,9698527
L1-D.load-misses-I.node1,0
L1-D.load-misses-I.total,9698527
L1-D.load-misses-S.c0,106
L1-D.load-misses-S.c1,40
L1-D.load-misses-S.node0,146
L1-D.load-misses-S.node1,0
L1-D.load-misses-S.total,146
L1-D.load-misses.c0,5913115
L1-D.load-misses.c1,3788381
L1-D.load-misses.node0,9701496
L1-D.load-misses.node1,0
L1-D.load-misses.total,9701496
L1-D.loads-E.c0,2402058
L1-D.loads-E.c1,14978480
L1-D.loads-E.node0,17380538
L1-D.loads-E.node1,0
L1-D.loads-E.total,17380538
L1-D.loads-I.c0,5911204
L1-D.loads-I.c1,3787323
L1-D.loads-I.node0,9698527
L1-D.loads-I.node1,0
L1-D.loads-I.total,9698527
L1-D.loads-M.c0,390580270
L1-D.loads-M.c1,364853147
L1-D.loads-M.node0,755433417
L1-D.loads-M.node1,0
L1-D.loads-M.total,755433417
L1-D.loads-S.c0,1024613
L1-D.loads-S.c1,500125
L1-D.loads-S.node0,1524738
L1-D.loads-S.node1,0
L1-D.loads-S.total,1524738
L1-D.loads-where-L1.c0,394005030
L1-D.loads-where-L1.c1,380330694
L1-D.loads-where-L1.node0,774335724
L1-D.loads-where-L1.node1,0
L1-D.loads-where-L1.total,774335724
L1-D.loads-where-L2.c0,5602934
L1-D.loads-where-L2.c1,3261975
L1-D.loads-where-L2.node0,8864909
L1-D.loads-where-L2.node1,0
L1-D.loads-where-L2.total,8864909
L1-D.loads-where-L3.c0,204962
L1-D.loads-where-L3.c1,113269
L1-D.loads-where-L3.node0,318231
L1-D.loads-where-L3.node1,0
L1-D.loads-where-L3.total,318231
L1-D.loads-where-L3_S.c0,18505
L1-D.loads-where-L3_S.c1,8789
L1-D.loads-where-L3_S.node0,27294
L1-D.loads-where-L3_S.node1,0
L1-D.loads-where-L3_S.total,27294
L1-D.loads-where-dram-local.c0,86714
L1-D.loads-where-dram-local.c1,404348
L1-D.loads-where-dram-local.node0,491062
L1-D.loads-where-dram-local.node1,0
L1-D.loads-where-dram-local.total,491062
L1-D.loads.c0,399918145
L1-D.loads.c1,384119075
L1-D.loads.node0,784037220
L1-D.loads.node1,0
L1-D.loads.total,784037220
L1-D.store-misses-E.c0,67017
L1-D.store-misses-E.c1,146332
L1-D.store-misses-E.node0,213349
L1-D.store-misses-E.node1,0
L1-D.store-misses-E.total,213349
L1-D.store-misses-I.c0,2789756
L1-D.store-misses-I.c1,1553877
L1-D.store-misses-I.node0,4343633
L1-D.store-misses-I.node1,0
L1-D.store-misses-I.total,4343633
L1-D.store-misses-S.c0,526
L1-D.store-misses-S.c1,1649
L1-D.store-misses-S.node0,2175
L1-D.store-misses-S.node1,0
L1-D.store-misses-S.total,2175
L1-D.store-misses.c0,2857299
L1-D.store-misses.c1,1701858
L1-D.store-misses.node0,4559157
L1-D.store-misses.node1,0
L1-D.store-misses.total,4559157
L1-D.stores-E.c0,67017
L1-D.stores-E.c1,146332
L1-D.stores-E.node0,213349
L1-D.stores-E.node1,0
L1-D.stores-E.total,213349
L1-D.stores-I.c0,2789756
L1-D.stores-I.c1,1553877
L1-D.stores-I.node0,4343633
L1-D.stores-I.node1,0
L1-D.stores-I.total,4343633
L1-D.stores-M.c0,191682411
L1-D.stores-M.c1,162956958
L1-D.stores-M.node0,354639369
L1-D.stores-M.node1,0
L1-D.stores-M.total,354639369
L1-D.stores-S.c0,526
L1-D.stores-S.c1,1649
L1-D.stores-S.node0,2175
L1-D.stores-S.node1,0
L1-D.stores-S.total,2175
L1-D.stores-where-L1.c0,191682411
L1-D.stores-where-L1.c1,162956958
L1-D.stores-where-L1.node0,354639369
L1-D.stores-where-L1.node1,0
L1-D.stores-where-L1.total,354639369
L1-D.stores-where-L2.c0,2557393
L1-D.stores-where-L2.c1,1395280
L1-D.stores-where-L2.node0,3952673
L1-D.stores-where-L2.node1,0
L1-D.stores-where-L2.total,3952673
L1-D.stores-where-L3.c0,289823
L1-D.stores-where-L3.c1,289879
L1-D.stores-where-L3.node0,579702
L1-D.stores-where-L3.node1,0
L1-D.stores-where-L3.total,579702
L1-D.stores-where-L3_S.c0,1489
L1-D.stores-where-L3_S.c1,1919
L1-D.stores-where-L3_S.node0,3408
L1-D.stores-where-L3_S.node1,0
L1-D.stores-where-L3_S.total,3408
