                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   72719046 |   73006357 |   73071744 |   72986006 |   72531317 |   72360357 |   72315371 |   72260652
  Cycles                             |   76386200 |   76386200 |   76386200 |   76386200 |   76386200 |   76386200 |   76386200 |   76386200
  IPC                                |       0.95 |       0.96 |       0.96 |       0.96 |       0.95 |       0.95 |       0.95 |       0.95
  Time (ns)                          |   34721000 |   34721000 |   34721000 |   34721000 |   34721000 |   34721000 |   34721000 |   34721000
  Idle time (ns)                     |        314 |     352404 |     356513 |     359188 |     361826 |     364488 |     367126 |     369788
  Idle time (%)                      |       0.0% |       1.0% |       1.0% |       1.0% |       1.0% |       1.0% |       1.1% |       1.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5712057 |    5896648 |    5905751 |    5886070 |    5761250 |    5729849 |    5708012 |    5686937
  num incorrect                      |      15619 |       5698 |       6006 |       6325 |       7670 |       7789 |       7965 |       8551
  misprediction rate                 |      0.27% |      0.10% |      0.10% |      0.11% |      0.13% |      0.14% |      0.14% |      0.15%
  mpki                               |       0.21 |       0.08 |       0.08 |       0.09 |       0.11 |       0.11 |       0.11 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10338731 |   10256611 |   10311508 |   10312644 |   10311745 |   10299843 |   10333300 |   10391915
    num misses                       |        131 |         23 |         23 |         23 |         23 |         21 |         23 |         21
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   27065102 |   26835982 |   26897823 |   26859197 |   26766931 |   26691859 |   26711597 |   26760348
    num misses                       |    1289660 |    1283170 |    1285465 |    1284872 |    1282916 |    1284274 |    1286057 |    1283142
    miss rate                        |      4.77% |      4.78% |      4.78% |      4.78% |      4.79% |      4.81% |      4.81% |      4.79%
    mpki                             |      17.73 |      17.58 |      17.59 |      17.60 |      17.69 |      17.75 |      17.78 |      17.76
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1289791 |    1283193 |    1285488 |    1284895 |    1282939 |    1284295 |    1286080 |    1283163
    num misses                       |     525741 |     521357 |     523438 |     528405 |     523663 |     525974 |     526708 |     519797
    miss rate                        |     40.76% |     40.63% |     40.72% |     41.12% |     40.82% |     40.95% |     40.95% |     40.51%
    mpki                             |       7.23 |       7.14 |       7.16 |       7.24 |       7.22 |       7.27 |       7.28 |       7.19
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10338731 |   10256611 |   10311508 |   10312644 |   10311745 |   10299843 |   10333300 |   10391915
    num cache misses                 |       4463 |       1078 |       1116 |       1112 |       1060 |       1069 |       1063 |       1208
    miss rate                        |      0.04% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.06 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   27065102 |   26835982 |   26897823 |   26859197 |   26766931 |   26691859 |   26711597 |   26760348
    num cache misses                 |    1031802 |    1022207 |    1020756 |    1025428 |    1022158 |    1018967 |    1023422 |    1011703
    miss rate                        |      3.81% |      3.81% |      3.79% |      3.82% |      3.82% |      3.82% |      3.83% |      3.78%
    mpki                             |      14.19 |      14.00 |      13.97 |      14.05 |      14.09 |      14.08 |      14.15 |      14.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1168563 |    1144263 |    1152132 |    1159692 |    1150005 |    1141331 |    1151367 |    1142321
    num cache misses                 |     562633 |     546595 |     548759 |     550846 |     546415 |     546617 |     545752 |     545113
    miss rate                        |     48.15% |     47.77% |     47.63% |     47.50% |     47.51% |     47.89% |     47.40% |     47.72%
    mpki                             |       7.74 |       7.49 |       7.51 |       7.55 |       7.53 |       7.55 |       7.55 |       7.54
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     694851 |     665965 |     677246 |     681967 |     672978 |     664619 |     669346 |     671279
    num cache misses                 |     183914 |     161499 |     171461 |     186654 |     172606 |     166069 |     170505 |     182709
    miss rate                        |     26.47% |     24.25% |     25.32% |     27.37% |     25.65% |     24.99% |     25.47% |     27.22%
    mpki                             |       2.53 |       2.21 |       2.35 |       2.56 |       2.38 |       2.30 |       2.36 |       2.53
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      73117 |          0 |          0 |          0 |      73028 |          0 |          0 |          0
  average dram access latency (ns)   |    5894.30 |        inf |        inf |        inf |    5902.12 |        inf |        inf |        inf
  average dram queueing delay        |    5833.05 |       0.00 |       0.00 |       0.00 |    5840.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6592 |         68 |         69 |         58 |        130 |        129 |        133 |        101
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     149569 |     138041 |     147156 |     158651 |     147936 |     141608 |     145446 |     153752
