metric,value
timestamp,2026-07-06T21:24:02
workload,MG
strategy,AKARIN_a065_4
bench_class,W
num_threads,8
output_dir,Outputs/sizeW/8TH/MG_W_AKARIN_a065_4_8TH_20260706_200005
cpu_map,"[8, 9, 1, 3, 2, 0, 11, 10]"
p_core_count,8
e_core_count,0
node0_threads,4
node1_threads,4
sim_time_ms,87.3809
total_instructions,1990641501
avg_ipc,0.7119
avg_ipc_p,0.7119
avg_ipc_e,0.0
total_power_W,16.9525
dynamic_W,11.3906
leakage_W,4.0
dram_W,1.5619
energy_J,1.481321
node0_reads,8021590
node1_reads,8021630
node0_pct,49.9999
node0_writes,3755664
node1_writes,3755645
dram_local,5807901
dram_remote,5807743
dram_remote_pct,49.9993
l1d_miss_pct,2.8725
l2_miss_pct,55.5919
l3_miss_pct,79.9074
l1d_mpki,13.1357
l2_mpki,7.3024
l3_mpki,5.8351
l3_miss_count,11615644
cpi_base_frac,0.5327
cpi_branch_frac,0.0039
cpi_l2_frac,0.0001
cpi_l3_frac,0.0152
cpi_dram_local_frac,0.221
cpi_dram_remote_frac,0.2271
futex_wake_count,696
futex_wait_count,4
mutex_lock_count,0
barrier_wait_count,0
futex_wake_per_minst,2.8287
mutex_lock_per_minst,0.0
barrier_wait_per_minst,0.0
L1-D.access-mru-0.c0,111438780
L1-D.access-mru-0.c1,110822626
L1-D.access-mru-0.c2,110777326
L1-D.access-mru-0.c3,110635444
L1-D.access-mru-0.c4,110926321
L1-D.access-mru-0.c5,110836011
L1-D.access-mru-0.c6,110312613
L1-D.access-mru-0.c7,110648254
L1-D.access-mru-0.node0,443175102
L1-D.access-mru-0.node1,443222273
L1-D.access-mru-0.total,886397375
L1-D.access-mru-1.c0,11264885
L1-D.access-mru-1.c1,11241643
L1-D.access-mru-1.c2,11211561
L1-D.access-mru-1.c3,11617208
L1-D.access-mru-1.c4,11198760
L1-D.access-mru-1.c5,11235942
L1-D.access-mru-1.c6,11635299
L1-D.access-mru-1.c7,11199259
L1-D.access-mru-1.node0,45263471
L1-D.access-mru-1.node1,45341086
L1-D.access-mru-1.total,90604557
L1-D.access-mru-2.c0,2819527
L1-D.access-mru-2.c1,2792008
L1-D.access-mru-2.c2,2792122
L1-D.access-mru-2.c3,2874777
L1-D.access-mru-2.c4,2788417
L1-D.access-mru-2.c5,2796677
L1-D.access-mru-2.c6,2884125
L1-D.access-mru-2.c7,2790996
L1-D.access-mru-2.node0,11251993
L1-D.access-mru-2.node1,11286656
L1-D.access-mru-2.total,22538649
L1-D.access-mru-3.c0,1909613
L1-D.access-mru-3.c1,1913428
L1-D.access-mru-3.c2,1929932
L1-D.access-mru-3.c3,1814512
L1-D.access-mru-3.c4,1924272
L1-D.access-mru-3.c5,1930777
L1-D.access-mru-3.c6,1818412
L1-D.access-mru-3.c7,1912860
L1-D.access-mru-3.node0,7599493
L1-D.access-mru-3.node1,7554313
L1-D.access-mru-3.total,15153806
L1-D.access-mru-4.c0,345457
L1-D.access-mru-4.c1,346609
L1-D.access-mru-4.c2,354716
L1-D.access-mru-4.c3,424012
L1-D.access-mru-4.c4,349660
L1-D.access-mru-4.c5,356202
L1-D.access-mru-4.c6,434227
L1-D.access-mru-4.c7,342773
L1-D.access-mru-4.node0,1484590
L1-D.access-mru-4.node1,1469066
L1-D.access-mru-4.total,2953656
L1-D.access-mru-5.c0,6110
L1-D.access-mru-5.c1,5127
L1-D.access-mru-5.c2,5130
L1-D.access-mru-5.c3,21433
L1-D.access-mru-5.c4,5466
L1-D.access-mru-5.c5,5259
L1-D.access-mru-5.c6,21828
L1-D.access-mru-5.c7,5087
L1-D.access-mru-5.node0,37288
L1-D.access-mru-5.node1,38152
L1-D.access-mru-5.total,75440
L1-D.access-mru-6.c0,5981
L1-D.access-mru-6.c1,6083
L1-D.access-mru-6.c2,6451
L1-D.access-mru-6.c3,6201
L1-D.access-mru-6.c4,6214
L1-D.access-mru-6.c5,6459
L1-D.access-mru-6.c6,6050
L1-D.access-mru-6.c7,6443
L1-D.access-mru-6.node0,25325
L1-D.access-mru-6.node1,24557
L1-D.access-mru-6.total,49882
L1-D.access-mru-7.c0,3050
L1-D.access-mru-7.c1,2468
L1-D.access-mru-7.c2,2333
L1-D.access-mru-7.c3,2374
