                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   11011536 |    3010578 |    3042386 |    2811553 |    3104240 |    2973510 |    2593661 |    3061418 |    2983863 |    2903001 |    3040332 |    3025269
  Cycles                             |   29376400 |   29376400 |   29376400 |   29376400 |    7344100 |    7344100 |   29376400 |   29376400 |   29376400 |   29376400 |    7344100 |    7344100
  IPC                                |       0.37 |       0.10 |       0.10 |       0.10 |       0.42 |       0.40 |       0.09 |       0.10 |       0.10 |       0.10 |       0.41 |       0.41
  Time (ns)                          |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100 |    7344100
  Idle time (ns)                     |       1606 |    6016023 |    6016825 |    6017037 |    5987119 |    5987066 |    6017742 |    6017878 |    6018099 |    6018369 |    5988854 |    5989234
  Idle time (%)                      |       0.0% |      81.9% |      81.9% |      81.9% |      81.5% |      81.5% |      81.9% |      81.9% |      81.9% |      81.9% |      81.5% |      81.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1334950 |     953471 |     968203 |     871726 |     999026 |     943508 |     780254 |     975063 |     943106 |     908974 |     972450 |     964991
  num incorrect                      |      74383 |       4770 |       4189 |       7421 |       2535 |       4435 |      10494 |       4246 |       5299 |       6462 |       3584 |       3896
  misprediction rate                 |      5.28% |      0.50% |      0.43% |      0.84% |      0.25% |      0.47% |      1.33% |      0.43% |      0.56% |      0.71% |      0.37% |      0.40%
  mpki                               |       6.76 |       1.58 |       1.38 |       2.64 |       0.82 |       1.49 |       4.05 |       1.39 |       1.78 |       2.23 |       1.18 |       1.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1635231 |      41230 |      36651 |      55766 |      26373 |      39572 |      75575 |      35662 |      42556 |      49443 |      31954 |      34469
    num misses                       |        181 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.07% |      0.05% |      0.10% |      0.07% |      0.03% |      0.07% |      0.06% |      0.05% |      0.08% |      0.08%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2672471 |     569809 |     572906 |     551549 |     574997 |     562625 |     529485 |     575406 |     567957 |     559226 |     569067 |     567916
    num misses                       |       1351 |        135 |        136 |        131 |        134 |        124 |        119 |        117 |        117 |        114 |        117 |        114
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1532 |        161 |        162 |        157 |        160 |        152 |        145 |        143 |        143 |        140 |        143 |        140
    num misses                       |        577 |        135 |        139 |        129 |        138 |        128 |        126 |        126 |        127 |        125 |        123 |        123
    miss rate                        |     37.66% |     83.85% |     85.80% |     82.17% |     86.25% |     84.21% |     86.90% |     88.11% |     88.81% |     89.29% |     86.01% |     87.86%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1635231 |      41230 |      36651 |      55766 |      26373 |      39572 |      75575 |      35662 |      42556 |      49443 |      31954 |      34469
    num cache misses                 |       2747 |        173 |        173 |        172 |        171 |        180 |        173 |        171 |        171 |        171 |        171 |        172
    miss rate                        |      0.17% |      0.42% |      0.47% |      0.31% |      0.65% |      0.45% |      0.23% |      0.48% |      0.40% |      0.35% |      0.54% |      0.50%
    mpki                             |       0.25 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2672471 |     569809 |     572906 |     551549 |     574997 |     562625 |     529485 |     575406 |     567957 |     559226 |     569067 |     567916
