                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   11023245 |    3000056 |    3035537 |    2810769 |    3095207 |    2950958 |    2548441 |    2975444 |    3283632 |    3198238 |    3401166 |    3381275
  Cycles                             |   29685600 |   29685600 |   29685600 |   29685600 |    7421400 |    7421400 |    7421400 |    7421400 |   29685600 |   29685600 |   29685600 |   29685600
  IPC                                |       0.37 |       0.10 |       0.10 |       0.09 |       0.42 |       0.40 |       0.34 |       0.40 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400 |    7421400
  Idle time (ns)                     |       1497 |    6033360 |    6034182 |    6034574 |    6004337 |    6004375 |    6004943 |    6005227 |    6035703 |    6036049 |    6036246 |    6036740
  Idle time (%)                      |       0.0% |      81.3% |      81.3% |      81.3% |      80.9% |      80.9% |      80.9% |      80.9% |      81.3% |      81.3% |      81.3% |      81.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1339043 |     950222 |     966036 |     871272 |     995728 |     936153 |     765614 |     946174 |    1043287 |    1007566 |    1092890 |    1083937
  num incorrect                      |      74823 |       4677 |       4308 |       7430 |       2565 |       4581 |      10605 |       4254 |       5174 |       6308 |       3500 |       3823
  misprediction rate                 |      5.29% |      0.49% |      0.44% |      0.85% |      0.26% |      0.49% |      1.37% |      0.45% |      0.49% |      0.62% |      0.32% |      0.35%
  mpki                               |       6.79 |       1.56 |       1.42 |       2.64 |       0.83 |       1.55 |       4.16 |       1.43 |       1.58 |       1.97 |       1.03 |       1.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1622720 |      20071 |      20395 |      24463 |      17554 |      19536 |      27888 |      19042 |      20545 |      21891 |      18462 |      19060
    num misses                       |        175 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.13% |      0.13% |      0.11% |      0.15% |      0.14% |      0.09% |      0.14% |      0.13% |      0.12% |      0.14% |      0.14%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2675902 |     567969 |     572036 |     550783 |     573626 |     558970 |     522346 |     560850 |     617501 |     607864 |     628865 |     627260
    num misses                       |       2849 |        134 |        136 |        136 |        138 |        127 |        146 |        133 |        128 |        125 |        128 |        120
    miss rate                        |      0.11% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.26 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.06 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       3024 |        160 |        162 |        162 |        164 |        155 |        172 |        159 |        154 |        151 |        154 |        146
    num misses                       |        596 |        132 |        132 |        135 |        136 |        128 |        135 |        132 |        130 |        127 |        129 |        129
