                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   12517231 |    4640965 |    4714491 |    4417690 |    4703683 |    4526962 |    3999407 |    4552239 |    4949579 |    4854314 |    5108829 |    5078845
  Cycles                             |   32312400 |   32312400 |   32312400 |   32312400 |    8078100 |    8078100 |    8078100 |    8078100 |   32312400 |   32312400 |   32312400 |   32312400
  IPC                                |       0.39 |       0.14 |       0.15 |       0.14 |       0.58 |       0.56 |       0.50 |       0.56 |       0.15 |       0.15 |       0.16 |       0.16
  Time (ns)                          |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100 |    8078100
  Idle time (ns)                     |       1811 |    6114280 |    6115386 |    6115547 |    6085324 |    6085757 |    6085158 |    6086141 |    6116789 |    6116724 |    6117033 |    6117758
  Idle time (%)                      |       0.0% |      75.7% |      75.7% |      75.7% |      75.3% |      75.3% |      75.3% |      75.3% |      75.7% |      75.7% |      75.7% |      75.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1579236 |    1477659 |    1509046 |    1375167 |    1521698 |    1442267 |    1197254 |    1454534 |    1576924 |    1532956 |    1647850 |    1634092
  num incorrect                      |      80891 |       5368 |       4348 |       8372 |       2583 |       5103 |      13316 |       4639 |       5844 |       7267 |       3740 |       4025
  misprediction rate                 |      4.87% |      0.36% |      0.29% |      0.61% |      0.17% |      0.35% |      1.10% |      0.32% |      0.37% |      0.47% |      0.23% |      0.25%
  mpki                               |       6.46 |       1.16 |       0.92 |       1.90 |       0.55 |       1.13 |       3.33 |       1.02 |       1.18 |       1.50 |       0.73 |       0.79
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1576015 |      29414 |      26263 |      42857 |      18790 |      29145 |      62414 |      26117 |      32157 |      36249 |      22171 |      24540
    num misses                       |        180 |         24 |         24 |         24 |         24 |         24 |         26 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.08% |      0.09% |      0.06% |      0.13% |      0.08% |      0.04% |      0.09% |      0.07% |      0.07% |      0.11% |      0.10%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2987227 |     849122 |     857683 |     829732 |     845525 |     828472 |     780522 |     830006 |     902341 |     893244 |     918282 |     915402
    num misses                       |       1805 |        310 |        311 |        327 |        316 |        281 |        278 |        300 |        301 |        298 |        277 |        283
    miss rate                        |      0.06% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.14 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.06 |       0.06 |       0.05 |       0.06
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1985 |        334 |        335 |        351 |        340 |        305 |        304 |        324 |        325 |        322 |        301 |        307
    num misses                       |        654 |        166 |        176 |        164 |        158 |        155 |        162 |        156 |        158 |        159 |        157 |        155
    miss rate                        |     32.95% |     49.70% |     52.54% |     46.72% |     46.47% |     50.82% |     53.29% |     48.15% |     48.62% |     49.38% |     52.16% |     50.49%
